"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1VCR3eiEan5BedLmg7zahz","Darkseid","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:3gRbjzXPan9DOBEMmTjxVo","Grimes, 潘PAN","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","2","224109","","false","0","GBAFL1900403","spotify:user:cyberpunkjazz","2020-02-21T08:21:36Z"
"spotify:track:1erl6pP439JA3paKwZKFD2","脸儿红心儿笑","spotify:artist:5GuBMWlDG2nWafBiFSiALO","姚蘇蓉","spotify:album:0sH1WlSLZMl1goj54xfm0y","丽风金典系列电影金曲","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-10-03","https://i.scdn.co/image/ab67616d0000b273a4c927b9e370c2beb5782775","1","38","190306","https://p.scdn.co/mp3-preview/1af63903611049518e1440d32bdeed373225ef80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","MYLR11320686","spotify:user:cyberpunkjazz","2020-02-25T04:46:13Z"
"spotify:track:7gImXhtM6FvkvsRuCJHsT8","你怎能瞞過我","spotify:artist:1NCONNiSLaGx7w4zGUdVfQ","Betty Chung","spotify:album:41nLOOD4wysX6WeEJr1inq","你怎能瞞過我","spotify:artist:1NCONNiSLaGx7w4zGUdVfQ","Betty Chung","1968-01-01","https://i.scdn.co/image/ab67616d0000b273085fc34b8b1e879e941df2d0","1","1","136333","","false","18","HKB121300095","spotify:user:cyberpunkjazz","2020-02-25T04:47:22Z"
"spotify:track:27nYIQyWjyacyr7MGxZIHF","Don't Call Me (feat. Yuna)","spotify:artist:3VwKSHAfgzV1DOHV0aANCI, spotify:artist:3kHVioJpVxlazAAKQ64pC1","TOKiMONSTA, Yuna","spotify:album:1L879cRp3hbkvCaMRQ7d1l","Lune Rouge","spotify:artist:3VwKSHAfgzV1DOHV0aANCI","TOKiMONSTA","2017-10-06","https://i.scdn.co/image/ab67616d0000b27341f57ede5160ed01ee672520","1","8","217537","","false","0","QM6MZ1790163","spotify:user:cyberpunkjazz","2020-02-25T04:20:17Z"
"spotify:track:59Bc4RPzSL3nYPANh25a6J","My Jinji","spotify:artist:7BqRcZsHYYQeqMAOp7e532","落日飛車 Sunset Rollercoaster","spotify:album:2vE9BubwB3Sb5yZjv4FyNn","JINJI KIKKO","spotify:artist:7BqRcZsHYYQeqMAOp7e532","落日飛車 Sunset Rollercoaster","2016-03-01","https://i.scdn.co/image/ab67616d0000b27367aa426a6d0688928dc9a653","1","2","400560","https://p.scdn.co/mp3-preview/36b7c64e07538993f40067085db07ddaab7b1b38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","TWCR71600002","spotify:user:cyberpunkjazz","2020-02-25T04:21:19Z"
"spotify:track:3yVFMHEDytG7BQwq0Y90Kp","JOSEPH X HOWIE LEE REWORK","spotify:artist:7jHWye55igIZ6SsF4eXKkP, spotify:artist:5y2TmxjZITDjLsfUxjlkcD","Lafawndah, Howie Lee","spotify:album:7B9tU0Iw9ggPqlVGuruFdS","Ancestor Boy II","spotify:artist:7jHWye55igIZ6SsF4eXKkP","Lafawndah","2019-12-06","https://i.scdn.co/image/ab67616d0000b273667c34fdceedf3d3995d2787","1","1","243000","","false","0","DEG931913066","spotify:user:cyberpunkjazz","2020-02-25T04:34:23Z"
"spotify:track:612yWOm9BOTQH4DtxGFzCH","hear 2 tell","spotify:artist:5QGhyDXeg6nwFfYHAXnLS3","Holodec","spotify:album:4sTvtwAOpu3mdR50qC55iD","Holodec","spotify:artist:5QGhyDXeg6nwFfYHAXnLS3","Holodec","2019-10-04","https://i.scdn.co/image/ab67616d0000b2737f88a3130296bd0f5666aac3","1","2","187320","","false","0","DEG931901833","spotify:user:cyberpunkjazz","2020-02-25T04:36:50Z"
"spotify:track:5GhOwIOVcKKYlrrpjbxmrH","Public Authorities Fuck Off","spotify:artist:1zxJgBnDjLMq2kXE8cXRfV","Sonic Deadhorse","spotify:album:2nH2d4ardP25kpa1yjCQb6","派樂黛F2 宇宙之鑰","spotify:artist:0vuFP85z4286KYX124fVsz","派樂黛唱片","2015-10-20","https://i.scdn.co/image/ab67616d0000b2733718530547ed48bdebec4fc2","1","6","340293","https://p.scdn.co/mp3-preview/fd6e861e3bf13148972bdb94ec9b479bd8df81e6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","2","TWW531570006","spotify:user:cyberpunkjazz","2020-02-25T04:32:20Z"
"spotify:track:68c2dYpVep8JlwOAenGrRL","WAKING UP DOWN","spotify:artist:2RqrWplViWHSGLzlhmDcbt","Yaeji","spotify:album:5zzlBUeiaoGOUsT2feGDdB","WAKING UP DOWN","spotify:artist:2RqrWplViWHSGLzlhmDcbt","Yaeji","2020-03-10","https://i.scdn.co/image/ab67616d0000b273d61cfa52d579575cc0d83617","1","1","201239","","false","0","GBBKS2000039","spotify:user:cyberpunkjazz","2020-03-17T04:45:44Z"
"spotify:track:3Sq57kafPvU8x7GMtV1O8m","Steppers","spotify:artist:7EntbIUzSXiaPDqi8t8zOw, spotify:artist:0C8aQd7nzDqUyEt9CgzqUm","Mystics, Itsi","spotify:album:64tHyWMj7BtPG5jNiEf7Us","Steppers","spotify:artist:7EntbIUzSXiaPDqi8t8zOw","Mystics","2019-07-18","https://i.scdn.co/image/ab67616d0000b273375fa0c0e5ad3a2fa2c6ffef","1","1","243874","","false","0","GBKPL1958992","spotify:user:cyberpunkjazz","2020-02-25T05:17:19Z"
"spotify:track:4L1hYBqlohgdwycN7wSOms","Regeneration","spotify:artist:00G1NTDAoU7rBpjG4KoYAM","DJ Krush","spotify:album:2uZ5o0XX18qeNO1y2ugRNK","Regeneration","spotify:artist:00G1NTDAoU7rBpjG4KoYAM","DJ Krush","2019-12-31","https://i.scdn.co/image/ab67616d0000b273804e93898aac49e21dc5b9e6","1","1","241976","https://p.scdn.co/mp3-preview/fdb87b79117a18209d8ad00cf1917d8451bca4b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","JPS801853690","spotify:user:cyberpunkjazz","2020-02-25T05:20:25Z"
"spotify:track:5a2Y8OqDa22xAHkVYr3H2W","3001: A Space Disco Remix - DJ-Kicks","spotify:artist:2B0PgHZi2zaDqjKe86Gaip, spotify:artist:7GNojHMSlN0qsChYSwxZmR","Mr. Scruff, CyberPunkJazz","spotify:album:4G7qBax5AGziYW10wKZFmv","3001: A Space Disco Remix (DJ-Kicks)","spotify:artist:2B0PgHZi2zaDqjKe86Gaip, spotify:artist:7GNojHMSlN0qsChYSwxZmR","Mr. Scruff, CyberPunkJazz","2020-03-04","https://i.scdn.co/image/ab67616d0000b273596299344e8643b62df62ad1","1","1","420745","","false","0","DEG932000135","spotify:user:cyberpunkjazz","2020-03-04T23:20:56Z"
