"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3EEd6ldsPat620GVYMEhOP","Goo Goo Muck","spotify:artist:4lYtGx5NZQJHsMyhHc5iz3","The Cramps","spotify:album:111E8uRgwGQo9YJJBvpALn","Psychedelic Jungle","spotify:artist:4lYtGx5NZQJHsMyhHc5iz3","The Cramps","1981-01-01","https://i.scdn.co/image/ab67616d0000b273133d663963bdaa99891a5cee","1","2","186038","","false","74","USIR38100013","spotify:user:","2022-11-28T15:12:32Z"
"spotify:track:0iH6OQyLpgOJfxLSzB4NNR","Polycephaly","spotify:artist:6w7wqJo8dY6Q7BWIRFBFX3","Doon Kanda","spotify:album:3UPZnii7JrFh7SHcDZsY2Z","Labyrinth","spotify:artist:6w7wqJo8dY6Q7BWIRFBFX3","Doon Kanda","2019-11-29","https://i.scdn.co/image/ab67616d0000b273737239a7066701cd728768ee","1","1","191041","https://p.scdn.co/mp3-preview/ca760c83d77dc2ba162ed24a591044e87a65083d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBLZC1900113","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:1SHB1hp6267UK9bJQUxYvO","Судно (Борис Рижий)","spotify:artist:1nVq0hKIVReeaiB3xJgKf0","Molchat Doma","spotify:album:1FHREwXgTQvqiG8q5KlRzc","Этажи","spotify:artist:1nVq0hKIVReeaiB3xJgKf0","Molchat Doma","2018-09-07","https://i.scdn.co/image/ab67616d0000b273d4549c0e601fbe7e8622a2f5","1","7","141394","https://p.scdn.co/mp3-preview/bce16d950bcd8014540b37090949c58e2119ccbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","AEA0D1846146","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:0wrWxW18WK2MkrfDpRHkyh","Me and the Devil","spotify:artist:2mAYpnSe3g2Y22JcZ2ddku","Soap&Skin","spotify:album:5yuGLsbL0XTjON5tewyApa","Sugarbread","spotify:artist:2mAYpnSe3g2Y22JcZ2ddku","Soap&Skin","2013-03-11","https://i.scdn.co/image/ab67616d0000b27309d0104a5eaddc32bb0a7824","1","2","185000","https://p.scdn.co/mp3-preview/fefb70b43b4df9f574e7c3bc8ecbd76fc91e4285?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","BEP011300085","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:6p2gjNra5zaRtp2BNpYMYI","Serpentskirt - Remastered 2006","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:3w3hmie5WZ5H2MQrMCyRW6","Milk & Kisses","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1996-03","https://i.scdn.co/image/ab67616d0000b2734646b84049aa93766cece612","1","2","237240","","false","39","GBUM70601591","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:60kgQtJNMGRaFfzwy18XUY","Watersong","spotify:artist:5q2ehaRqAFmM6tLl4vaVwP","Cranes","spotify:album:5RzJqDl7qP2xQ2mV8CX4qq","Wings Of Joy (Expanded Edition)","spotify:artist:5q2ehaRqAFmM6tLl4vaVwP","Cranes","1991","https://i.scdn.co/image/ab67616d0000b27394ca39b034273454215ac6b9","1","1","231506","https://p.scdn.co/mp3-preview/2986a43ff64f8683440507ceb57be260d1a74fe0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBARL9100064","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:1PtQJZVZIdWIYdARpZRDFO","Running Up That Hill (A Deal With God)","spotify:artist:1aSxMhuvixZ8h9dK9jIDwL","Kate Bush","spotify:album:5G5UwqPsxDKpxJLX4xsyuh","Hounds Of Love","spotify:artist:1aSxMhuvixZ8h9dK9jIDwL","Kate Bush","1985-09-16","https://i.scdn.co/image/ab67616d0000b273ad08f4b38efbff0c0da0f252","1","1","298933","https://p.scdn.co/mp3-preview/861d26b52ece3e3ad72a7dc3463daece3478801a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","GBCNR8500002","spotify:user:","2022-06-03T16:36:24Z"
"spotify:track:31CYUJj5f9lbQ0Qqm9PzK5","Falling","spotify:artist:4Pt1HZtuJwrQB8l0ES5iTX","Julee Cruise","spotify:album:3N6VPyK0YsRTccqoRQjkVx","Floating Into The Night","spotify:artist:4Pt1HZtuJwrQB8l0ES5iTX","Julee Cruise","1989-09-12","https://i.scdn.co/image/ab67616d0000b273e70f4f014070340f0739db30","1","2","321853","https://p.scdn.co/mp3-preview/abc5001f0a61d3ad8c030896c6c0fbef114b222a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USWB10100198","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:6Q9kdCHXpAef5YbKXKeG9M","All We Ever Wanted Was Everything","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:42L0285NmWnp6lF0Tf6uyw","The Sky's Gone Out","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1982","https://i.scdn.co/image/ab67616d0000b2738c998c734714dab370c21160","1","9","232306","https://p.scdn.co/mp3-preview/3efcd232ed75e90c3f7adbfa54110f549e62ae52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBAZP8200079","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:6oJdM8pW0ujqLcTQpZzCQ6","Christine","spotify:artist:1n65zfwYIj5kKEtNgxUlWb","Siouxsie and the Banshees","spotify:album:5jynqY8ZyDoeqrIfYSwF8P","Kaleidoscope (Remastered & Expanded)","spotify:artist:1n65zfwYIj5kKEtNgxUlWb","Siouxsie and the Banshees","1980-08-01","https://i.scdn.co/image/ab67616d0000b27304272eb83a6af47cc14ccf76","1","7","179600","","false","55","GBAKW8001005","spotify:user:","2023-03-17T00:43:40Z"
"spotify:track:7HyrigNQ5MIr19G4ECFNeH","Blood Be Fluid","spotify:artist:3syw2pWKHP7n8VnXhCFn3d","Julia Romana","spotify:album:1ECmQ3a1oTSozVhc49eiID","Blood Be Fluid","spotify:artist:3syw2pWKHP7n8VnXhCFn3d","Julia Romana","2022-09-22","https://i.scdn.co/image/ab67616d0000b273529e47db2509019f2790fa7c","1","3","227276","https://p.scdn.co/mp3-preview/789c1cd421fd45a5a032eea93afe08de1763ba2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QZK6G2245307","spotify:user:","2022-09-29T00:45:48Z"
"spotify:track:5PmNxJy5vBam3V5Wj5CxSF","Dulcinea","spotify:artist:2LM56NUYjaQzmYyQkZjBlZ","Black Tape For A Blue Girl","spotify:album:3KXpNAEMU8UW4NKwZJ94Uc","As One Aflame Laid Bare By Desire (Deluxe Edition)","spotify:artist:2LM56NUYjaQzmYyQkZjBlZ","Black Tape For A Blue Girl","1999-01-13","https://i.scdn.co/image/ab67616d0000b273e426109b0cc01c5f26493646","1","10","375066","https://p.scdn.co/mp3-preview/259a869cbb527cb25f380bad0ff5d8429015417c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USHK99908610","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:782VcXkRqyevFaJlcoIIEz","Танцевать","spotify:artist:1nVq0hKIVReeaiB3xJgKf0","Molchat Doma","spotify:album:1FHREwXgTQvqiG8q5KlRzc","Этажи","spotify:artist:1nVq0hKIVReeaiB3xJgKf0","Molchat Doma","2018-09-07","https://i.scdn.co/image/ab67616d0000b273d4549c0e601fbe7e8622a2f5","1","2","202845","https://p.scdn.co/mp3-preview/80f2f5ead4e1abf8149bf9cfdc9b76d3c84deba4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","AEA0D1846141","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:1ZnXuijpwEBjhNxpEnb8WH","Lorelei","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:7pBPB9vwqCMLKNmUCK4k62","Treasure","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1984-11-01","https://i.scdn.co/image/ab67616d0000b27352e7f2cda55ec809a9f00e1f","1","2","223266","https://p.scdn.co/mp3-preview/5206c25d5ec8817c5cb772cd6a08ccc7907086c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBAFL8400054","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:2HsOICaAi5bwnqyG7uO1Fo","Kangaroo - Remastered","spotify:artist:5OK8j1JnhoBlivN32G7yOO","This Mortal Coil","spotify:album:5gMiiXVgUFVUIHKXC57a0j","It'll End In Tears (Remastered)","spotify:artist:5OK8j1JnhoBlivN32G7yOO","This Mortal Coil","1984-10-01","https://i.scdn.co/image/ab67616d0000b273201a9af6d3296d20a205adb5","1","1","209093","https://p.scdn.co/mp3-preview/66156f305a507a579b3706ed549d885e3103d194?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBAFL1000000","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:4gcfxHL1iRgP0RHCDYMNIo","Plainsong - Remastered","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:0H6TddUF2M63ZSHGvhk5yy","Disintegration (Deluxe Edition)","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1989-05-02","https://i.scdn.co/image/ab67616d0000b273ee8b603d6c666ba428daac30","1","1","317346","","false","50","GBUM71000206","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:1XEttwWu7tXhKpCFpYQtf2","Sculpting the Exodus","spotify:artist:7ASMj5TvVCYDILcfTockhI","Circuit des Yeux","spotify:album:1wjoyEFIq1LjaCE43WFAUr","Sculpting the Exodus","spotify:artist:7ASMj5TvVCYDILcfTockhI","Circuit des Yeux","2021-09-08","https://i.scdn.co/image/ab67616d0000b27306829b3226ef37dbb40e8404","1","1","301880","https://p.scdn.co/mp3-preview/5f8c97a2b050246437ec805d37a4ca14ce2a411e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USMTD2100300","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:5Ng6UbryNd3eds2zQk9MUf","Spellbound","spotify:artist:1n65zfwYIj5kKEtNgxUlWb","Siouxsie and the Banshees","spotify:album:5OEum65e1HMGX51Ifu51Wb","Juju","spotify:artist:1n65zfwYIj5kKEtNgxUlWb","Siouxsie and the Banshees","1981","https://i.scdn.co/image/ab67616d0000b2732cc7f91bdbd30dd7c408777a","1","1","197013","","false","65","GBAKW8101063","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:1wyVyr8OhYsC9l0WgPPbh8","Bela Lugosi's Dead (Official Version)","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:5NhiaFlFGgymG2rDNqAcm1","The Bela Session","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","2018-11-23","https://i.scdn.co/image/ab67616d0000b2732df3a2234668d7f37d2b84d8","1","1","576703","https://p.scdn.co/mp3-preview/cc14e872de4f2061fc248de18161c20a358db882?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","QMHG41850001","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:0MtY5fVdx8fnPzqooOwok4","STORY OF BLOOD","spotify:artist:5MWBg16f5UYiaSlyVhzlIW, spotify:artist:3Uqu1mEdkUJxPe7s31n1M9","John Cale, Weyes Blood","spotify:album:6voVkae1055milSYpRzzGc","STORY OF BLOOD","spotify:artist:5MWBg16f5UYiaSlyVhzlIW","John Cale","2022-10-19","https://i.scdn.co/image/ab67616d0000b27303ff84d12ec5b14366e57c65","1","1","451986","https://p.scdn.co/mp3-preview/2b15c8c09eb0f70cc61f8ae217bae68ab3fce798?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBCEL2100544","spotify:user:","2023-01-20T04:36:21Z"
"spotify:track:4Xak0spxf9QBSwlTEOsrbA","The Silver Threshold","spotify:artist:1cPVrDY88XGHjD55pKOQ3s","hackedepicciotto","spotify:album:3i6cLbRGGEVJbvAkjUAnVv","The Silver Threshold","spotify:artist:1cPVrDY88XGHjD55pKOQ3s","hackedepicciotto","2021-11-12","https://i.scdn.co/image/ab67616d0000b27330c8598dab9016484a7f9387","1","2","256402","https://p.scdn.co/mp3-preview/35ef5a2c1fded081cb9b422c7ab26220ef369385?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GBR8R2100039","spotify:user:","2022-03-11T06:37:07Z"
"spotify:track:5VkonixvlrVyNjADeOYd8g","Lose My Breath","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:2ncj0SrtsnWzol4SWMk54b","Isn’t Anything","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1988-11-21","https://i.scdn.co/image/ab67616d0000b2730222c0b380a726b620cd7e4e","1","2","218000","https://p.scdn.co/mp3-preview/60325ec61506b10530ccc266dfb20b35aee167b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBARL0800234","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:00kG2B5W9MQYdPxrICYhNg","Beatrix","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:7pBPB9vwqCMLKNmUCK4k62","Treasure","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1984-11-01","https://i.scdn.co/image/ab67616d0000b27352e7f2cda55ec809a9f00e1f","1","3","192000","https://p.scdn.co/mp3-preview/eb30fdf8cfa7e61fc7d340a84673ec23f79cc81e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBAFL8400058","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:15049rGLXHwrWtE4euUb5C","The Killing Moon","spotify:artist:0fgYKF9Avljex0L9Wt5b8Z","Echo & the Bunnymen","spotify:album:0VYyqjM5H2sXj6z8ocAyjb","Songs to Learn & Sing","spotify:artist:0fgYKF9Avljex0L9Wt5b8Z","Echo & the Bunnymen","1985-11-11","https://i.scdn.co/image/ab67616d0000b273f709ceec39345de8ab2dc51c","1","8","346280","https://p.scdn.co/mp3-preview/3453126b010c0e91a895cb944c9d19cbb3a69fd8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBAHT0200121","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:0jyOu6GTwQ3c0hVXYwGZpL","Red Drop","spotify:artist:3j0kMFxXTTYsuw1twLClw3","Motorama","spotify:album:18y3DE8cX1ptDjRVwgnmfb","Poverty","spotify:artist:3j0kMFxXTTYsuw1twLClw3","Motorama","2015-01-26","https://i.scdn.co/image/ab67616d0000b2736a575a4b02b0250868364b8c","1","3","211510","https://p.scdn.co/mp3-preview/88401b5cba317ddf04bf428682743357efd80e33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","uscgh2060319","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:1ZxhKPG7sMt281ylVxMsAF","Rain","spotify:artist:5aBEGOeWQCJfptic9xyaAb","Tones On Tail","spotify:album:440zYLMcBZhHc93WSGKDKo","Everything!","spotify:artist:5aBEGOeWQCJfptic9xyaAb","Tones On Tail","1984","https://i.scdn.co/image/ab67616d0000b27326345993f8a751a7cbf2e642","1","9","506466","https://p.scdn.co/mp3-preview/29f94c770912ef387549c216d02ac7635931202d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBAZP9800016","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:07LRjvNrvSE311BWlwRptq","Fantasmas","spotify:artist:7wxXs62y8Gjf6c6pxrnWIl","Twin Tribes","spotify:album:1PXN2w8N4kg4rd8i2ri711","Ceremony","spotify:artist:7wxXs62y8Gjf6c6pxrnWIl","Twin Tribes","2019-12-13","https://i.scdn.co/image/ab67616d0000b273b4ffbe3d72088458fe225ac7","1","6","190525","https://p.scdn.co/mp3-preview/87fc153104a867838bc26a4891796bab4b8a8b33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","QZHN31910110","spotify:user:","2023-01-06T06:22:16Z"
"spotify:track:2o1Deu2r99ZkkQwQ27LnZd","Arabian Knights","spotify:artist:1n65zfwYIj5kKEtNgxUlWb","Siouxsie and the Banshees","spotify:album:5OEum65e1HMGX51Ifu51Wb","Juju","spotify:artist:1n65zfwYIj5kKEtNgxUlWb","Siouxsie and the Banshees","1981","https://i.scdn.co/image/ab67616d0000b2732cc7f91bdbd30dd7c408777a","1","3","185946","","false","58","GBAKW8101064","spotify:user:","2021-10-15T04:04:50Z"
"spotify:track:3PAxNbb4NnIJBnrH5QnFol","Fimmine Fimmine","spotify:artist:5qVRuanPGaUlDLpcS4l7b3, spotify:artist:2J86M7FAdzuVVYL5IMJYZZ","Mai Mai Mai, Vera Di Lecce","spotify:album:5wuZ3RGLtu6LimxV4kU1Tc","Rimorso","spotify:artist:5qVRuanPGaUlDLpcS4l7b3","Mai Mai Mai","2022-05-20","https://i.scdn.co/image/ab67616d0000b27378022979a4731fdf0fdde8d6","1","2","279573","https://p.scdn.co/mp3-preview/b8ab929fd37b4f09a52e54ae3bdb3d0483b115e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","UK9AV2200330","spotify:user:","2022-04-01T06:00:00Z"
