"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0C1RaT1eyqvoeqskbaTg3E","The Secret History","spotify:artist:2IS9rTtWwEfUEY4u3mecIT, spotify:artist:3HohCe6uYgTtBJcV4PamyK","The Chamber Orchestra Of London, Andrew Skeet","spotify:album:46Y0Rsn7iR4OqG58OS2kvM","Kerry Muzzey: The Architect","spotify:artist:2IS9rTtWwEfUEY4u3mecIT, spotify:artist:3HohCe6uYgTtBJcV4PamyK","The Chamber Orchestra Of London, Andrew Skeet","2014-08-26","https://i.scdn.co/image/ab67616d0000b2732b86d733dd42e2776570138e","1","4","302095","https://p.scdn.co/mp3-preview/97e71232da71fae706f2f8bca816125412bee40b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ushm21496801","spotify:user:ella_greenleaf","2020-05-22T07:46:17Z"
"spotify:track:1n8NKQRg8LVHy7oUhUgbFF","Hedwig's Theme","spotify:artist:3dRfiJ2650SZu6GbydcHNb","John Williams","spotify:album:6zeHM5CV0CjcS0K8ouWE4N","Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack","spotify:artist:3dRfiJ2650SZu6GbydcHNb","John Williams","2001-10-30","https://i.scdn.co/image/ab67616d0000b27313f982aa5c43146c3d2c1964","1","19","309093","https://p.scdn.co/mp3-preview/1716237b40d951c7dd8abdca7fdc5afaf47560fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USAT20109275","spotify:user:ella_greenleaf","2020-05-22T08:25:06Z"
"spotify:track:1IM8x4lxZVOOP9gpQD6c5s","Danse macabre in G Minor, Op. 40","spotify:artist:436sYg6CZhNefQJogaXeK0, spotify:artist:428GNN7qZnTsMaK3SfPo6D, spotify:artist:2sGN4C0QLE8MqhMC6jToDw","Camille Saint-Saëns, Slovak Radio Symphony Orchestra, Keith Clark","spotify:album:188sF3GUVq6GqqtpBEMt4v","Saint-Saens: Symphony No. 3 / Piano Concerto No. 2","spotify:artist:436sYg6CZhNefQJogaXeK0","Camille Saint-Saëns","1996-12-31","https://i.scdn.co/image/ab67616d0000b2736e92095455d289f8c6f5159e","1","2","432133","https://p.scdn.co/mp3-preview/10681762ca6e95138a4ffffcc0557f272524737c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","HKI199608102","spotify:user:ella_greenleaf","2020-05-22T08:09:36Z"
"spotify:track:3sAYxq1986j3ydqLv6jwUJ","Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse","spotify:artist:6n7nd5iceYpXVwcx8VPpxF, spotify:artist:7hrleJxjf4KJbeiQirb6BL, spotify:artist:3X4vtZfo29CzvenatIDhf1","Antonín Dvořák, Prague Chamber Orchestra, Petr Skvor","spotify:album:41RV3g6Fjyzfe31bEXtMNT","Dvořák: Serenade for Strings, Czech Suite","spotify:artist:6n7nd5iceYpXVwcx8VPpxF, spotify:artist:3X4vtZfo29CzvenatIDhf1, spotify:artist:5rpJRfBArZyQbqDEvFtpel, spotify:artist:7hrleJxjf4KJbeiQirb6BL","Antonín Dvořák, Petr Skvor, Josef Vlach, Prague Chamber Orchestra","1991-01-01","https://i.scdn.co/image/ab67616d0000b273816ebc03f57f321bf42cb308","1","2","432533","https://p.scdn.co/mp3-preview/bec0df08fe3c5c9621af91331b984f3ddb2fd9ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","CZA167702329","spotify:user:ella_greenleaf","2020-05-22T10:05:35Z"
"spotify:track:1SbsbLsUMnAKWHx1zAV6ER","Light of the Seven","spotify:artist:1hCkSJcXREhrodeIHQdav8","Ramin Djawadi","spotify:album:2Ia3TzAjzWw0Tdspy9Fwgg","Game Of Thrones: Season 6 (Music from the HBO Series)","spotify:artist:1hCkSJcXREhrodeIHQdav8","Ramin Djawadi","2016-06-24","https://i.scdn.co/image/ab67616d0000b273e4f028aed6760c0c7f1eb0ca","1","3","589094","https://p.scdn.co/mp3-preview/d1b9ffbe694544c52684f0b39235b831eee1f1e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USNLR1600338","spotify:user:ella_greenleaf","2020-05-22T10:36:44Z"
"spotify:track:0pjCsB0XNSyqM9UazlTODC","Jazz Suite No. 2: VI. Waltz 2","spotify:artist:6s1pCNXcbdtQJlsnM1hRIA, spotify:artist:0DJZPK3nRWESIS0yexi6Qi, spotify:artist:6jKsnWXyWgE3jyC0Cs0Cdb","Dmitri Shostakovich, Russian State Symphony Orchestra, Dmitry Yablonsky","spotify:album:7K4HfPLJ2JwvXBF02SAiXx","Shostakovich: Jazz Suites Nos. 1 - 2 / The Bolt / Tahiti Trot","spotify:artist:6s1pCNXcbdtQJlsnM1hRIA, spotify:artist:6jKsnWXyWgE3jyC0Cs0Cdb","Dmitri Shostakovich, Dmitry Yablonsky","2002-04-15","https://i.scdn.co/image/ab67616d0000b273da2e4a4059497dbf17a9bb78","1","14","193600","https://p.scdn.co/mp3-preview/d258fd1d0d1f18d739db33f9953408cc758c58dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","HKI190201414","spotify:user:ella_greenleaf","2020-05-22T10:05:57Z"
"spotify:track:72SmD8s1DYkwUhoEkGlnyV","Platform Nine-and-Three-Quarters and the Journey to Hogwarts","spotify:artist:3dRfiJ2650SZu6GbydcHNb","John Williams","spotify:album:6zeHM5CV0CjcS0K8ouWE4N","Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack","spotify:artist:3dRfiJ2650SZu6GbydcHNb","John Williams","2001-10-30","https://i.scdn.co/image/ab67616d0000b27313f982aa5c43146c3d2c1964","1","6","194040","https://p.scdn.co/mp3-preview/ca6d1a459e31828acacda2cd1be75cb5e0818a9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USAT20109185","spotify:user:ella_greenleaf","2020-05-22T08:24:03Z"
"spotify:track:4zwqGZonPVbo2fxcN3467v","Saint- Saëns: Introduction and Rondo Capriccioso, Op. 28","spotify:artist:436sYg6CZhNefQJogaXeK0, spotify:artist:16Y4iTVdcQ7S3FhpwrXzK7","Camille Saint-Saëns, Min Kym","spotify:album:19nYb402B547smiiSsdbnb","Gone","spotify:artist:16Y4iTVdcQ7S3FhpwrXzK7","Min Kym","2017-03-31","https://i.scdn.co/image/ab67616d0000b273829d941275369df2a2326301","1","4","544400","https://p.scdn.co/mp3-preview/e786679104a218afacde1e4f4b15a253bce45f04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBAYC1700439","spotify:user:ella_greenleaf","2020-05-22T10:37:17Z"
"spotify:track:7n92QzQomRCLlciO14X0kd","Nocturne en Mi Bémol Majeur, Op. 9 No. 2","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:2MDkMAXgLEGJFogdR000Au","Frédéric Chopin, Luis Fernando Pérez","spotify:album:3RePY8Fh1liHgQQ2X8CjYH","Chopin: Nocturnes, Vol. 1","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:2MDkMAXgLEGJFogdR000Au","Frédéric Chopin, Luis Fernando Pérez","2010-05-18","https://i.scdn.co/image/ab67616d0000b27318bccd55ef4b1c50dac2f2bc","1","1","268426","https://p.scdn.co/mp3-preview/bf10b6a18f4c4105bae3582c6a30851a81a9ab27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","FRU620711101","spotify:user:ella_greenleaf","2020-05-22T10:37:34Z"
"spotify:track:5eOGpWkwcUhM5XeA34530t","Piano Quartet No. 1 in G Minor, K. 478: 1. Allegro","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:4RUUet9z5AWXyt9dn6asqN","Wolfgang Amadeus Mozart, Fauré Quartett","spotify:album:46CzFclrDs7xuAdLNUPGtx","Mozart: Piano Quartets K 478 & 493","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:4RUUet9z5AWXyt9dn6asqN","Wolfgang Amadeus Mozart, Fauré Quartett","2005-12-22","https://i.scdn.co/image/ab67616d0000b273ab4a90aa9a42cfaff07fd643","1","1","615000","","false","16","DEN960500371","spotify:user:ella_greenleaf","2020-05-22T10:39:30Z"
"spotify:track:5eVX6NkZXY3rTVLC0lRBzx","Who You Really Are","spotify:artist:0mCdmt2O8dd8jJWv7m24EE, spotify:artist:6Ie1HZJ0vFXxxogMhPnZcg","David Arnold, Michael Price","spotify:album:5fsif9Sbj7qCImUGMQA3Gl","Sherlock Series 4: The Final Problem (Original Television Soundtrack)","spotify:artist:0mCdmt2O8dd8jJWv7m24EE, spotify:artist:6Ie1HZJ0vFXxxogMhPnZcg","David Arnold, Michael Price","2017-01-16","https://i.scdn.co/image/ab67616d0000b273283b8561bdcbdd44881430f9","1","11","155773","","false","21","GBAJC1700031","spotify:user:ella_greenleaf","2020-05-22T09:12:30Z"
"spotify:track:3oHSL6pt9LpNrQZuQGu9wL","Requiem, K. 626: Lacrimosa","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:2tsOm9CPRD4SbZagsqAhj4, spotify:artist:60adCptqwRkANTtVja0bvf, spotify:artist:0ugRf6ECGBFRCHlv9iG1No, spotify:artist:0f3PsS9IQ6whvNMFFKnpjl","Wolfgang Amadeus Mozart, Michael Finnissy, Academy of Ancient Music, Stephen Cleobury, Choir of King's College\, Cambridge","spotify:album:2wNvwhS6pLo6jFydj10KCt","Mozart: Requiem Realisations","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:60adCptqwRkANTtVja0bvf, spotify:artist:0ugRf6ECGBFRCHlv9iG1No, spotify:artist:0f3PsS9IQ6whvNMFFKnpjl","Wolfgang Amadeus Mozart, Academy of Ancient Music, Stephen Cleobury, Choir of King's College\, Cambridge","2013-04-08","https://i.scdn.co/image/ab67616d0000b273c8c19812fce13a624773b3c0","1","8","169666","https://p.scdn.co/mp3-preview/bd646927434759cc08ba71a106b2571d65b3015e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBMY51300208","spotify:user:ella_greenleaf","2020-05-22T13:59:20Z"
"spotify:track:1I6rDixbUmV5xnvDVDPe37","Voices Of Spring, Op. 410","spotify:artist:5goS0v24Fc1ydjCKQRwtjM, spotify:artist:7Hw2FhfcVUOeKkV7mJvuUB, spotify:artist:2JwzetkUQsopeuFNQ3k7CE, spotify:artist:3WEe5Cpg29CUvsWWv4vRTT","Johann Strauss II, Marko Letonja, Lorina Gore, Tasmanian Symphony Orchestra","spotify:album:2zyp9MCfKAGTgfDXLOsyhh","Johann Strauss: Waltzes and Arias","spotify:artist:5goS0v24Fc1ydjCKQRwtjM, spotify:artist:2JwzetkUQsopeuFNQ3k7CE, spotify:artist:7Hw2FhfcVUOeKkV7mJvuUB, spotify:artist:3WEe5Cpg29CUvsWWv4vRTT","Johann Strauss II, Lorina Gore, Marko Letonja, Tasmanian Symphony Orchestra","2016-11-11","https://i.scdn.co/image/ab67616d0000b2734bea398a1f24e00cd0afecd0","1","4","467906","","false","0","AUAB01650796","spotify:user:ella_greenleaf","2020-11-21T05:34:03Z"
"spotify:track:4iLKAdJtlTGdZGkHIdYEB0","Amur Waves","spotify:artist:2aHFiXSAycMLDEdAnGFGvM, spotify:artist:0WhSV333SHP0ey8DWzHgv0, spotify:artist:6WOPNeO16gcTIbpmXPCR56","Max Kyuss, Nikolai Nazarov, Отдельный показательный оркестр Министерства обороны СССР","spotify:album:7gd7MTpo7Nv53gqQNdHyhQ","Old Waltzes","spotify:artist:0iVAND4MnQ56yDKlrQem3f","Separate Exemplary Orchestra of USSR Defense Ministry\, Exemplary Orchestra of Interior Forces of USSR MOI","2004-01-01","https://i.scdn.co/image/ab67616d0000b273f8e3b8220abc556ee48b4e60","1","7","184506","https://p.scdn.co/mp3-preview/ea54e429287af7446e449cf42913893210cf0f15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","UK2Y21301022","spotify:user:ella_greenleaf","2020-11-21T05:34:14Z"
"spotify:track:7mka1sNzzwH3mKWgd8coV3","On the hills of Manchuria","spotify:artist:6rOABMfqYZBhN6gg6nsHni, spotify:artist:0WhSV333SHP0ey8DWzHgv0, spotify:artist:6WOPNeO16gcTIbpmXPCR56","Ilya Shatrov, Nikolai Nazarov, Отдельный показательный оркестр Министерства обороны СССР","spotify:album:7gd7MTpo7Nv53gqQNdHyhQ","Old Waltzes","spotify:artist:0iVAND4MnQ56yDKlrQem3f","Separate Exemplary Orchestra of USSR Defense Ministry\, Exemplary Orchestra of Interior Forces of USSR MOI","2004-01-01","https://i.scdn.co/image/ab67616d0000b273f8e3b8220abc556ee48b4e60","1","1","175560","https://p.scdn.co/mp3-preview/82f18a5d040daf637c2cc995e65cf96feee5fae8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","UK2Y21301016","spotify:user:ella_greenleaf","2020-11-21T05:36:44Z"
"spotify:track:2NGhKPZdZk2pPZinWphTzh","November","spotify:artist:2VZNmg4vCnew4Pavo8zDdW, spotify:artist:670EXb4x6t2MAvRvqCixyx, spotify:artist:5HxMHFsUWX0VqOlmsoGrTj, spotify:artist:2PIjtepywKZwGT0mZIumrW","Max Richter, Mari Samuelsen, Konzerthausorchester Berlin, Jonathan Stockhammer","spotify:album:3vEiYqSfrz7tHnHq14XHQd","Voyager - Essential Max Richter","spotify:artist:2VZNmg4vCnew4Pavo8zDdW","Max Richter","2019-10-04","https://i.scdn.co/image/ab67616d0000b2739906e7ba8214cab60e84fba7","1","8","367240","","false","56","DEN961900600","spotify:user:ella_greenleaf","2021-07-23T07:30:08Z"
"spotify:track:6jCIegwPlzWLHWBumnYmNb","Strings Con Fuoco","spotify:artist:18oYqNtcLUHrqO7LfX7qni","Nicholas Britell","spotify:album:2JsH6mfSAfojZhQJ5CuLMK","Succession, Season 1 (HBO Original Series Soundtrack)","spotify:artist:18oYqNtcLUHrqO7LfX7qni","Nicholas Britell","2019-08-09","https://i.scdn.co/image/ab67616d0000b2735a2742a6bbf7c2d81beb772f","1","5","72280","https://p.scdn.co/mp3-preview/3d10768ef4f1c61095509376f9fc5e9e982b2ec4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","US5941411064","spotify:user:ella_greenleaf","2021-07-24T01:22:20Z"
