"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2E7BmybamQ6Dl5SbgADeIk","I See Your Face Before Me (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey","Doris Day, Paul Weston And His Orchestra","spotify:album:3Q4k7vP53iNv1MMoEqro7x","Day By Night (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1957-11-11","https://i.scdn.co/image/ab67616d0000b27346819799558f553de9f1df24","1","1","210333","https://p.scdn.co/mp3-preview/28a12a1790be6b0d2ec02723c0b63d60a92888c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USSM10903312","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:46:55Z"
"spotify:track:2zZT7NIVLkq33BbI7TDQA3","Close Your Eyes (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey","Doris Day, Paul Weston And His Orchestra","spotify:album:3Q4k7vP53iNv1MMoEqro7x","Day By Night (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1957-11-11","https://i.scdn.co/image/ab67616d0000b27346819799558f553de9f1df24","1","2","148280","https://p.scdn.co/mp3-preview/7690b0e051bc358ea837963cc6ad07f8e247b0b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USSM10903311","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:46:55Z"
"spotify:track:4z5WIO1KaHiab8r0QPquDW","The Night We Called It a Day (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey","Doris Day, Paul Weston And His Orchestra","spotify:album:3Q4k7vP53iNv1MMoEqro7x","Day By Night (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1957-11-11","https://i.scdn.co/image/ab67616d0000b27346819799558f553de9f1df24","1","3","179680","https://p.scdn.co/mp3-preview/c300a889ee9bc3ea7c876039ca7f1b03dbc48591?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USSM10903319","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:46:55Z"
"spotify:track:2HyPrPSANTIPkR6CfiytwY","Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey","Doris Day, Paul Weston And His Orchestra","spotify:album:3Q4k7vP53iNv1MMoEqro7x","Day By Night (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1957-11-11","https://i.scdn.co/image/ab67616d0000b27346819799558f553de9f1df24","1","4","223373","https://p.scdn.co/mp3-preview/06eee022ebbb382257437126b3f5020b48ccefca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USSM19907730","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:46:55Z"
"spotify:track:6Z19hWp496a19Us6tbVDWB","Under a Blanket of Blue (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey","Doris Day, Paul Weston And His Orchestra","spotify:album:3Q4k7vP53iNv1MMoEqro7x","Day By Night (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1957-11-11","https://i.scdn.co/image/ab67616d0000b27346819799558f553de9f1df24","1","5","182360","https://p.scdn.co/mp3-preview/645657451ac5d41ac97cf9cf207e35803b1361c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USSM10903320","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:46:55Z"
"spotify:track:5WN3NitvHuU2JxXI1dfCCz","You Do Something to Me (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey","Doris Day, Paul Weston And His Orchestra","spotify:album:3Q4k7vP53iNv1MMoEqro7x","Day By Night (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1957-11-11","https://i.scdn.co/image/ab67616d0000b27346819799558f553de9f1df24","1","6","166280","https://p.scdn.co/mp3-preview/074d323ff808cb5bcbf2bffb3992cfbe7f4d6480?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USSM10000452","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:46:55Z"
"spotify:track:45Dr56jl8uL8WwjyTWAeM0","Stars Fell On Alabama (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey","Doris Day, Paul Weston And His Orchestra","spotify:album:3Q4k7vP53iNv1MMoEqro7x","Day By Night (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1957-11-11","https://i.scdn.co/image/ab67616d0000b27346819799558f553de9f1df24","1","7","209493","https://p.scdn.co/mp3-preview/1aa39a9ba0788059b312be4424a49cf08a545499?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USSM10310129","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:46:55Z"
"spotify:track:0MXSkmyoHu0WofDDSUQI0l","Moon Song (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey","Doris Day, Paul Weston And His Orchestra","spotify:album:3Q4k7vP53iNv1MMoEqro7x","Day By Night (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1957-11-11","https://i.scdn.co/image/ab67616d0000b27346819799558f553de9f1df24","1","8","224386","https://p.scdn.co/mp3-preview/8ec8c7022c6d86f21ba90249868665f29907e42d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USSM10903313","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:46:55Z"
"spotify:track:2bVZGXNXDlmxpNLy5Slvun","Wrap Your Troubles In Dreams (And Dream Your Troubles Away) (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey","Doris Day, Paul Weston And His Orchestra","spotify:album:3Q4k7vP53iNv1MMoEqro7x","Day By Night (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1957-11-11","https://i.scdn.co/image/ab67616d0000b27346819799558f553de9f1df24","1","9","144733","https://p.scdn.co/mp3-preview/31a1ffb15900abd93fc5406836d752eb587559d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USSM10903441","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:46:55Z"
"spotify:track:5k5nXup3fuaQFLUdZe10ge","Soft As the Starlight (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6, spotify:artist:3EVyH5tLgdq62aXTdKfzey","Doris Day, Paul Weston And His Orchestra","spotify:album:3Q4k7vP53iNv1MMoEqro7x","Day By Night (with Paul Weston & His Music From Hollywood)","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1957-11-11","https://i.scdn.co/image/ab67616d0000b27346819799558f553de9f1df24","1","10","225813","https://p.scdn.co/mp3-preview/00abd1d98ae0954e24415f4a68d87d008dadcc47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","USSM10315428","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:46:55Z"
