"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5lC9KyKHkZBbXVNL6Z7Fe5","Spoiler","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","spotify:album:2MF220KUPbPWEjh59nPFEK","De Algo Hay Que Morir","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732ff3b77815a9eba79f304809","1","1","201354","https://p.scdn.co/mp3-preview/37313a9ba0c05f4f13b251746071b547cb315ca7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","ES71G1927746","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:27:57Z"
"spotify:track:4SUxFLdV6bGJ6ITrseAzNW","Sí Po'","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","spotify:album:2MF220KUPbPWEjh59nPFEK","De Algo Hay Que Morir","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732ff3b77815a9eba79f304809","1","2","182485","https://p.scdn.co/mp3-preview/7e96e9d2a6f1c7c18f0d7e347c983e4cee21693b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","ES71G1923185","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:27:57Z"
"spotify:track:698Xo4JVKgpq33BJuMap8U","Plan Maestro","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","spotify:album:2MF220KUPbPWEjh59nPFEK","De Algo Hay Que Morir","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732ff3b77815a9eba79f304809","1","3","147146","https://p.scdn.co/mp3-preview/1f9ad904b30134d1c15ec736c82644db95470704?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","ES71G1927747","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:27:57Z"
"spotify:track:4902TupkbXPaWwskq9zeWj","Chao Mi Niño","spotify:artist:58ogXGbkmpbFtAbePMPiQ4, spotify:artist:0KJEHAoNtPaopqOHD6UIkY","Diego Lorenzini, Niña Tormenta","spotify:album:2MF220KUPbPWEjh59nPFEK","De Algo Hay Que Morir","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732ff3b77815a9eba79f304809","1","4","133621","https://p.scdn.co/mp3-preview/a94f02f6bed327eefcb50d63e231f6d616384c86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","ES71G1927748","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:27:57Z"
"spotify:track:5xdVhddPws83JZ6OqInpzE","Pony","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","spotify:album:2MF220KUPbPWEjh59nPFEK","De Algo Hay Que Morir","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732ff3b77815a9eba79f304809","1","5","208384","https://p.scdn.co/mp3-preview/6d141fc8fb00864d05225dd4e390ec9021959c49?cid=9950ac751e34487dbbe027c4fd7f8e99","true","26","ES71G1924661","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:27:57Z"
"spotify:track:2aYeBsiTZoRDgltaYyenXW","Valparaisito","spotify:artist:58ogXGbkmpbFtAbePMPiQ4, spotify:artist:7LR8WFIN2Gja7vKDPdkUor","Diego Lorenzini, Javier Bobbert","spotify:album:2MF220KUPbPWEjh59nPFEK","De Algo Hay Que Morir","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732ff3b77815a9eba79f304809","1","6","32746","https://p.scdn.co/mp3-preview/b7a1f36660fb86281ec10ca0b6d2ee92fdf24e90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","ES71G1927749","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:27:57Z"
"spotify:track:0D1NWxV720FXtADKmcmeZ0","Felipe Camiroaga","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","spotify:album:2MF220KUPbPWEjh59nPFEK","De Algo Hay Que Morir","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732ff3b77815a9eba79f304809","1","7","271786","https://p.scdn.co/mp3-preview/55277dd676dcb937245930167005f4d39a6d7306?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","ES71G1927750","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:27:57Z"
"spotify:track:1aUmwwSwc660pylh9ipWIX","Estamos Fritos","spotify:artist:58ogXGbkmpbFtAbePMPiQ4, spotify:artist:73jlslw4ZXYZ9kgh0kY2mU","Diego Lorenzini, Simón Campusano","spotify:album:2MF220KUPbPWEjh59nPFEK","De Algo Hay Que Morir","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732ff3b77815a9eba79f304809","1","8","202282","https://p.scdn.co/mp3-preview/94bf9be08287f7dd84d968e53cc4f9f51fa3e41f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","ES71G1927751","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:27:57Z"
"spotify:track:6Jfg4hy1u5MUMXZqbOXqbc","Mierda","spotify:artist:58ogXGbkmpbFtAbePMPiQ4, spotify:artist:2rV1GKAvHpXO40w4lLhplz","Diego Lorenzini, Chini.png","spotify:album:2MF220KUPbPWEjh59nPFEK","De Algo Hay Que Morir","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732ff3b77815a9eba79f304809","1","9","263349","https://p.scdn.co/mp3-preview/1ed957515fe580e39d31960336e8201e8754cecf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","ES71G1927752","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:27:57Z"
"spotify:track:1whuGreIX1sYRDeT28nhyp","Me Voy a Valparaíso","spotify:artist:58ogXGbkmpbFtAbePMPiQ4, spotify:artist:12AnGvqOxseM5VJLyO5yBs","Diego Lorenzini, Erlend Øye","spotify:album:2MF220KUPbPWEjh59nPFEK","De Algo Hay Que Morir","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732ff3b77815a9eba79f304809","1","10","240576","https://p.scdn.co/mp3-preview/5ee31f605b79552ae1b08f8f4ab9416fbd66480c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","ES71G1926551","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:27:57Z"
"spotify:track:5yz6Q0dBozJkbNyh1tPd1C","Billete de Luca","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","spotify:album:2MF220KUPbPWEjh59nPFEK","De Algo Hay Que Morir","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732ff3b77815a9eba79f304809","1","11","289691","https://p.scdn.co/mp3-preview/9a1e71cf5146bda504a522fcd941fc303f2abe1b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","ES71G1927753","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:27:57Z"
"spotify:track:6fn83LhwN5FyNawuWQNZqc","Sonría, Lo Estamos Grabando","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","spotify:album:2MF220KUPbPWEjh59nPFEK","De Algo Hay Que Morir","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732ff3b77815a9eba79f304809","1","12","241365","https://p.scdn.co/mp3-preview/cb5649f874122c9f85994da6f49fb3b2149da807?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","ES71G1927754","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:27:57Z"
"spotify:track:1ZwHeQmpc5h9MTgWN9paAF","Soy un Corpóreo y Dentro de Mí Hay una Actriz Recién Titulada Llorando","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","spotify:album:2MF220KUPbPWEjh59nPFEK","De Algo Hay Que Morir","spotify:artist:58ogXGbkmpbFtAbePMPiQ4","Diego Lorenzini","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732ff3b77815a9eba79f304809","1","13","269994","https://p.scdn.co/mp3-preview/5457dbd07a70c33ab7c10627af441494f0cf153e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","ES71G1927755","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:27:57Z"
