"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5zFalOg043nNnRYtU7TS1T","Minus Blindfold","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:30YN03R4Bjl8Qwz8wPRoXG","Adrenaline","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1995-09-29","https://i.scdn.co/image/ab67616d0000b273e0aa988082afc4ea586ab8dc","1","2","244293","https://p.scdn.co/mp3-preview/ce718f89702633524a488ff29aa6f047b019bfe1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USMV20000048","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-24T23:49:51Z"
"spotify:track:2jkZB94i573H134wKmsw2y","Root","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:30YN03R4Bjl8Qwz8wPRoXG","Adrenaline","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1995-09-29","https://i.scdn.co/image/ab67616d0000b273e0aa988082afc4ea586ab8dc","1","6","220826","https://p.scdn.co/mp3-preview/a1933a84787dba0f3288ce54d640d71efc4502a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USMV29500023","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-25T00:04:06Z"
"spotify:track:0gWVilx5PbHEf0zrpp1TmQ","Birthmark","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:30YN03R4Bjl8Qwz8wPRoXG","Adrenaline","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1995-09-29","https://i.scdn.co/image/ab67616d0000b273e0aa988082afc4ea586ab8dc","1","8","258466","https://p.scdn.co/mp3-preview/3442212759fd39b5a991371b60235dcbc23fdd06?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","USMV20000052","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-25T00:12:42Z"
"spotify:track:5vVKkF3xih38Vcoo4HgAo8","Engine No. 9","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:30YN03R4Bjl8Qwz8wPRoXG","Adrenaline","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1995-09-29","https://i.scdn.co/image/ab67616d0000b273e0aa988082afc4ea586ab8dc","1","9","204880","https://p.scdn.co/mp3-preview/81d6c3e4bf441aa33c46087dfe93a53a9e1e12d0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USMV20000053","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-25T00:15:15Z"
"spotify:track:1158ckiB5S4cpsdYHDB9IF","My Own Summer (Shove It)","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:7o4UsmV37Sg5It2Eb7vHzu","Around the Fur","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1997-10-27","https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6","1","1","214760","https://p.scdn.co/mp3-preview/369351855a3f60831f17edb8ae86bd201c51619c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USMV29700142","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-25T00:29:36Z"
"spotify:track:3Fwe3XoPOiyWUPYdBKMTqV","Around the Fur","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:7o4UsmV37Sg5It2Eb7vHzu","Around the Fur","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1997-10-27","https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6","1","4","211733","https://p.scdn.co/mp3-preview/2fc0cdbd6cf55472c4332345b4c8d419d53cc0ad?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USMV29700145","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-25T00:29:58Z"
"spotify:track:7Ca5yTC81P0AtRnNKHKzwJ","Rickets","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:7o4UsmV37Sg5It2Eb7vHzu","Around the Fur","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1997-10-27","https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6","1","5","162866","https://p.scdn.co/mp3-preview/a6b71e8a83efbdb043c891312bb54857929cb67b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USMV29700146","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-25T00:38:15Z"
"spotify:track:7iiULg8Kmbnh1vWbh9rnBA","Lotion","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:7o4UsmV37Sg5It2Eb7vHzu","Around the Fur","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1997-10-27","https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6","1","7","237733","https://p.scdn.co/mp3-preview/c7a8416da5ca86d8ef99e2df7f05f9fa1fa5d34c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USMV29700148","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-25T00:39:43Z"
"spotify:track:4dfvPFbLEa6JzZV4dZTWt7","Headup","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:7o4UsmV37Sg5It2Eb7vHzu","Around the Fur","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1997-10-27","https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6","1","9","372973","https://p.scdn.co/mp3-preview/3a534a2bd38e5be38e373654a5ab904cf84d5e87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USMV29700150","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-25T00:42:12Z"
"spotify:track:3jnYlchDDAiLzfkPPy12ig","Elite","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:5LEXck3kfixFaA3CqVE7bC","White Pony","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2000-05-16","https://i.scdn.co/image/ab67616d0000b2735c53799f473fa3e1a48c00ed","1","4","241800","https://p.scdn.co/mp3-preview/03d364473d0a2b23605f9c3541b39198f8808c86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USMV20000032","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-25T00:42:58Z"
