"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6Kz3o55LxMA11GbvFXHFtX","Human Behaviour","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Fb37JsRMVPASJcl3wwDOa","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b273768d171a47a3adae90c7c48a","1","1","252360","","false","57","GBBTF9300001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:25:39Z"
"spotify:track:7JzOlDVEgVJQPYvfadKGue","Crying","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Fb37JsRMVPASJcl3wwDOa","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b273768d171a47a3adae90c7c48a","1","2","290906","","true","40","GBBTF9300118","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:25:39Z"
"spotify:track:0NNgY2gc1TUwBQoVp98Fxw","Venus As A Boy","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Fb37JsRMVPASJcl3wwDOa","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b273768d171a47a3adae90c7c48a","1","3","282560","","false","59","GBBTF9300119","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:25:39Z"
"spotify:track:7kDSKKXhFd6P1hai5sjewG","There's More To Life Than This - Live At The Milk Bar Toilets","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Fb37JsRMVPASJcl3wwDOa","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b273768d171a47a3adae90c7c48a","1","4","201533","","false","39","GBBTF9300128","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:25:39Z"
"spotify:track:61QEkw7VnsH9kWUm1Zjunq","Like Someone In Love","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Fb37JsRMVPASJcl3wwDOa","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b273768d171a47a3adae90c7c48a","1","5","273400","","false","46","GBBTF9300121","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:25:39Z"
"spotify:track:6K0g7J6sKHwvDF6b2KGN3t","Big Time Sensuality","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Fb37JsRMVPASJcl3wwDOa","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b273768d171a47a3adae90c7c48a","1","6","236640","","false","53","GBBTF9300015","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:25:39Z"
"spotify:track:2w23e7ezIYFvXuMquuxAGQ","One Day","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Fb37JsRMVPASJcl3wwDOa","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b273768d171a47a3adae90c7c48a","1","7","324266","","false","38","GBBTF9300122","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:25:39Z"
"spotify:track:5K2ZAJ7GezwevGYBuh9rct","Aeroplane","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Fb37JsRMVPASJcl3wwDOa","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b273768d171a47a3adae90c7c48a","1","8","234466","","false","35","GBBTF9300123","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:25:39Z"
"spotify:track:0bHpsorTpt9wX6Dkr2LEfg","Come To Me","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Fb37JsRMVPASJcl3wwDOa","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b273768d171a47a3adae90c7c48a","1","9","295360","","false","54","GBBTF9300124","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:25:39Z"
"spotify:track:657lJn46lokhgSzdlDJgVm","Violently Happy","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Fb37JsRMVPASJcl3wwDOa","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b273768d171a47a3adae90c7c48a","1","10","299173","","false","42","GBBTF9300125","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:25:39Z"
