"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5nVE45ithgyVocZp5XLAk6","The Bug Collector","spotify:artist:73MDShZzdL4vUGMkmXOG6X","Haley Heynderickx","spotify:album:4I8BEAiq1kPqRRlvWLTo5B","I Need to Start a Garden","spotify:artist:73MDShZzdL4vUGMkmXOG6X","Haley Heynderickx","2018-03-02","https://i.scdn.co/image/ab67616d0000b2732590c2d33bd70c8bf059591b","1","2","228459","https://p.scdn.co/mp3-preview/cacd0c3406ddc9b892a1e06c91156727e4b4fc1e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","QMFW91700130","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:3hRV0jL3vUpRrcy398teAU","The Night We Met","spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25","Lord Huron","spotify:album:4sD1qg4jwTZR4mvR4Iflk5","Strange Trails","spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25","Lord Huron","2015-04-06","https://i.scdn.co/image/ab67616d0000b2731fa318e90c9d4ddc6b480853","1","14","208211","https://p.scdn.co/mp3-preview/a8e6c16eb3eafd9be7adc9d6118e938e27fbf4f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","US53Q1200103","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:1wcAKUbAyMRy0uSsFbyiCv","Mice","spotify:artist:02YLJJnWC7YQVixkjEBRn7","Billie Marten","spotify:album:6hGu9RB3CDDdorBicf4dMo","Feeding Seahorses by Hand","spotify:artist:02YLJJnWC7YQVixkjEBRn7","Billie Marten","2019-04-26","https://i.scdn.co/image/ab67616d0000b27363b01b526ec3cfaa01e52045","1","2","244260","https://p.scdn.co/mp3-preview/52f3bfe69b38aa68666d0fd1175e13ab86c2b87e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBARL1801130","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:3kQfBtkQqgN1fAMfhks8TU","Need 2","spotify:artist:2gbT6GPXMis0OAkZbEQCYB","Pinegrove","spotify:album:7zlf5gmgcFBUSLZpVsh9EE","Everything So Far","spotify:artist:2gbT6GPXMis0OAkZbEQCYB","Pinegrove","2015-10-15","https://i.scdn.co/image/ab67616d0000b2734e48dddf8b7fa7f224015588","1","7","191796","https://p.scdn.co/mp3-preview/2c9e6ecb87b69d97a5c65ac34d77505d3c693568?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","TCACJ1513588","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:53qpv8w99DU2A6SDOtBcmz","My Greedy Heart","spotify:artist:0BNz24TKUn8Ov1ApFkLzA1","Emile Mosseri","spotify:album:6Z8Q1X69OyIPYxABYQ78Zk","My Greedy Heart","spotify:artist:0BNz24TKUn8Ov1ApFkLzA1","Emile Mosseri","2023-05-02","https://i.scdn.co/image/ab67616d0000b273d4589239afc06e2e257692a9","1","1","199828","https://p.scdn.co/mp3-preview/aca8299d2f9c00864eed4c252c0b809f3da2b6d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","QMB622300103","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:3XxI16XYIjNhbvMFSN6Mlg","Chewing Cotton Wool","spotify:artist:3IunaFjvNKj98JW89JYv9u","The Japanese House","spotify:album:1OlByJ5jsP9Eklfp03Xn8z","Chewing Cotton Wool","spotify:artist:3IunaFjvNKj98JW89JYv9u","The Japanese House","2020-08-12","https://i.scdn.co/image/ab67616d0000b2738935646998a8d28d13bc348d","1","4","209343","https://p.scdn.co/mp3-preview/daa1696de5db16840471aef54a91801a0217633f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBK3W1901186","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:6rPTq5ct9hsJqGzDSTWDnk","too young to die","spotify:artist:6nXSnNEdLuKTzAQozRtqiI, spotify:artist:21egYD1eInY6bGFcniCRT1","M. Ward, First Aid Kit","spotify:album:5DLCp3qcsA7efiT5lOudqU","too young to die","spotify:artist:6nXSnNEdLuKTzAQozRtqiI","M. Ward","2023-06-20","https://i.scdn.co/image/ab67616d0000b273ddb8e6f8f8dc2ab659304879","1","1","274720","https://p.scdn.co/mp3-preview/243c7c6f3117ff024d3fb472b5b2efdd167e33b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USEP42251002","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:5LJ4ig9cMvjui3li1mrNRl","Punisher","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:6Pp6qGEywDdofgFC1oFbSH","Punisher","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2020-06-18","https://i.scdn.co/image/ab67616d0000b273a91b75c9ef65ed8d760ff600","1","4","189622","https://p.scdn.co/mp3-preview/3dcea4914a7c1a081104687397d318dbd666eda4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USJ5G2020004","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:4RD9ieX3yq8OLW5tlf1KLL","Ghosts","spotify:artist:7FDlvgcodNfC0IBdWevl4u","James Vincent McMorrow","spotify:album:6lJrqUXdCpEINx1fi5EqMa","The Twilight Saga: Breaking Dawn - Part 2 (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-11-09","https://i.scdn.co/image/ab67616d0000b27333d6ad1275ae8ebe156686f5","1","10","224600","https://p.scdn.co/mp3-preview/5f2b8d4d6ce30e7454381f89aae52cde40075f80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USAT21206052","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:0CzKeBPCiBrGZRV9eLzzBo","Wasting My Young Years","spotify:artist:3Bd1cgCjtCI32PYvDC3ynO","London Grammar","spotify:album:0Jxn7c5MQwqvkahOp4YiB5","If You Wait (Deluxe Version)","spotify:artist:3Bd1cgCjtCI32PYvDC3ynO","London Grammar","2013-01-01","https://i.scdn.co/image/ab67616d0000b2738e411f06d11a04c99df55247","1","4","204266","","false","63","GBCEN1300372","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:5eoy62yFNJAli6AyKK5qnH","We're In Love","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:12zbUHbPHL5DGuJtiUfsip, spotify:artist:1r1uxoy19fzMxunt3ONAkG, spotify:artist:07D1Bjaof0NFlU32KXiqUP","boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","spotify:album:0e9GjrztzBw8oMC6n2CDeI","the record","spotify:artist:1hLiboQ98IQWhpKeP9vRFw","boygenius","2023-03-31","https://i.scdn.co/image/ab67616d0000b27343fc02bcfa7cd4e6bb66aa22","1","10","294626","","false","67","USUG12209246","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:7lpmIGFw7Kc9qIdq4cGs34","Arsonist's Lullabye","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:44zQnmrFcPCmPp6NLMfTuz","Hozier (Special Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-11-06","https://i.scdn.co/image/ab67616d0000b2732303ece0e9af3917d0bce05f","2","3","266611","","false","63","IEACJ1400014","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:124udfUnJWptY8jBDXLo2Q","Switch It On, Switch It Off","spotify:artist:3U58oqsrbpLo0EbARkZrBW","Chartreuse","spotify:album:0OcNRlzQwvWmGQ7DKHuLja","Switch It On, Switch It Off","spotify:artist:3U58oqsrbpLo0EbARkZrBW","Chartreuse","2023-05-18","https://i.scdn.co/image/ab67616d0000b273af25768b01f2a6ca327f97a8","1","1","237749","https://p.scdn.co/mp3-preview/5a718737d5b444c97f8a46895f6b38dce39d949d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GB6TW2300049","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:7iHl6LcHD94l5VpmfrBUmG","Riverside","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","spotify:album:6dhuUg8lHDWChpHit1OgRa","Philharmonics","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","2010-10-04","https://i.scdn.co/image/ab67616d0000b273dd78bb3926955fc4f3be7dd5","1","2","228546","https://p.scdn.co/mp3-preview/07e62169dcec41510e09943eaa1e850f1bb5fd75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","BEP011000054","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:5H5fiZ0h9ndRn1IDqYyKRw","Stop Your Tears","spotify:artist:3lmR0qMiGuoIF9UC54egcG","Aldous Harding","spotify:album:2gJDTgluXw60rzJqdxuXjD","Aldous Harding","spotify:artist:3lmR0qMiGuoIF9UC54egcG","Aldous Harding","2014-07-25","https://i.scdn.co/image/ab67616d0000b273e39fa45dc28da527e0df72e8","1","1","338639","https://p.scdn.co/mp3-preview/479705be138083772b6ec7aa6892dd85e174ba34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","NZLS01400001","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:3rXUkMbfWH3N09nlhYjmyH","Didn't You","spotify:artist:6L6LwshK4H0TVqsNfCO69t","Baerd","spotify:album:0Q154DwfSE7smUIrFA1nWU","Didn't You","spotify:artist:6L6LwshK4H0TVqsNfCO69t","Baerd","2021-04-30","https://i.scdn.co/image/ab67616d0000b27301066e42d61f4e48f95e7fb3","1","1","243826","https://p.scdn.co/mp3-preview/7a1cdf55a812be5b2e77766ed278df9c6f6d0c94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","QZKWB2100040","spotify:user:","2023-06-23T04:00:00Z"
