"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2v3qNxVzduFv8RmBKDoGi8","Daddy","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","spotify:album:37cVlKDwp4lcIqb3Bwv4et","Casualties of Cool","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","2014-05-16","https://i.scdn.co/image/ab67616d0000b273542eccdde77fb44412d09fa6","1","1","311186","","false","0","CA1TB1400001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:12:44Z"
"spotify:track:6CfWfXKgpcEwQRmxK5pasK","Mountaintop","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","spotify:album:37cVlKDwp4lcIqb3Bwv4et","Casualties of Cool","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","2014-05-16","https://i.scdn.co/image/ab67616d0000b273542eccdde77fb44412d09fa6","1","2","333466","","false","0","CA1TB1400002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:12:44Z"
"spotify:track:0LNroCmxXfvqBoIKjfAhRi","Flight","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","spotify:album:37cVlKDwp4lcIqb3Bwv4et","Casualties of Cool","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","2014-05-16","https://i.scdn.co/image/ab67616d0000b273542eccdde77fb44412d09fa6","1","3","332466","","false","0","CA1TB1400003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:12:44Z"
"spotify:track:0A3CtNghq8O1ZSRSLWuoR5","The Code","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","spotify:album:37cVlKDwp4lcIqb3Bwv4et","Casualties of Cool","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","2014-05-16","https://i.scdn.co/image/ab67616d0000b273542eccdde77fb44412d09fa6","1","4","281106","","false","0","CA1TB1400004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:12:44Z"
"spotify:track:2KdNymqcDKBWViy0jDMnIS","Moon","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","spotify:album:37cVlKDwp4lcIqb3Bwv4et","Casualties of Cool","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","2014-05-16","https://i.scdn.co/image/ab67616d0000b273542eccdde77fb44412d09fa6","1","5","388306","","false","0","CA1TB1400005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:12:44Z"
"spotify:track:2EuWT1N3PWHWTE4wFIzE2G","Pier","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","spotify:album:37cVlKDwp4lcIqb3Bwv4et","Casualties of Cool","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","2014-05-16","https://i.scdn.co/image/ab67616d0000b273542eccdde77fb44412d09fa6","1","6","219026","","false","0","CA1TB1400006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:12:44Z"
"spotify:track:4oQC0jWpgtQ9GbSDFwuPci","Ether","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","spotify:album:37cVlKDwp4lcIqb3Bwv4et","Casualties of Cool","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","2014-05-16","https://i.scdn.co/image/ab67616d0000b273542eccdde77fb44412d09fa6","1","7","290333","","false","0","CA1TB1400007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:12:44Z"
"spotify:track:6pf608bCF6qX4jgzhaUIvt","Hejda","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","spotify:album:37cVlKDwp4lcIqb3Bwv4et","Casualties of Cool","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","2014-05-16","https://i.scdn.co/image/ab67616d0000b273542eccdde77fb44412d09fa6","1","8","220813","","false","0","CA1TB1400008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:12:44Z"
"spotify:track:3rnpQLROCz1ggFM7iQ3CBV","Forgive Me","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","spotify:album:37cVlKDwp4lcIqb3Bwv4et","Casualties of Cool","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","2014-05-16","https://i.scdn.co/image/ab67616d0000b273542eccdde77fb44412d09fa6","1","9","360440","","false","0","CA1TB1400009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:12:44Z"
"spotify:track:4dxfhLvSAO0cYuik13uwov","Broken","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","spotify:album:37cVlKDwp4lcIqb3Bwv4et","Casualties of Cool","spotify:artist:6uejjWIOshliv2Ho0OJAQN, spotify:artist:0tmHRvtQDDUUdbNN1KcRYS","Devin Townsend, Ché Aimee Dorval","2014-05-16","https://i.scdn.co/image/ab67616d0000b273542eccdde77fb44412d09fa6","1","10","119333","","false","0","CA1TB1400011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:12:44Z"
