"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2xmm12DRZHMvQ5pkkw48XY","Moonlight Sonata","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:46T4yCHjQfVxokuATj1SiV","Ludwig van Beethoven, Tina Guo","spotify:album:02kXIHxhEd7edpVHeSoxu1","Dies Irae","spotify:artist:46T4yCHjQfVxokuATj1SiV","Tina Guo","2021-08-27","https://i.scdn.co/image/ab67616d0000b273af97bf6ac8c4eadc70bfd899","1","1","270226","https://p.scdn.co/mp3-preview/584e5db457a8a314ab4adab5faa63800cc2a6d8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USSM12100512","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T20:38:44Z"
"spotify:track:3dqe8dRUH242luGEc36uPc","Moonheart","spotify:artist:46T4yCHjQfVxokuATj1SiV","Tina Guo","spotify:album:02kXIHxhEd7edpVHeSoxu1","Dies Irae","spotify:artist:46T4yCHjQfVxokuATj1SiV","Tina Guo","2021-08-27","https://i.scdn.co/image/ab67616d0000b273af97bf6ac8c4eadc70bfd899","1","2","271733","https://p.scdn.co/mp3-preview/764ba475b6f508697c4e73e9c4c58b49c38983ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USSM12100513","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T20:38:44Z"
"spotify:track:2rxjqb07eL809Rrbvx210l","Vivaldi Double Cello Concerto Mvt 1","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:46T4yCHjQfVxokuATj1SiV","Antonio Vivaldi, Tina Guo","spotify:album:02kXIHxhEd7edpVHeSoxu1","Dies Irae","spotify:artist:46T4yCHjQfVxokuATj1SiV","Tina Guo","2021-08-27","https://i.scdn.co/image/ab67616d0000b273af97bf6ac8c4eadc70bfd899","1","3","248493","https://p.scdn.co/mp3-preview/23e4f4b898ec2b22eaa7daa77e2e33468306bc3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USSM12100514","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T20:38:44Z"
"spotify:track:79gkIFaBoxbHnXKYDiHkdp","River Flows In You","spotify:artist:0fauHpmSHwodVYIjTqOGHz, spotify:artist:46T4yCHjQfVxokuATj1SiV","Yiruma, Tina Guo","spotify:album:02kXIHxhEd7edpVHeSoxu1","Dies Irae","spotify:artist:46T4yCHjQfVxokuATj1SiV","Tina Guo","2021-08-27","https://i.scdn.co/image/ab67616d0000b273af97bf6ac8c4eadc70bfd899","1","4","235106","https://p.scdn.co/mp3-preview/5eec09e39e2f7553266e22fe32995288b2ae078d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USSM12100515","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T20:38:44Z"
"spotify:track:7wlpaAKtDRDBtXO7gtvDXa","The Swan","spotify:artist:436sYg6CZhNefQJogaXeK0, spotify:artist:46T4yCHjQfVxokuATj1SiV","Camille Saint-Saëns, Tina Guo","spotify:album:02kXIHxhEd7edpVHeSoxu1","Dies Irae","spotify:artist:46T4yCHjQfVxokuATj1SiV","Tina Guo","2021-08-27","https://i.scdn.co/image/ab67616d0000b273af97bf6ac8c4eadc70bfd899","1","5","176213","https://p.scdn.co/mp3-preview/0fcd08e7e5817242036c317fbd90faa1d65efd82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USSM12100516","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T20:38:44Z"
"spotify:track:5QxYWEujNAQTZt4G7qaeVj","Summer","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:46T4yCHjQfVxokuATj1SiV","Antonio Vivaldi, Tina Guo","spotify:album:02kXIHxhEd7edpVHeSoxu1","Dies Irae","spotify:artist:46T4yCHjQfVxokuATj1SiV","Tina Guo","2021-08-27","https://i.scdn.co/image/ab67616d0000b273af97bf6ac8c4eadc70bfd899","1","6","151746","https://p.scdn.co/mp3-preview/f203324e6b04e85fd8e0e7a7fdf439f41eede9e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USSM12100517","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T20:38:44Z"
"spotify:track:5QFdNaH8psvAb9CXb4BiWC","Adagio for Strings and Organ","spotify:artist:17OArJzEhRR3OmhtGcnfBq, spotify:artist:46T4yCHjQfVxokuATj1SiV","Tomaso Albinoni, Tina Guo","spotify:album:02kXIHxhEd7edpVHeSoxu1","Dies Irae","spotify:artist:46T4yCHjQfVxokuATj1SiV","Tina Guo","2021-08-27","https://i.scdn.co/image/ab67616d0000b273af97bf6ac8c4eadc70bfd899","1","7","262706","https://p.scdn.co/mp3-preview/441cd17375ffe04e9b5629e47aaa1845cf09b852?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USSM12100518","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T20:38:44Z"
"spotify:track:1eGYi3QzH221oRrdGq26tB","Fantaisie - Impromptu (Op 66)","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:46T4yCHjQfVxokuATj1SiV","Frédéric Chopin, Tina Guo","spotify:album:02kXIHxhEd7edpVHeSoxu1","Dies Irae","spotify:artist:46T4yCHjQfVxokuATj1SiV","Tina Guo","2021-08-27","https://i.scdn.co/image/ab67616d0000b273af97bf6ac8c4eadc70bfd899","1","8","309080","https://p.scdn.co/mp3-preview/8f1c10ce7f15f4bdc38f3a2c4733a704b367b4a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USSM12100519","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T20:38:44Z"
"spotify:track:5DmprK0ejquTin4kbwwAg9","Requiem: Lacrimosa","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:46T4yCHjQfVxokuATj1SiV","Wolfgang Amadeus Mozart, Tina Guo","spotify:album:02kXIHxhEd7edpVHeSoxu1","Dies Irae","spotify:artist:46T4yCHjQfVxokuATj1SiV","Tina Guo","2021-08-27","https://i.scdn.co/image/ab67616d0000b273af97bf6ac8c4eadc70bfd899","1","9","213480","https://p.scdn.co/mp3-preview/1f71598fc2b6389d7ad5221b7147af114b464c3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USSM12100520","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T20:38:44Z"
"spotify:track:3t8UU8IwkzLUtFPnpgM8NP","Toccata and Fugue","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:46T4yCHjQfVxokuATj1SiV","Johann Sebastian Bach, Tina Guo","spotify:album:02kXIHxhEd7edpVHeSoxu1","Dies Irae","spotify:artist:46T4yCHjQfVxokuATj1SiV","Tina Guo","2021-08-27","https://i.scdn.co/image/ab67616d0000b273af97bf6ac8c4eadc70bfd899","1","10","215293","https://p.scdn.co/mp3-preview/962e5085411e2f5935ed535879d6706868aeed9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USSM12100521","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T20:38:44Z"
