"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4FXPzFHEJpC8gyKO9VuGYy","DKC - Theme","spotify:artist:1LgVvBvmQm48GExZDH322C","Good Knight Productions","spotify:album:2zGYTB05zi3JRZOVmGcedI","Donkey Kong Country, Vol. 2","spotify:artist:1LgVvBvmQm48GExZDH322C","Good Knight Productions","2014-07-25","https://i.scdn.co/image/ab67616d0000b2735315e1d9fb226027de22a2b6","1","12","134769","","false","1","USE830930913","spotify:user:paulogodoi","2017-04-18T02:48:08Z"
"spotify:track:3KqLuHdbLDZX2aiL7t5MTn","Donkey Kong Country 2 - Stickerbush Symphony","spotify:artist:2HgWHKsh49wkOVSTpcJbod","Arcadia","spotify:album:2HIZTK94Nss5z5cXiYeEa7","The Best Of Retro Video Game Music","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-03-13","https://i.scdn.co/image/ab67616d0000b273a92509993be396bafe5b86d8","1","12","282986","https://p.scdn.co/mp3-preview/201d5caf620ea9431ca13ada917975c6b888f9c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GB2CY0909271","spotify:user:paulogodoi","2017-04-18T01:49:18Z"
"spotify:track:6i8eiBOzHWUMyvdHtWY5xq","DKC 2 - Stickerbush Symphony","spotify:artist:1LgVvBvmQm48GExZDH322C","Good Knight Productions","spotify:album:2zGYTB05zi3JRZOVmGcedI","Donkey Kong Country, Vol. 2","spotify:artist:1LgVvBvmQm48GExZDH322C","Good Knight Productions","2014-07-25","https://i.scdn.co/image/ab67616d0000b2735315e1d9fb226027de22a2b6","1","21","145384","","false","0","USE830930922","spotify:user:paulogodoi","2017-04-18T01:44:18Z"
"spotify:track:3Ou18p7LbmW8GsJvSvAV8d","Stickerbush Symphony","spotify:artist:4aCvJneLXFoKTe1919Zk0J","PPF","spotify:album:62DrLZUDKmix9jCSFSxg0c","Stickerbush Symphony","spotify:artist:4aCvJneLXFoKTe1919Zk0J","PPF","2017-02-25","https://i.scdn.co/image/ab67616d0000b2732a10a7eb1747c99ecce27e70","1","1","276969","https://p.scdn.co/mp3-preview/414aaa30a6c58dae1ec29d636ff404b4b1a7051f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","QM4DW1713570","spotify:user:paulogodoi","2017-04-18T01:56:09Z"
"spotify:track:1N0MLIyDNi6DSKe3IPN7kr","Stickerbrush Symphony (From ""Donkey Kong Country 2"")","spotify:artist:1LgVvBvmQm48GExZDH322C","Good Knight Productions","spotify:album:1ROhNqkCjdL1vqbM7iddoQ","The Donkey Kong Country Collection, Vol. 2","spotify:artist:1LgVvBvmQm48GExZDH322C","Good Knight Productions","2013-11-11","https://i.scdn.co/image/ab67616d0000b2735b6513e58cc90aea81a0f29f","1","7","145384","https://p.scdn.co/mp3-preview/33dc78ec55507f80b3b847334a43d45ba1370d29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USE830910064","spotify:user:paulogodoi","2022-01-31T17:42:34Z"
"spotify:track:6Sv3O40Xwg4ixpK03BUuBi","DKC Aquatic Ambiance","spotify:artist:7zXC2O4xJihAlihdaquraL","Dicepticon","spotify:album:02hYuicQTAt0BWn1zsiMyl","DKC Aquatic Ambiance","spotify:artist:7zXC2O4xJihAlihdaquraL","Dicepticon","2017-04-14","https://i.scdn.co/image/ab67616d0000b273c64174558e6d5370a6ed482a","1","1","206367","https://p.scdn.co/mp3-preview/31cde8b7add0851e99f23b1667e6ed8c9458ffd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QMPKX1724486","spotify:user:paulogodoi","2017-04-18T02:09:15Z"
"spotify:track:5D8KCS9aMIAoiTXfu1KGaU","Aquatic Ambiance (From ""Donkey Kong Country"")","spotify:artist:6PBU6O1pLbVvgUixCHTqQ0","Trey Hodge","spotify:album:7L52NPbhjVfxRfQgOWE48P","Aquatic Ambiance (From ""Donkey Kong Country"")","spotify:artist:6PBU6O1pLbVvgUixCHTqQ0","Trey Hodge","2019","https://i.scdn.co/image/ab67616d0000b27308617c7bcb97123a15ccc375","1","1","290000","","false","0","QZGWW1994422","spotify:user:paulogodoi","2020-01-07T13:05:37Z"
"spotify:track:5HHsXw6ytjfN02qGW3lN4p","Aquatic Ambiance - Instrumental","spotify:artist:314qqmQguUWeJWeqR4qkYG","Polygon Piano","spotify:album:3L6hd0cFppOmzmpd8DAgF8","Donkey Kong Country Relaxing Piano (Instrumental)","spotify:artist:314qqmQguUWeJWeqR4qkYG","Polygon Piano","2021-12-10","https://i.scdn.co/image/ab67616d0000b2734e6c6bd69df8021813b60b16","1","3","265074","https://p.scdn.co/mp3-preview/9d8974a00b8bc29470682248a3cd4eead4024bcd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QZPJ32124774","spotify:user:paulogodoi","2021-12-15T23:22:05Z"
"spotify:track:0zyuiNDixprOtMU41xMaf0","DKC 2 - Stickerbush Symphony","spotify:artist:1LgVvBvmQm48GExZDH322C","Good Knight Productions","spotify:album:0oI62zS46c7zIHMj7BJyBv","Donkey Kong Country, Vol. 1","spotify:artist:1LgVvBvmQm48GExZDH322C","Good Knight Productions","2014-07-25","https://i.scdn.co/image/ab67616d0000b2734f3d426c4ad5f14dc7ddada2","1","5","271800","","false","0","USE830930843","spotify:user:paulogodoi","2017-04-18T01:41:36Z"
"spotify:track:4RDvz0aNzATr7vKCJBHXst","Stickerbrush Symphony (feat. Dacian Grada) [From ""Donkey Kong Country 2""]","spotify:artist:4MW4yLqYDDJIP1T8MYRayA, spotify:artist:2x4nKS8WqFNdbDg51xUvw1","SlashBib, Dacian Grada","spotify:album:33FnPKXeAbkhRTzc0TEp3Z","Stickerbrush Symphony (feat. Dacian Grada) [From ""Donkey Kong Country 2""]","spotify:artist:4MW4yLqYDDJIP1T8MYRayA","SlashBib","2016-06-07","https://i.scdn.co/image/ab67616d0000b2735025c35782af10fece542888","1","1","285081","","false","0","USE831571506","spotify:user:paulogodoi","2017-04-18T02:07:51Z"
