"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1ZgMsA55GIY7ICkQh5MILA","Space Song","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:4SkZTSXdPpzTbf6C0m1UKv","Depression Cherry","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2015-08-28","https://i.scdn.co/image/ab67616d0000b273d5140862a9eec9017629eaff","1","3","320466","https://p.scdn.co/mp3-preview/2f0c79094153f5a079b9e8f813ab7ba42d230092?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USSUB1512203","spotify:user:","2021-10-01T10:38:06Z"
"spotify:track:190IqlryWu91WBKeDgZqZz","Only in My Dreams","spotify:artist:2sSGPbdZJkaSE2AbcGOACx","The Marías","spotify:album:5XX1xVOP61GDQCGaZMLjhO","Superclean, Vol. I","spotify:artist:2sSGPbdZJkaSE2AbcGOACx","The Marías","2017-11-03","https://i.scdn.co/image/ab67616d0000b2730924b9c6232d2348d4efa0dc","1","4","170893","https://p.scdn.co/mp3-preview/b6443de0208492c85dc0f05ea4a67bbf8f3287f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","QZ9Y21780745","spotify:user:","2021-10-01T10:38:06Z"
"spotify:track:4BN4eqlL0VzTBW0QUo9ChQ","Avril 14th","spotify:artist:57anmI1X2hXWPrNagFdzZr","YACHT","spotify:album:0Hwtd4hmlTu6aG3bFHVQ7z","Sub Versions","spotify:artist:57anmI1X2hXWPrNagFdzZr","YACHT","2021-01-05","https://i.scdn.co/image/ab67616d0000b273961b8e1c5ccb12cf17e746bc","1","4","130063","https://p.scdn.co/mp3-preview/1468341dd7880476a5e78029c2dde863a9c2b8da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QZFYY2166038","spotify:user:","2021-10-01T10:38:06Z"
"spotify:track:26iu1k7U1NT2i8Sz7mDPGa","Yam Yam","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:127WZmGnH2ui60lIJVSEZi","Yam Yam","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2017-05-12","https://i.scdn.co/image/ab67616d0000b273b0241723ad3a535fd9cd15ec","1","1","216038","https://p.scdn.co/mp3-preview/91ae3bf210ba541d210093a63828cbdcf97c216b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USEZ61716902","spotify:user:","2021-10-01T10:38:06Z"
"spotify:track:6lvJDlBrtabJWiBlMTGxKs","For the Damaged Coda","spotify:artist:5isqImG0rLfAgBJSPMEVXF","Blonde Redhead","spotify:album:6wRDKCpKw3ap6dhkpdXNIN","Melody of Certain Damaged Lemons","spotify:artist:5isqImG0rLfAgBJSPMEVXF","Blonde Redhead","2000-06-06","https://i.scdn.co/image/ab67616d0000b2735d03db2dbc21ba11e3e00330","1","11","157000","https://p.scdn.co/mp3-preview/951432f6f7ad6f741afe1bc3cbe0e141114be9ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USTG30021611","spotify:user:","2021-10-01T10:38:06Z"
"spotify:track:5E9trydB4IZiSwcxJM2XT1","The Spiral Arm - Edit","spotify:artist:1xAG4AeOmO97QdYhoW01EA","Dallas Acid","spotify:album:0YvPufhcKcVeNUH0UHW0JD","The Spiral Arm (Edit)","spotify:artist:1xAG4AeOmO97QdYhoW01EA","Dallas Acid","2019-08-21","https://i.scdn.co/image/ab67616d0000b273d281150696501c4ebe1dbbaf","1","1","318670","https://p.scdn.co/mp3-preview/a3762e8dcf9e2df8de2b876008cd6d8252dc8b79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GB5P51900311","spotify:user:","2021-10-01T10:38:06Z"
"spotify:track:37pKTyMwalomKCZjxTc2QZ","Cherry-coloured Funk","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:5lEphbceIgaK1XxWeSrC9E","Heaven or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b2735d2fdd1564ccab97e60c656f","1","1","192466","https://p.scdn.co/mp3-preview/46a28e2988f0ea7b6317fe2d2eacaf09519a7f86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAFL9000062","spotify:user:","2021-10-01T10:38:06Z"
"spotify:track:0dcu28YT8cXZH7JTIraszp","Starting Over","spotify:artist:2feOOr1Yjovo67byuxvjZv","LSD and the Search for God","spotify:album:46q859znSzYPVwz7OaO7GS","LSD and the Search for God","spotify:artist:2feOOr1Yjovo67byuxvjZv","LSD and the Search for God","2007-01-16","https://i.scdn.co/image/ab67616d0000b273be9bb007638d6e2a0f64cab0","1","4","304240","https://p.scdn.co/mp3-preview/08b3150edceeb62de9f8974c452a424c36ee676e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","uscgh1625021","spotify:user:","2021-10-01T10:38:06Z"
"spotify:track:2TIJiqr72Qe9tGd26fStIN","Lazuli","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:600BVck2XflTAsEo0KhIfm","Bloom","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2012-05-14","https://i.scdn.co/image/ab67616d0000b2736fde4310dfefdb4a1c0d269b","1","3","301866","https://p.scdn.co/mp3-preview/6687c356b5fc4ad32b8048a73be7685d9cc78719?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBBRP1233403","spotify:user:","2021-10-01T10:38:06Z"
"spotify:track:0mpKGswMW2MypC6kryHQmL","Echo's Answer","spotify:artist:0WtTGUjbur1R1cNzBvbsMU","Broadcast","spotify:album:10nM1bEq6nBmY5CvK9gDVI","The Noise Made By People","spotify:artist:0WtTGUjbur1R1cNzBvbsMU","Broadcast","2000-03-20","https://i.scdn.co/image/ab67616d0000b2732a4dd381d59a0b1eb25a5de0","1","5","191893","https://p.scdn.co/mp3-preview/fcaccc16288987f7581b0cf37b05b25d34cb22c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBBPW9900117","spotify:user:","2021-10-01T10:38:06Z"
