"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1lxgQG0xeAsS1r0u9M1TcP","GLASS CHIME","spotify:artist:3nYCvyP4RxuKyEKygqxWHy","INOYAMALAND","spotify:album:5pOZiyJq4YQcTLkV3TyFjX","DANZINDAN-POJIDON (New Master Edition)","spotify:artist:3nYCvyP4RxuKyEKygqxWHy","INOYAMALAND","2018-08-29","https://i.scdn.co/image/ab67616d0000b273d8b809f5ff0627337f076c18","1","3","206693","https://p.scdn.co/mp3-preview/e8160f69d88ee6444e025fd213998b19056aae4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","JPS801836073","spotify:user:ella_greenleaf","2021-08-18T10:34:32Z"
"spotify:track:7M4kP0OOfWAOe1ZGWaCHst","Seiko 3","spotify:artist:0Q14t6kRnPv4av49Rz5o6e","Yasuaki Shimizu","spotify:album:6EGDUidDFrjFoxg6uSQdbH","Music For Commercials","spotify:artist:0Q14t6kRnPv4av49Rz5o6e","Yasuaki Shimizu","1987-01-01","https://i.scdn.co/image/ab67616d0000b273eea981298a1f040c8292ddf2","1","6","77373","https://p.scdn.co/mp3-preview/60fb89038466111e6ad92ac769d03aa403bb5049?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","BE6F51700860","spotify:user:ella_greenleaf","2021-08-18T10:34:53Z"
"spotify:track:3OCxOUUH3FUf8xk0RuWADJ","ザ・ワード II","spotify:artist:4fP5zCJRf168wiWHG9tR9m","セキトオ・シゲオ","spotify:album:2rwQ71x5mXHX162ce5ypy7","華麗なるエレクトーン -ザ・ワード-","spotify:artist:4fP5zCJRf168wiWHG9tR9m","セキトオ・シゲオ","1975-01-25","https://i.scdn.co/image/ab67616d0000b273583e3a677882a4a4e7115234","1","8","183569","https://p.scdn.co/mp3-preview/96513671a4672573b8a205f03fa5be4c73e75c98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","JPCO07478940","spotify:user:ella_greenleaf","2021-08-26T10:42:32Z"
"spotify:track:0De4Hf7QAXqC9ryt6vhaeD","Sheep","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:6MxkeFgSxYVHrUgwTzOQq4","Green","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","2020-03-19","https://i.scdn.co/image/ab67616d0000b273f72e27ccf61ff3f222357a5d","1","3","319666","","false","0","USDEA2019203","spotify:user:ella_greenleaf","2021-08-30T04:51:06Z"
"spotify:track:7ngjSKJczynbcdrRGNrf6Y","Teevee","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:6MxkeFgSxYVHrUgwTzOQq4","Green","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","2020-03-19","https://i.scdn.co/image/ab67616d0000b273f72e27ccf61ff3f222357a5d","1","8","216666","","false","0","USDEA2019208","spotify:user:ella_greenleaf","2021-08-30T05:02:00Z"
"spotify:track:3Z33oGLTszvbXqtUFS7giD","never enough","spotify:artist:70RGuffxPE3qcjlvfeAaUy","Jason Calhoun","spotify:album:1dTFykhEchpYDQpWpy40Wo","Notebook","spotify:artist:70RGuffxPE3qcjlvfeAaUy","Jason Calhoun","2021-09-03","https://i.scdn.co/image/ab67616d0000b2730edb6032ad7155573c2bcb04","1","9","166000","https://p.scdn.co/mp3-preview/0c362d7ed5a945d9eb1f8d665d6f9b697b79532b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","QZK6M2144954","spotify:user:ella_greenleaf","2021-09-15T04:22:27Z"
"spotify:track:6uFbnYWd2ruMcNGR1H3CYc","Dreams of Nostalgia","spotify:artist:0ssDUMMQsAhDLqKwBqEnGZ","Lionmilk","spotify:album:5mxgJbHiimwRg1bqobBKUr","Depths of Madness","spotify:artist:0ssDUMMQsAhDLqKwBqEnGZ","Lionmilk","2018-05-11","https://i.scdn.co/image/ab67616d0000b27380f55e1072639d3d925d2dc7","1","1","136179","https://p.scdn.co/mp3-preview/55f1732521b62730cf9bc43a8b4dfeaf160ff768?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","QZCE61830958","spotify:user:ella_greenleaf","2021-09-16T02:41:12Z"
"spotify:track:6fd6PaAxm5J6C99g8MqQbA","Zoë","spotify:artist:4JetDonobJxbjyf8JgtowU","Duke Hugh","spotify:album:5lhNhOhutNB5JSIf4notVn","Zoë","spotify:artist:4JetDonobJxbjyf8JgtowU","Duke Hugh","2020-02-12","https://i.scdn.co/image/ab67616d0000b2730b605ad6f5dbb5d7a342a200","1","1","148965","","false","0","DEG932000230","spotify:user:ella_greenleaf","2021-09-16T04:04:40Z"
"spotify:track:1PnI7MvKYUI7wqYqOI6Xvb","People Eating Fruit","spotify:artist:4aEnNH9PuU1HF3TsZTru54","Caribou","spotify:album:447aAsTmmXFZ0tyoB7sK3z","Start Breaking My Heart (Special Edition)","spotify:artist:4aEnNH9PuU1HF3TsZTru54","Caribou","2001-03-26","https://i.scdn.co/image/ab67616d0000b273f1fec68fe04764a86c043168","1","2","371333","https://p.scdn.co/mp3-preview/fc6bfb89cfc6e2db5de09913f1025567abe552b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","GBCKB0000077","spotify:user:ella_greenleaf","2021-09-16T10:54:54Z"
"spotify:track:12BSoYtXIX1X31YGYacjTq","tadpoles lullaby","spotify:artist:4yk43MhqPWsrrzoRyoMZhv","galen tipton","spotify:album:2qDMzs2S9D56WE9NDOkHSE","carepackage","spotify:artist:4yk43MhqPWsrrzoRyoMZhv","galen tipton","2020-11-19","https://i.scdn.co/image/ab67616d0000b2734fad242611916aecc4946296","1","10","92000","","false","0","QZGWX2061668","spotify:user:ella_greenleaf","2021-09-24T09:26:42Z"
"spotify:track:5oTnjavcEz8hENl2nlYmdx","Bismillahi 'Rrahmani 'Rrahim","spotify:artist:3uOCouLFR4bVx0XeiQJSbl","Harold Budd","spotify:album:0hWjBUtA4eoFsyh6lygVRN","The Pavilion Of Dreams","spotify:artist:3uOCouLFR4bVx0XeiQJSbl","Harold Budd","1978","https://i.scdn.co/image/ab67616d0000b2730ddb034b48f7e074421e7d9c","1","1","1107266","","false","40","GBAAA7800295","spotify:user:ella_greenleaf","2021-10-16T23:38:12Z"
