"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6KGLT3iPhbz6MqjVB8rTgb","Yardım Et","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","spotify:album:6exeb88tfpVT9cNdjVpndS","Dünya Yalan Söylüyor","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","2004-04-16","https://i.scdn.co/image/ab67616d0000b2734b5db2097749dbd8f61fa07d","1","1","335120","","false","0","TR0440600101","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:34:35Z"
"spotify:track:2fMhwt77wUh3noEuedB3Nt","Cambaz","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","spotify:album:6exeb88tfpVT9cNdjVpndS","Dünya Yalan Söylüyor","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","2004-04-16","https://i.scdn.co/image/ab67616d0000b2734b5db2097749dbd8f61fa07d","1","2","230600","","false","0","TR0440600102","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:34:35Z"
"spotify:track:5oecOcmSEHs7MZiB0NPbFu","Bir Derdim Var","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","spotify:album:6exeb88tfpVT9cNdjVpndS","Dünya Yalan Söylüyor","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","2004-04-16","https://i.scdn.co/image/ab67616d0000b2734b5db2097749dbd8f61fa07d","1","3","204320","","false","0","TR0440600103","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:34:35Z"
"spotify:track:0VuJ6W5qKHqqdRGsqvQgvQ","Re","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","spotify:album:6exeb88tfpVT9cNdjVpndS","Dünya Yalan Söylüyor","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","2004-04-16","https://i.scdn.co/image/ab67616d0000b2734b5db2097749dbd8f61fa07d","1","4","219173","","false","0","TR0440600105","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:34:35Z"
"spotify:track:4GLb9LumGhEi8xTeZ9uriB","Sevda Çiçeği","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","spotify:album:6exeb88tfpVT9cNdjVpndS","Dünya Yalan Söylüyor","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","2004-04-16","https://i.scdn.co/image/ab67616d0000b2734b5db2097749dbd8f61fa07d","1","5","240440","","false","0","TR0440600106","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:34:35Z"
"spotify:track:7uurWQbro6qFL2NO1HXbdo","Serseri","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","spotify:album:6exeb88tfpVT9cNdjVpndS","Dünya Yalan Söylüyor","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","2004-04-16","https://i.scdn.co/image/ab67616d0000b2734b5db2097749dbd8f61fa07d","1","6","214053","","false","0","TR0440600110","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:34:35Z"
"spotify:track:5fFZKrBubMTr0YBV1lPlUO","Aşk İçinde","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","spotify:album:6exeb88tfpVT9cNdjVpndS","Dünya Yalan Söylüyor","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","2004-04-16","https://i.scdn.co/image/ab67616d0000b2734b5db2097749dbd8f61fa07d","1","7","241280","","false","0","TR0440600104","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:34:35Z"
"spotify:track:61rNTEUgscuSzvvoLpI0SQ","Az Çok","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","spotify:album:6exeb88tfpVT9cNdjVpndS","Dünya Yalan Söylüyor","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","2004-04-16","https://i.scdn.co/image/ab67616d0000b2734b5db2097749dbd8f61fa07d","1","8","179280","","false","0","TR0440600107","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:34:35Z"
"spotify:track:6rPHlf5CsrTXXqGUlUS8sj","Son Deneme","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","spotify:album:6exeb88tfpVT9cNdjVpndS","Dünya Yalan Söylüyor","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","2004-04-16","https://i.scdn.co/image/ab67616d0000b2734b5db2097749dbd8f61fa07d","1","9","197200","","false","0","TR0440600109","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:34:35Z"
"spotify:track:4KJvTP0sy3Wwpa3cLsgZYL","Uyan","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","spotify:album:6exeb88tfpVT9cNdjVpndS","Dünya Yalan Söylüyor","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","2004-04-16","https://i.scdn.co/image/ab67616d0000b2734b5db2097749dbd8f61fa07d","1","10","1646320","","false","0","TR0440600108","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:34:35Z"
