"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2gcFDH1qU4M0b2v4sPuQVN","The Legendary Hero (From ""Zelda: The Wind Waker"") [For Flute & Piano Duet]","spotify:artist:1CRvJnCbPjgx0xmBdoex0c, spotify:artist:6dOnTTVTbQlFWF6yfD4Vw5","Koji Kondo, daigoro789","spotify:album:3fTR60L39OTUrhaMVs46Eu","The Legend Of Zelda Series: The Very Best Soundtrack Selection (For Flute & Piano Duet)","spotify:artist:6dOnTTVTbQlFWF6yfD4Vw5","daigoro789","2017-09-01","https://i.scdn.co/image/ab67616d0000b27383b6d0f335f32968b0a2c266","1","17","224448","","false","0","QZ22B1830260","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-18T04:59:03Z"
"spotify:track:2EozGvIo2Kb5uIfeCQrNgy","Legend of Zelda Medley - (1/3)","spotify:artist:1CRvJnCbPjgx0xmBdoex0c, spotify:artist:7eSzU0TjGXlVL3bXSexvo7, spotify:artist:3g4tIHdhjNS5LYO0VAFalQ, spotify:artist:3s9zTij1nIF3KY1G6BG1WZ, spotify:artist:3WfHswSPreCR9WM8sgawBF, spotify:artist:094Eb3gQkbFFT4seoZoMaS","Koji Kondo, Hajime Wakai, Shiho Fujii, Mahito Yokota, Takeshi Hama & Koji Kondo, Triforce Quartet","spotify:album:7HmxBiDH7CLcrKh5lcUZ9n","The Legend Of","spotify:artist:094Eb3gQkbFFT4seoZoMaS","Triforce Quartet","2014-08-29","https://i.scdn.co/image/ab67616d0000b273da2cf858e72e1b4bef2f5f65","1","2","298771","","false","0","USE830934420","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-18T21:08:12Z"
"spotify:track:5z4vmar50qPl80GjIrPBXm","It's Raining Somewhere Else","spotify:artist:57DlMWmbVIf2ssJ8QBpBau","Toby Fox","spotify:album:2M2Ae2SvZe3fmzUtlVOV5Z","UNDERTALE Soundtrack","spotify:artist:57DlMWmbVIf2ssJ8QBpBau","Toby Fox","2015-09-15","https://i.scdn.co/image/ab67616d0000b27324edb22d068eb245a924b7f2","1","63","170312","https://p.scdn.co/mp3-preview/98d53b5a4685205300de16b9e9f4a205f9eb42f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USE831569662","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-18T21:36:25Z"
"spotify:track:4MVk79dmYqi7HQs0bMgboy","Ghost Duet","spotify:artist:7jOY91ZU7kn86slH3fBbaD","Louie Zong","spotify:album:1hFbNCr36ZHTl6rP7n2GPk","Ghost Duet","spotify:artist:7jOY91ZU7kn86slH3fBbaD","Louie Zong","2017-10-31","https://i.scdn.co/image/ab67616d0000b273d9a044b9ec1be8dc77f35717","1","1","60004","https://p.scdn.co/mp3-preview/6fe1e54b1499492162366cba4b6187eac86ebb95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","QZAPG1779505","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-18T21:37:25Z"
"spotify:track:1ZA8wuVp91YbS1uif1hyYR","The Legend","spotify:artist:57DlMWmbVIf2ssJ8QBpBau","Toby Fox","spotify:album:6putGW0KxGMrgTZzplp2pF","DELTARUNE Chapter 1 (Original Game Soundtrack)","spotify:artist:57DlMWmbVIf2ssJ8QBpBau","Toby Fox","2018-11-01","https://i.scdn.co/image/ab67616d0000b27306f2539e9993e43ae9adcc69","1","8","111272","https://p.scdn.co/mp3-preview/115da07883dc43d2bbd77cf4a55728cf4f44136e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QZ6K41802189","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-19T00:13:45Z"
"spotify:track:6g0y8cpi8c9eCPfz5XvW5T","My Castle Town","spotify:artist:57DlMWmbVIf2ssJ8QBpBau","Toby Fox","spotify:album:7DAiPXN3HdbktwwFzQXqrZ","DELTARUNE Chapter 2 (Original Game Soundtrack)","spotify:artist:57DlMWmbVIf2ssJ8QBpBau","Toby Fox","2021-09-17","https://i.scdn.co/image/ab67616d0000b2734e48efe54e29fa5dc5e0a0d6","1","3","127554","https://p.scdn.co/mp3-preview/8949e14a7efa25a79a8361b48a4d64d7a97565c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","QZ6K42100437","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-19T01:30:54Z"
"spotify:track:3WyO0TqGAH8DIWLdSih2w2","Rosalina in the Observatory","spotify:artist:2dB3VxAmEw5Dqewiha1oO1","The Greatest Bits","spotify:album:47gHXI2zFBR8L3IhAYfiQB","Super Mario Galaxy","spotify:artist:2dB3VxAmEw5Dqewiha1oO1","The Greatest Bits","2014-11-04","https://i.scdn.co/image/ab67616d0000b27315b9a747ca1ff3f46af2b82e","1","1","146624","","false","0","USE830943066","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-19T02:20:30Z"
"spotify:track:1hdDnQRPinE8hxYhW3uy6u","The Path (A New Beginning)","spotify:artist:4W3fa7tiXGVXl3KilbACqt","Gustavo Santaolalla","spotify:album:2GFFxj8aR2XpwIMYanOPjh","The Last of Us","spotify:artist:4W3fa7tiXGVXl3KilbACqt","Gustavo Santaolalla","2013-06-07","https://i.scdn.co/image/ab67616d0000b27368e5e7cc9256ca8c0917a9dd","1","29","167066","https://p.scdn.co/mp3-preview/25d458a5cc69427123544f409e206e3a0e0fd20b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USGSS1300123","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-19T02:25:28Z"
"spotify:track:5cx2ht4oHPS6RzuoewPbNW","Kass' Theme (From ""The Legend of Zelda: Breath of the Wild"")","spotify:artist:0LzeyDrlLtuyBqMSBN4z3U","Qumu","spotify:album:6CGxznqClEBpBFjdzb4X9t","Year 4","spotify:artist:0LzeyDrlLtuyBqMSBN4z3U","Qumu","2020-02-11","https://i.scdn.co/image/ab67616d0000b2733f83a4a752cf4c9345994752","1","3","218130","https://p.scdn.co/mp3-preview/f2e3f25eabc5a841720d38d1fc82bfd4ba3ec599?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","QZ22B1762850","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-19T02:27:55Z"
"spotify:track:1vuSdk2EGjh3eXCXBbT9Qf","Ruins","spotify:artist:57DlMWmbVIf2ssJ8QBpBau","Toby Fox","spotify:album:2M2Ae2SvZe3fmzUtlVOV5Z","UNDERTALE Soundtrack","spotify:artist:57DlMWmbVIf2ssJ8QBpBau","Toby Fox","2015-09-15","https://i.scdn.co/image/ab67616d0000b27324edb22d068eb245a924b7f2","1","5","92282","https://p.scdn.co/mp3-preview/f6b802f444b692cd42fd9f1d7026d43a238410b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USE831569603","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-19T02:31:20Z"
"spotify:track:4UnZNaZ6mI2TRanaCG8jJ6","Tender Strength","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","spotify:album:4B5efqHkeq0UaDGx8nYOuf","Genshin Impact - City of Winds and Idylls (Original Game Soundtrack)","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","2020-09-28","https://i.scdn.co/image/ab67616d0000b273fd948e98a2fba6e8b22cb873","1","24","82755","https://p.scdn.co/mp3-preview/d6cfefb070472b0b4aa90b5f0fbcb82f6691d3fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","FRS182046459","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-20T00:12:33Z"
"spotify:track:6idOWNrt9dwvetYIy70JLy","Song of Storms (From ""Ocarina of Time"")","spotify:artist:6i5jeqNyrzyfDwIiAfNdyF","Moisés Nieto","spotify:album:46dWcsfL3DjTrF0nW2tghO","The Legend of Zelda: Piano Solo","spotify:artist:6i5jeqNyrzyfDwIiAfNdyF","Moisés Nieto","2015-07-14","https://i.scdn.co/image/ab67616d0000b27350b4289c3ee41b1c1fc2966b","1","4","91951","https://p.scdn.co/mp3-preview/418f9331c31807bf977daffb2dd2cfe00678246a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USE830992027","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-21T22:11:26Z"
"spotify:track:6pVuaoVoLIUeG3Yl5ygAsJ","National Park","spotify:artist:1U2GH2NLt30RW9bnJEvcgM, spotify:artist:5rIiXGQsgxh3nQhEpFIbx7","Braxton Burks, Augustine Mayuga Gonzales","spotify:album:1mzfFUt0dI6j1Y2XbyZ3Jl","Johto Legends (Music from ""Pokémon Gold and Silver"")","spotify:artist:1U2GH2NLt30RW9bnJEvcgM","Braxton Burks","2018-01-19","https://i.scdn.co/image/ab67616d0000b273e9028efab6870bd8ca92c253","1","15","198976","https://p.scdn.co/mp3-preview/883220b2f4430c40899a29dd0fe67835d44437d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QZ6K41800065","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-21T22:18:55Z"
"spotify:track:4VhgmvWwA3eDyxIhKJ7nc2","Comet Observatory","spotify:artist:1LgVvBvmQm48GExZDH322C","Good Knight Productions","spotify:album:4WHw7nHg2tlT0ClrJvS8dE","Super Mario Galaxy Collection","spotify:artist:1LgVvBvmQm48GExZDH322C","Good Knight Productions","2015-10-25","https://i.scdn.co/image/ab67616d0000b2737ac3d95799eab7fe991dc9d1","1","5","67871","https://p.scdn.co/mp3-preview/11dbd349fb5d729edf7e3c71d6f6c73f2f314c26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USE831515384","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-21T22:21:21Z"
"spotify:track:7Af5aQzfpm2VxnCFsy6Tkx","Snowy","spotify:artist:57DlMWmbVIf2ssJ8QBpBau","Toby Fox","spotify:album:2M2Ae2SvZe3fmzUtlVOV5Z","UNDERTALE Soundtrack","spotify:artist:57DlMWmbVIf2ssJ8QBpBau","Toby Fox","2015-09-15","https://i.scdn.co/image/ab67616d0000b27324edb22d068eb245a924b7f2","1","17","104262","https://p.scdn.co/mp3-preview/1c1533efadfaa583aeefc1d4f4fa5e9456011235?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USE831569700","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-21T22:22:56Z"
"spotify:track:1twJDdrZIfpsx2ft6mCK83","Medley Zelda Breath of the Wild: Main Theme / On Horse / Rito Village / Hyrule Castle / Beast Ganon","spotify:artist:3a14nCsT2szuTW5dmBhijO","Grissini Project","spotify:album:69QtdOPxyHLIvnsagvHCzi","Grissini Project : Musique de jeux vidéos, animés et films","spotify:artist:3a14nCsT2szuTW5dmBhijO","Grissini Project","2018-10-08","https://i.scdn.co/image/ab67616d0000b27315d0a47768c90d7111f3588c","1","5","567906","https://p.scdn.co/mp3-preview/9b7e7f32dce8f839aed8fcd24641233f547f6bc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","QZ22B1826241","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-21T22:32:20Z"
