"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4COmeKH1pLNNpXcgtMcyQH","...And the Gods Made Love","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:5z090LQztiqh13wYspQvKQ","Electric Ladyland","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1968-10-25","https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292","1","1","82626","https://p.scdn.co/mp3-preview/dc38f892e4200da520a0c7f21193eab78779e589?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USQX90900735","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-25T22:37:16Z"
"spotify:track:3Yh64aiu2ANBwDFztyPDkT","Have You Ever Been (To Electric Ladyland)","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:5z090LQztiqh13wYspQvKQ","Electric Ladyland","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1968-10-25","https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292","1","2","130039","https://p.scdn.co/mp3-preview/bd5cc55b065b401771bd0b1391f53f32d6a18a65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USQX90900736","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-25T22:37:16Z"
"spotify:track:1ntxpzIUbSsizvuAy6lTYY","Crosstown Traffic","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:5z090LQztiqh13wYspQvKQ","Electric Ladyland","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1968-10-25","https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292","1","3","146573","https://p.scdn.co/mp3-preview/a0edbf35d67e50f4c818cd4b8f09333e29db1bfe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USQX90900737","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-25T22:37:16Z"
"spotify:track:0auKlivXpm76wR63mMJ3pR","Voodoo Chile","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:5z090LQztiqh13wYspQvKQ","Electric Ladyland","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1968-10-25","https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292","1","4","899933","https://p.scdn.co/mp3-preview/09dedfcffdba5a425a5647213e7763c6df4b22d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USQX90900738","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-25T22:37:16Z"
"spotify:track:1jhH7vvy8hoHuc0mGuZsLX","Little Miss Strange","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:5z090LQztiqh13wYspQvKQ","Electric Ladyland","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1968-10-25","https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292","1","5","172200","https://p.scdn.co/mp3-preview/7d8e41aee75888537811229ce3890aff34e4d851?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USQX90900739","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-25T22:37:16Z"
"spotify:track:1HFj7yC7uZfqjWuoH6DO9r","Long Hot Summer Night","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:5z090LQztiqh13wYspQvKQ","Electric Ladyland","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1968-10-25","https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292","1","6","207760","https://p.scdn.co/mp3-preview/c3dbec6efd0489572a0e239332eb1e295f2a0a0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USQX90900740","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-25T22:37:16Z"
"spotify:track:0KqHJXm4Z42fELkW83ZW0r","Come On (Let the Good Times Roll)","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:5z090LQztiqh13wYspQvKQ","Electric Ladyland","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1968-10-25","https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292","1","7","249373","https://p.scdn.co/mp3-preview/98a68eac2eb4b97da2b63deca9258b26810600e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USQX90900741","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-25T22:37:16Z"
"spotify:track:1DfWmv1eJU1a9tuGpqKGFP","Gypsy Eyes","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:5z090LQztiqh13wYspQvKQ","Electric Ladyland","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1968-10-25","https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292","1","8","223680","https://p.scdn.co/mp3-preview/7b5c7e0c3847f8d6e69e20804f9f121138eb267d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USQX90900742","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-25T22:37:16Z"
"spotify:track:36SULeBeglappJysOY6WzQ","Burning of the Midnight Lamp","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:5z090LQztiqh13wYspQvKQ","Electric Ladyland","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1968-10-25","https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292","1","9","219613","https://p.scdn.co/mp3-preview/005ab8bfb55c8360d6283a185682d8432f96ee2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USQX90900743","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-25T22:37:16Z"
"spotify:track:0xwG5stzrc5B70TycPwenY","Rainy Day, Dream Away","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:5z090LQztiqh13wYspQvKQ","Electric Ladyland","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1968-10-25","https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292","1","10","222066","https://p.scdn.co/mp3-preview/3aed0fc18eea1d6495a4d7d32d671362eda8a2e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USQX90900744","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-25T22:37:16Z"
