"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7znW3lSUMVLn5qo8jg0Cxg","The Valley of the Shadow of Death","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","spotify:album:3prLqNXoNF7GI8SjxCJyBZ","Elephant In The Room","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","2021-10-29","https://i.scdn.co/image/ab67616d0000b2738c17fa397a2245b8171a5216","1","1","181506","","true","0","QMKSC2101691","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:35:54Z"
"spotify:track:33Wlum73hbF1P7lbdIUmZ7","Things You Could Die For If Doing While Black","spotify:artist:1FvjvACFvko2Z91IvDljrx, spotify:artist:3vT3Rpg0Mhu1iayVKeKjwP","Mick Jenkins, Ben Hixon","spotify:album:3prLqNXoNF7GI8SjxCJyBZ","Elephant In The Room","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","2021-10-29","https://i.scdn.co/image/ab67616d0000b2738c17fa397a2245b8171a5216","1","2","182049","","true","0","QMKSC2101706","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:35:54Z"
"spotify:track:3SjEusKVxJTxyTDDjCElay","Stiff Arm","spotify:artist:1FvjvACFvko2Z91IvDljrx, spotify:artist:27uDmkOO77aspl3Gu4TfeB","Mick Jenkins, Ayinde Cartman","spotify:album:3prLqNXoNF7GI8SjxCJyBZ","Elephant In The Room","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","2021-10-29","https://i.scdn.co/image/ab67616d0000b2738c17fa397a2245b8171a5216","1","3","209436","","true","0","QMKSC2101693","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:35:54Z"
"spotify:track:1sOfCUi9krfHpUONlkIC87","Contacts","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","spotify:album:3prLqNXoNF7GI8SjxCJyBZ","Elephant In The Room","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","2021-10-29","https://i.scdn.co/image/ab67616d0000b2738c17fa397a2245b8171a5216","1","4","176254","","true","0","QMKSC2101694","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:35:54Z"
"spotify:track:3wVKH6vB36zKTT1Z1ok6TI","Scottie Pippen","spotify:artist:1FvjvACFvko2Z91IvDljrx, spotify:artist:1O9iHQjrVuiAYOJFCBeFSl","Mick Jenkins, serpentwithfeet","spotify:album:3prLqNXoNF7GI8SjxCJyBZ","Elephant In The Room","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","2021-10-29","https://i.scdn.co/image/ab67616d0000b2738c17fa397a2245b8171a5216","1","5","233154","","true","0","QMKSC2101707","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:35:54Z"
"spotify:track:0IAuU49bpY24saPlYBoMDG","Gucci Tried to Tell Me","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","spotify:album:3prLqNXoNF7GI8SjxCJyBZ","Elephant In The Room","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","2021-10-29","https://i.scdn.co/image/ab67616d0000b2738c17fa397a2245b8171a5216","1","6","189082","","true","1","QMKSC2101696","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:35:54Z"
"spotify:track:43bWJJK4jCwCBDofF2tI2J","D.U.I.","spotify:artist:1FvjvACFvko2Z91IvDljrx, spotify:artist:3FKLogeQaNFVe8pq5JzG3i","Mick Jenkins, Greensllime","spotify:album:3prLqNXoNF7GI8SjxCJyBZ","Elephant In The Room","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","2021-10-29","https://i.scdn.co/image/ab67616d0000b2738c17fa397a2245b8171a5216","1","7","179255","","true","0","QMKSC2101697","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:35:54Z"
"spotify:track:1apFaDrFi0jnm8LCFwhJ6G","Speed Racer","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","spotify:album:3prLqNXoNF7GI8SjxCJyBZ","Elephant In The Room","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","2021-10-29","https://i.scdn.co/image/ab67616d0000b2738c17fa397a2245b8171a5216","1","8","122878","","true","0","QMKSC2101698","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:35:54Z"
"spotify:track:1y3QdJjANHwGIECLSn1a2M","Truffles","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","spotify:album:3prLqNXoNF7GI8SjxCJyBZ","Elephant In The Room","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","2021-10-29","https://i.scdn.co/image/ab67616d0000b2738c17fa397a2245b8171a5216","1","9","194886","","true","0","QMKSC2101631","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:35:54Z"
"spotify:track:1ZaR42Tox80OyzgOmxGJ4D","Is, This Cigarettes","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","spotify:album:3prLqNXoNF7GI8SjxCJyBZ","Elephant In The Room","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","2021-10-29","https://i.scdn.co/image/ab67616d0000b2738c17fa397a2245b8171a5216","1","10","211004","","true","0","QMKSC2101708","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:35:54Z"
