"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3iGeKa27bmCgxMpme8HEvh","Girl Singing in the Wreckage","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","1","162933","","false","0","GBAYK9800074","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:59:58Z"
"spotify:track:6unU9xLqrK5mPETyKXwO4U","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","2","240133","","false","0","GBAYE9800152","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:59:58Z"
"spotify:track:20fagg8ArevqXuB744MI2H","New Baby Boom","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","3","130960","","false","0","GBAYK9800080","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:59:58Z"
"spotify:track:0Qc6402l4VjBl5kkkST4yb","It's Only the End of the World","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","4","321866","","false","0","GBAYK9800078","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:59:58Z"
"spotify:track:6HzpV8w7w7iAcbNUcuzEaN","Ideal Home","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","5","159600","","false","0","GBAYK9800075","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:59:58Z"
"spotify:track:68lYnrHMQlCNmVpvyeVfrq","Child Psychology","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","6","248266","","false","0","GBAYE9800156","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:59:58Z"
"spotify:track:3EfPIuUTdAEnAzq8ARuIsc","I C One Female","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","7","139773","","false","0","GBAYK9800077","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:59:58Z"
"spotify:track:3vWlzGOF9P5sjKTG22t1Xr","Uptown Top Ranking","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","8","237600","","false","0","GBAYE9800158","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:59:58Z"
"spotify:track:0OCqq1DnJCBMOfHuTDNuLm","Swinging","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","9","232826","","false","0","GBAYK9800082","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:59:58Z"
"spotify:track:37wg0K0e8Czucq8gNc6cGV","Kidnapping an Heiress","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","10","166440","","false","0","GBAYK9800079","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:59:58Z"
"spotify:track:5ZoKq1kDtzNHNdWS7D9SV7","Wonderful Life","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","11","136960","","false","0","GBAYE9801051","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:59:58Z"
"spotify:track:1Z7YxWXDs62vFkpjfKaUWg","Hated Sunday","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","12","196133","","false","0","GBAYK9800076","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:59:58Z"
