"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4BMsm71hl8wqqSbfAdgIHV","忘記他","spotify:artist:14hV8HTKYMZ5nzeaLdLp63","Shirley Kwan","spotify:album:0WpcnKMjK0ovshd1NLiJvp","All Time Favourites","spotify:artist:14hV8HTKYMZ5nzeaLdLp63","Shirley Kwan","1997-01-01","https://i.scdn.co/image/ab67616d0000b27376ac84cd88b75bc9a5281d77","1","1","200826","","false","44","HKC339500029","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-29T18:14:04Z"
"spotify:track:1bkGFoAZIhUCRaqfljzWe2","阿峰今天沒有來","spotify:artist:468BFRg8N0wGREo2L4TXZp","Wanfang","spotify:album:28fACXlzirpouEfwvROHA1","給你們","spotify:artist:468BFRg8N0wGREo2L4TXZp","Wanfang","2020-09-17","https://i.scdn.co/image/ab67616d0000b2731d78e3c19ebf96134c6c0a04","1","7","298851","https://p.scdn.co/mp3-preview/14e929456b7d321e298f4b772851873b4ee3add1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","TWAN32004161","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T15:32:39Z"
"spotify:track:60QRSdOkLycKdx4nid6Qbm","感情生活","spotify:artist:3df3XLKuqTQ6iOSmi0K3Wp","Faye Wong","spotify:album:2RwMTosAa4E9IXLEgThlO9","唱遊","spotify:artist:3df3XLKuqTQ6iOSmi0K3Wp","Faye Wong","1998-10-01","https://i.scdn.co/image/594bdf55f84c78b398f25c310cd055ede6d73c27","1","1","317160","https://p.scdn.co/mp3-preview/31d2ca9c5ccd86c9ff3f221feadfea6bea588325?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","HKA819801011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T12:36:50Z"
"spotify:track:5l94Up12BJSjhH7Mhr2ji4","紅豆","spotify:artist:3df3XLKuqTQ6iOSmi0K3Wp","Faye Wong","spotify:album:2RwMTosAa4E9IXLEgThlO9","唱遊","spotify:artist:3df3XLKuqTQ6iOSmi0K3Wp","Faye Wong","1998-10-01","https://i.scdn.co/image/594bdf55f84c78b398f25c310cd055ede6d73c27","1","9","256026","https://p.scdn.co/mp3-preview/b91e71aad2405847f1566784aa98afe163b82406?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","HKA819801091","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T13:02:10Z"
"spotify:track:3z4leqkfSaXQPAyGwQruTe","匆匆那年","spotify:artist:3df3XLKuqTQ6iOSmi0K3Wp","Faye Wong","spotify:album:1DotIi08Fu1KpY0wsKWckM","匆匆那年","spotify:artist:3df3XLKuqTQ6iOSmi0K3Wp","Faye Wong","2014-11-07","https://i.scdn.co/image/3d2e9f503809cfa2abf51c26b7755c6b8b112ed2","1","1","241000","https://p.scdn.co/mp3-preview/f3a6586b51c116ecb78a8d15e6c70659798b6cb6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","HKH721403011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T13:06:51Z"
"spotify:track:56tNLTtdMoamHou5DIBajt","執迷不悔","spotify:artist:3df3XLKuqTQ6iOSmi0K3Wp","Faye Wong","spotify:album:2scyoYrVMYaWm5dnRFBOQI","樂樂精選","spotify:artist:3df3XLKuqTQ6iOSmi0K3Wp","Faye Wong","1996","https://i.scdn.co/image/ab67616d0000b273168ed4c72164cfc045bf0804","1","12","270733","","false","10","HKG070200041","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T13:27:09Z"
"spotify:track:0zoGVO4bQXG8U6ChKwNgeg","4:00A.M.","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:0Y4RPWAZZui6gUL1kwgND6","MIGNONNE (Mastered by Bernie Grundman)","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","1978-09-21","https://i.scdn.co/image/ab67616d0000b273653cd3e7a318ccd0c86cac26","1","7","336960","https://p.scdn.co/mp3-preview/438e8945ab4d07cc35acbeca566c578e352bb303?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","JPBV09401587","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:33:08Z"
"spotify:track:37k5Fz1L65ypPdLOnO2EWr","マシュ・ケ・ナダ","spotify:artist:6KyUat70qaniuiZq63HzFZ, spotify:artist:4xMe6s0HgL2CSpUpJO5bd6","Pink Martini, Saori Yuki","spotify:album:6LZThk8whGumHJh2tixwdV","1969","spotify:artist:4xMe6s0HgL2CSpUpJO5bd6, spotify:artist:6KyUat70qaniuiZq63HzFZ","Saori Yuki, Pink Martini","2011-10-07","https://i.scdn.co/image/ab67616d0000b2730baf582e5ac6c2f60c86e18b","1","8","157040","","false","33","JPTO01100809","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:33:44Z"
"spotify:track:3rP7PgOM4CRLWAuNBqgpTX","夜明けのスキャット","spotify:artist:6KyUat70qaniuiZq63HzFZ, spotify:artist:4xMe6s0HgL2CSpUpJO5bd6","Pink Martini, Saori Yuki","spotify:album:6LZThk8whGumHJh2tixwdV","1969","spotify:artist:4xMe6s0HgL2CSpUpJO5bd6, spotify:artist:6KyUat70qaniuiZq63HzFZ","Saori Yuki, Pink Martini","2011-10-07","https://i.scdn.co/image/ab67616d0000b2730baf582e5ac6c2f60c86e18b","1","7","197706","","false","10","JPTO01100808","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:35:14Z"
"spotify:track:11j2zyTm7fWLutQptaYmrl","私もあなたと泣いていい?","spotify:artist:6KyUat70qaniuiZq63HzFZ, spotify:artist:4xMe6s0HgL2CSpUpJO5bd6","Pink Martini, Saori Yuki","spotify:album:6LZThk8whGumHJh2tixwdV","1969","spotify:artist:4xMe6s0HgL2CSpUpJO5bd6, spotify:artist:6KyUat70qaniuiZq63HzFZ","Saori Yuki, Pink Martini","2011-10-07","https://i.scdn.co/image/ab67616d0000b2730baf582e5ac6c2f60c86e18b","1","10","216160","","false","9","JPTO01100811","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:49:45Z"
