"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:683ltqisUipmS0hSpWRDb6","Kapısı Kapalı","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","spotify:album:1PWt33o6bqD5dQZPtO133D","Eski Dostum Tankla Gelmiş","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","2014-09-08","https://i.scdn.co/image/ab67616d0000b273956b9f22e3d5bb055c905815","1","1","285754","https://p.scdn.co/mp3-preview/67a4a69183f9b307e223aede46d253efa9523fa7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","TR0351400183","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:58:56Z"
"spotify:track:2bN5i04bGbh7LLSpss36FS","Çek Sifonu","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","spotify:album:1PWt33o6bqD5dQZPtO133D","Eski Dostum Tankla Gelmiş","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","2014-09-08","https://i.scdn.co/image/ab67616d0000b273956b9f22e3d5bb055c905815","1","2","213385","https://p.scdn.co/mp3-preview/9e61654a4c834d86650dd576ed84e01fecc09879?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","TR0351400182","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:58:56Z"
"spotify:track:2m3IMtFAvcF1yplDapuhuv","Bi Öyle Bi Böyle","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","spotify:album:1PWt33o6bqD5dQZPtO133D","Eski Dostum Tankla Gelmiş","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","2014-09-08","https://i.scdn.co/image/ab67616d0000b273956b9f22e3d5bb055c905815","1","3","232827","https://p.scdn.co/mp3-preview/b6bf905a38434a594fbfb50db7dd3daa1f944989?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","TR0351400180","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:58:56Z"
"spotify:track:5eRKvlw6AA3TfOdAmnBsfm","Koca Yaşlı Şişko Dünya","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","spotify:album:1PWt33o6bqD5dQZPtO133D","Eski Dostum Tankla Gelmiş","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","2014-09-08","https://i.scdn.co/image/ab67616d0000b273956b9f22e3d5bb055c905815","1","4","233722","https://p.scdn.co/mp3-preview/dbd5bc635b735a30c9bd0b6ba65ca33ba710a278?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","TR0351400185","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:58:56Z"
"spotify:track:5oX6ZxPCilbqpIg5JM07Oj","İnsanın Düştüğü Durumlar","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","spotify:album:1PWt33o6bqD5dQZPtO133D","Eski Dostum Tankla Gelmiş","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","2014-09-08","https://i.scdn.co/image/ab67616d0000b273956b9f22e3d5bb055c905815","1","5","284015","https://p.scdn.co/mp3-preview/acb026cf78e06bd5d290f1dea697f60b8f45e396?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","TR0351400181","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:58:56Z"
"spotify:track:2QrOQyepZLl4mv3cqC0qRD","Utanmazsan Unutmam","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","spotify:album:1PWt33o6bqD5dQZPtO133D","Eski Dostum Tankla Gelmiş","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","2014-09-08","https://i.scdn.co/image/ab67616d0000b273956b9f22e3d5bb055c905815","1","6","246579","https://p.scdn.co/mp3-preview/64f169946bf28be8e0759e107a6ad4b55e78caf5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","TR0351400189","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:58:56Z"
"spotify:track:6zwnfZdGCuD7V54cKGzDKM","Ateş Ederim","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","spotify:album:1PWt33o6bqD5dQZPtO133D","Eski Dostum Tankla Gelmiş","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","2014-09-08","https://i.scdn.co/image/ab67616d0000b273956b9f22e3d5bb055c905815","1","7","276234","https://p.scdn.co/mp3-preview/065c1423fad5d55e358bc342ac4aa68d0b4495c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","TR0351400179","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:58:56Z"
"spotify:track:5Qi0XBE9kwWIFyVj1z938K","Kadın","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","spotify:album:1PWt33o6bqD5dQZPtO133D","Eski Dostum Tankla Gelmiş","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","2014-09-08","https://i.scdn.co/image/ab67616d0000b273956b9f22e3d5bb055c905815","1","8","343094","https://p.scdn.co/mp3-preview/65b2da269d96c888a13060a04d2b0b7c14ada259?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","TR0351400186","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:58:56Z"
"spotify:track:76J9SSYjmbZ0qgRZdq3hhc","Koşmadan","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","spotify:album:1PWt33o6bqD5dQZPtO133D","Eski Dostum Tankla Gelmiş","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","2014-09-08","https://i.scdn.co/image/ab67616d0000b273956b9f22e3d5bb055c905815","1","9","242999","https://p.scdn.co/mp3-preview/6215d434335c401dca34e5683c4fac05876fe5cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","TR0351400187","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:58:56Z"
"spotify:track:7HTEDxyD1E5dRncU4h5WKI","Öyle Normal","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","spotify:album:1PWt33o6bqD5dQZPtO133D","Eski Dostum Tankla Gelmiş","spotify:artist:1g4J8P1JWwanNyyXckRX5W","Adamlar","2014-09-08","https://i.scdn.co/image/ab67616d0000b273956b9f22e3d5bb055c905815","1","10","216220","https://p.scdn.co/mp3-preview/79da0b92e30dd8fdf760d6b5dac453eb9e45eda5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","TR0351400190","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:58:56Z"
