"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4eD48Ur3heQtP8ZGzl7buk","I Don't Care","spotify:artist:4Lm0pUvmisUHMdoky5ch2I, spotify:artist:2NkpmkcWNxbWydBaETRfqT","Apocalyptica, Adam Gontier","spotify:album:1rcVwAd9FXK9ONouJVeRSF","Worlds Collide","spotify:artist:4Lm0pUvmisUHMdoky5ch2I","Apocalyptica","2007-09-14","https://i.scdn.co/image/ab67616d0000b27303f36eb693eff336f52468c0","1","8","237346","","false","7","GBHQD0700027","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-10T19:20:50Z"
"spotify:track:7Ce61NyQM0XfGbVHSUBBOG","The Islander","spotify:artist:2NPduAUeLVsfIauhRwuft1","Nightwish","spotify:album:23DKEup8CZAYeGdjtwnpEE","Dark Passion Play","spotify:artist:2NPduAUeLVsfIauhRwuft1","Nightwish","2007-09-28","https://i.scdn.co/image/ab67616d0000b27383f074bfd3e213283dcdb561","1","10","305972","https://p.scdn.co/mp3-preview/6ca0c9d216d13cee2d749ca639be99e12f85dc1e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","DED830710410","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-10T19:27:19Z"
"spotify:track:3lPr8ghNDBLc2uZovNyLs9","Supermassive Black Hole","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-19","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","3","212439","https://p.scdn.co/mp3-preview/f4fe399267e6093182d576a6c84c0e081c81ff90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBAHT0500593","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-10T19:27:40Z"
"spotify:track:5rupf5kRDLhhFPxH15ZmBF","Muscle Museum","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:6AyUVv7MnxxTuijp4WmrhO","Showbiz","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","1999","https://i.scdn.co/image/ab67616d0000b27334dd1b3a44cccef2d3c8bfce","1","2","262973","https://p.scdn.co/mp3-preview/657fa2be4b0dd7f661205c91b81af06051ca8913?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBCVT9900014","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-10T19:28:01Z"
"spotify:track:5wotnwBRCT2qnHPg6xArEO","Lullaby","spotify:artist:0Y2Zvpo631ACDnYOllivYM, spotify:artist:7ffd31YbzS82DddmRc5p3v","Hypnogaja, ShyBoy","spotify:album:1UBCqU0kcfDbqbSfVPeKjv","Kill Switch","spotify:artist:7ffd31YbzS82DddmRc5p3v, spotify:artist:0Y2Zvpo631ACDnYOllivYM","ShyBoy, Hypnogaja","2003-08-03","https://i.scdn.co/image/ab67616d0000b27327121086473653ad74ca1afb","1","7","229026","https://p.scdn.co/mp3-preview/7345664f01de67652f250d0a5a513f7c9412ac25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USHM20320385","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-11T11:45:49Z"
"spotify:track:08mG3Y1vljYA6bvDt4Wqkj","Back In Black","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:6mUdeDZCsExyJLMdAfDuwh","Back In Black","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1980-07-25","https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae","1","6","255493","https://p.scdn.co/mp3-preview/81e64fa3a306418f6bb51325a93df0c75ea50d42?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","AUAP08000046","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-11T11:47:06Z"
"spotify:track:2nLtzopw4rPReszdYBJU6h","Numb","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:4Gfnly5CzMJQqkUFfoHaP3","Meteora","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-24","https://i.scdn.co/image/ab67616d0000b273b4ad7ebaf4575f120eb3f193","1","13","185586","https://p.scdn.co/mp3-preview/15e1178c9eb7f626ac1112ad8f56eccbec2cd6e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","USWB10300474","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-11T11:47:11Z"
"spotify:track:1f3yAtsJtY87CTmM8RLnxf","Smells Like Teen Spirit","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","spotify:album:2uEf3r9i2bnxwJQsxQ0xQ7","Nevermind (Deluxe Edition)","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","1991-09-26","https://i.scdn.co/image/ab67616d0000b27328a90d00a2819504364880e4","1","1","301920","","false","7","USGF19942501","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-11T11:47:21Z"
"spotify:track:5sICkBXVmaCQk5aISGR3x1","Enter Sandman","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:2Kh43m04B1UkVcpcRa1Zug","Metallica","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1991-08-12","https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802","1","1","331266","","false","84","GBF089190013","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-11T11:47:46Z"
"spotify:track:63T7DJ1AFDD6Bn8VzG6JE8","Paint It, Black","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:72qrnM4yUNMDDlWiqKc8iY","Aftermath","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","1966-04-15","https://i.scdn.co/image/ab67616d0000b273bad7062c3fd2f2d037989694","1","1","202266","","false","85","USA176610020","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-11T11:47:56Z"
"spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l","It's My Life","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","spotify:album:0Q9SljCrM0CL0bR23MuP69","Crush","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","2000-01-01","https://i.scdn.co/image/ab67616d0000b2737a231174875d7930de9dad58","1","1","224493","","false","83","USIR20000145","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-11T11:49:21Z"
"spotify:track:6EPRKhUOdiFSQwGBRBbvsZ","Ace of Spades","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:3rxF05Aux0QTrN533Kjc91","Ace of Spades (Expanded Edition)","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","1980-11-08","https://i.scdn.co/image/ab67616d0000b2732051e219a4af7648223953c1","1","1","166360","https://p.scdn.co/mp3-preview/091cf783f4f58b6bb7d9862de9929cb3d2df09e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBAJE8000033","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-11T11:49:36Z"
"spotify:track:57bgtoPSgt236HzfBOd8kj","Thunderstruck","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:4vu7F6h90Br1ZtYYaqfITy","The Razors Edge","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1990-09-24","https://i.scdn.co/image/ab67616d0000b2738399047ff71200928f5b6508","1","1","292880","https://p.scdn.co/mp3-preview/788a028fa3a33141c817b1064e3159006edeaa8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","AUAP09000014","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-11T11:49:56Z"
"spotify:track:7H8zey5My6uNdD2TxeCb9F","Don't Speak","spotify:artist:0cQbJU1aAzvbEmTuljWLlF","No Doubt","spotify:album:22MtHr01EzeL6jmc5uwpHC","Tragic Kingdom","spotify:artist:0cQbJU1aAzvbEmTuljWLlF","No Doubt","1995-10-10","https://i.scdn.co/image/ab67616d0000b273ada8d00d23273a097e6df364","1","10","263000","","false","3","USIR19500279","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-11T11:50:44Z"
"spotify:track:2uEz2uLMNj9ySHMkwuCDo5","Humanity","spotify:artist:27T030eWyCQRmDyuvr1kxY","Scorpions","spotify:album:1f70Ktc9LMO8P5DHXjN4GY","Humanity - Hour I","spotify:artist:27T030eWyCQRmDyuvr1kxY","Scorpions","2007","https://i.scdn.co/image/ab67616d0000b2734d2edb30fc4677719e24b088","1","12","326640","","false","0","DEA810700346","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-11T11:50:57Z"
"spotify:track:7EZC6E7UjZe63f1jRmkWxt","Zombie","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","4","306440","","false","85","USIR29400443","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-11T11:51:05Z"
"spotify:track:72Z17vmmeQKAg8bptWvpVG","Space Oddity - 2015 Remaster","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:1ay9Z4R5ZYI2TY7WiDhNYQ","David Bowie (aka Space Oddity) [2015 Remaster]","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1969-11-04","https://i.scdn.co/image/ab67616d0000b2733395f3e809dfbc2b1101d464","1","1","318026","https://p.scdn.co/mp3-preview/9240f576fa464f8e3fe38f1c83fd23cd4e516638?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USJT11500173","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-11T11:51:51Z"
