"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5Muc0EuW8FM88DtuyFCd9z","The Facts Of Life","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:77MEvVuqP4Og6yCdTLbjkw","The Facts Of Life","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","2000-05-01","https://i.scdn.co/image/ab67616d0000b27322134fcad2457f886baa6c44","1","7","277666","","false","37","GBBTF0000235","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T00:04:05Z"
"spotify:track:68lYnrHMQlCNmVpvyeVfrq","Child Psychology","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","6","248266","","false","0","GBAYE9800156","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T00:04:14Z"
"spotify:track:37wg0K0e8Czucq8gNc6cGV","Kidnapping an Heiress","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","10","166440","","false","0","GBAYK9800079","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T00:04:20Z"
"spotify:track:0Qc6402l4VjBl5kkkST4yb","It's Only the End of the World","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","4","321866","","false","0","GBAYK9800078","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T00:15:34Z"
"spotify:track:3iGeKa27bmCgxMpme8HEvh","Girl Singing in the Wreckage","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","1","162933","","false","0","GBAYK9800074","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T00:19:51Z"
"spotify:track:1GcRgtpl0a7oOVnEGULqs5","The Art Of Driving","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:77MEvVuqP4Og6yCdTLbjkw","The Facts Of Life","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","2000-05-01","https://i.scdn.co/image/ab67616d0000b27322134fcad2457f886baa6c44","1","1","265560","","false","22","GBBTF0000229","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-10T02:35:54Z"
"spotify:track:5ZoKq1kDtzNHNdWS7D9SV7","Wonderful Life","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","11","136960","","false","0","GBAYE9801051","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-10T02:37:20Z"
"spotify:track:3aRD5hO4awWi2IEpTgLzSa","Some Velvet Morning","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:4i21O3uVh5palcfFhCjlT7","Souvlaki","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1994-11-05","https://i.scdn.co/image/ab67616d0000b27353da07db25e2543cce38abfe","2","1","202693","https://p.scdn.co/mp3-preview/98227b5aea40561b832b5f77d91a827a0fd83ee9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBBQY0400107","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-10T02:39:37Z"
"spotify:track:6unU9xLqrK5mPETyKXwO4U","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:6iVmyoxtAHZ0hfOiHetcpf","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b2731d448d4adf5fab74385d7494","1","2","240133","","false","0","GBAYE9800152","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-10T02:40:09Z"
"spotify:track:3Md1APzDGyfBBNQ2l7O5nj","Machine Gun","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:4i21O3uVh5palcfFhCjlT7","Souvlaki","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1994-11-05","https://i.scdn.co/image/ab67616d0000b27353da07db25e2543cce38abfe","1","2","268680","https://p.scdn.co/mp3-preview/3d2288c796d6b72302fe1c51f315c6e204fdfa31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBBQY0400036","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-10T02:40:22Z"
