"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4BMsm71hl8wqqSbfAdgIHV","忘記他","spotify:artist:14hV8HTKYMZ5nzeaLdLp63","Shirley Kwan","spotify:album:0WpcnKMjK0ovshd1NLiJvp","All Time Favourites","spotify:artist:14hV8HTKYMZ5nzeaLdLp63","Shirley Kwan","1997-01-01","https://i.scdn.co/image/ab67616d0000b27376ac84cd88b75bc9a5281d77","1","1","200826","","false","44","HKC339500029","spotify:user:21fk4qsa45c5lfppfbsgixgxi","2020-07-13T10:57:26Z"
"spotify:track:46bTgJAQkrkNRxMuFnpRyD","Karmacoma","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:5CnZjFfPDmxOX7KnWLLqpC","Protection","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1994-09-26","https://i.scdn.co/image/ab67616d0000b273b129ba321c1903f9990a2612","1","2","316440","","false","60","GBAAA9400585","spotify:user:21fk4qsa45c5lfppfbsgixgxi","2020-07-13T10:58:34Z"
"spotify:track:66M3khO7OfTOrRUSIOh5Tx","Speak My Language","spotify:artist:5hqB3Fxgin9YGYa0mIGf1G","Laurie Anderson","spotify:album:6b3Ik5hjGBbhR8myjstjOt","Bright Red","spotify:artist:5hqB3Fxgin9YGYa0mIGf1G","Laurie Anderson","1994","https://i.scdn.co/image/ab67616d0000b273d98de7cdeed7c13e203d97e3","1","4","219666","https://p.scdn.co/mp3-preview/6689528769f0ca8d75e57fcdd68283106bd67578?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USWB19903022","spotify:user:21fk4qsa45c5lfppfbsgixgxi","2020-07-13T11:01:13Z"
"spotify:track:7A0pXcjHYE77lkKj1BTBMv","醉","spotify:artist:5kanrcJl2KaWNzmrIT58vf","Hong Kong Express","spotify:album:0q6iei9pov60rPmThCWe4U","2047","spotify:artist:5kanrcJl2KaWNzmrIT58vf","Hong Kong Express","2014-07-12","https://i.scdn.co/image/ab67616d0000b273441c3f8a8a04fb69d2a7e9bc","1","3","141136","https://p.scdn.co/mp3-preview/5ff782c3224964264742d773f334c44473f092c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USA2P1519977","spotify:user:21fk4qsa45c5lfppfbsgixgxi","2020-07-13T11:06:23Z"
"spotify:track:1U2L6NW89IIy6Gw63C4eP2","Only You","spotify:artist:41A6Xdil8qhaD2DcS4X1wA","The Flying Pickets","spotify:album:1oi0pNpN3BM69Do9lIUNKp","Lost Boys","spotify:artist:41A6Xdil8qhaD2DcS4X1wA","The Flying Pickets","1984","https://i.scdn.co/image/ab67616d0000b273a02fe57a83853efcbbe6e7b3","1","13","203333","","false","56","GBAAA8300337","spotify:user:21fk4qsa45c5lfppfbsgixgxi","2020-07-13T11:08:56Z"
"spotify:track:7b80OyEF0V1m9pNRo2m996","Emotionless","spotify:artist:5kanrcJl2KaWNzmrIT58vf","Hong Kong Express","spotify:album:0q6iei9pov60rPmThCWe4U","2047","spotify:artist:5kanrcJl2KaWNzmrIT58vf","Hong Kong Express","2014-07-12","https://i.scdn.co/image/ab67616d0000b273441c3f8a8a04fb69d2a7e9bc","1","2","111750","https://p.scdn.co/mp3-preview/4fc498d1c224b75af2e0f443676bf89aeb058271?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USA2P1519976","spotify:user:21fk4qsa45c5lfppfbsgixgxi","2020-07-13T11:10:43Z"
"spotify:track:7iWp6AfvyRfFYnFtfaaO1t","Underground Bar","spotify:artist:5kanrcJl2KaWNzmrIT58vf","Hong Kong Express","spotify:album:0q6iei9pov60rPmThCWe4U","2047","spotify:artist:5kanrcJl2KaWNzmrIT58vf","Hong Kong Express","2014-07-12","https://i.scdn.co/image/ab67616d0000b273441c3f8a8a04fb69d2a7e9bc","1","4","117777","https://p.scdn.co/mp3-preview/9b7987b27c5fc2716c537633543de7ed36b080d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","USA2P1519978","spotify:user:21fk4qsa45c5lfppfbsgixgxi","2020-07-13T11:10:51Z"
"spotify:track:5XhbgVzlE9TciEtg9Mo2Z2","Flirtations","spotify:artist:5kanrcJl2KaWNzmrIT58vf","Hong Kong Express","spotify:album:0q6iei9pov60rPmThCWe4U","2047","spotify:artist:5kanrcJl2KaWNzmrIT58vf","Hong Kong Express","2014-07-12","https://i.scdn.co/image/ab67616d0000b273441c3f8a8a04fb69d2a7e9bc","1","5","142222","https://p.scdn.co/mp3-preview/9e19db0af9cc7286f7957fba3e9a251dda1f9ead?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USA2P1519979","spotify:user:21fk4qsa45c5lfppfbsgixgxi","2020-07-13T11:10:56Z"
"spotify:track:0yVq58uQ2Bp2OVADYlLHNk","Yumeji's Theme - Theme from 'in the Mood for Love'","spotify:artist:2YF8oM4cDvaP7tCpe4KQvi","Shigeru Umebayashi","spotify:album:1QUQhlFZaNBoKMbDBbT36v","Yumeji's Theme (Original Motion Picture Soundtrack)","spotify:artist:2YF8oM4cDvaP7tCpe4KQvi","Shigeru Umebayashi","2013-05-20","https://i.scdn.co/image/ab67616d0000b273cd90e97ecc36dbf05d688c20","1","1","150586","https://p.scdn.co/mp3-preview/34832415cc4e0d296acacdec89798a9831581b04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","JPAP00501001","spotify:user:21fk4qsa45c5lfppfbsgixgxi","2020-07-17T19:00:38Z"
"spotify:track:01viFVOWjMtaQ42HfZnQXm","Casta diva","spotify:artist:6AphpMkKDU4I3Z6XaGu1UV, spotify:artist:5Or0fj9ajo3hmSBj0iLNiN, spotify:artist:3PfJE6ebCbCHeuqO4BfNeA","Vincenzo Bellini, Carlo Felice Cillario, London Philharmonic Orchestra","spotify:album:1kauVxDJhSs1CLoHDbRrjB","Romantic Caballé","spotify:artist:6oGu0NZWy8gJ18wggybFqH","Montserrat Caballé","2013-03-29","https://i.scdn.co/image/ab67616d0000b273e2f7fadc029bd777cada45d5","1","4","405013","https://p.scdn.co/mp3-preview/ea307e0edd3d9892c995123b8be614b47646b8a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USBC17200131","spotify:user:21fk4qsa45c5lfppfbsgixgxi","2020-07-17T19:00:48Z"
