"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5TAAJ2jRN7YinkGXO6C5hq","No One Said It Would Be Easy","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","spotify:album:5go2bf7TDR3aFI3Oua2rZ2","Feel Good Ghosts (Tea-Partying Through Tornadoes)","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","2008-04-08","https://i.scdn.co/image/ab67616d0000b27375303f41084dcb7e0ab0880c","1","1","213840","https://p.scdn.co/mp3-preview/59968dbbb39417f60411b28e92254f4fcc831123?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","US7860800001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T12:01:50Z"
"spotify:track:7AZUYtzr8JafPxtBrCWEQS","Everybody Here Is a Cloud","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","spotify:album:5go2bf7TDR3aFI3Oua2rZ2","Feel Good Ghosts (Tea-Partying Through Tornadoes)","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","2008-04-08","https://i.scdn.co/image/ab67616d0000b27375303f41084dcb7e0ab0880c","1","2","196040","https://p.scdn.co/mp3-preview/31764a26d937f9cfa42d6a0bb2bd3550268d927b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","US7860800002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T12:01:50Z"
"spotify:track:6qk9RpJTj4eawiwyt2CQuS","The Tornado Lessons","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","spotify:album:5go2bf7TDR3aFI3Oua2rZ2","Feel Good Ghosts (Tea-Partying Through Tornadoes)","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","2008-04-08","https://i.scdn.co/image/ab67616d0000b27375303f41084dcb7e0ab0880c","1","3","154626","https://p.scdn.co/mp3-preview/816722b7bca26ba29ac3df939fd3eed810d10f93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","US7860800003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T12:01:50Z"
"spotify:track:5X7nfyikKEOTVRBUPkuRXZ","When Water Comes to Life","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","spotify:album:5go2bf7TDR3aFI3Oua2rZ2","Feel Good Ghosts (Tea-Partying Through Tornadoes)","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","2008-04-08","https://i.scdn.co/image/ab67616d0000b27375303f41084dcb7e0ab0880c","1","4","227893","https://p.scdn.co/mp3-preview/69f8cea246752bf8fea65a105a26a71d7da16013?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","US7860800004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T12:01:50Z"
"spotify:track:3Uo2Hg5e4zN3XLu3U4mVMs","Must Explore","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","spotify:album:5go2bf7TDR3aFI3Oua2rZ2","Feel Good Ghosts (Tea-Partying Through Tornadoes)","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","2008-04-08","https://i.scdn.co/image/ab67616d0000b27375303f41084dcb7e0ab0880c","1","5","21933","https://p.scdn.co/mp3-preview/3ffa20a5c903978c986b3ec078f9044750efb1b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US7860800005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T12:01:50Z"
"spotify:track:4MqHMVLIRlnYkVfvz3OzGU","Journey of the Featherless","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","spotify:album:5go2bf7TDR3aFI3Oua2rZ2","Feel Good Ghosts (Tea-Partying Through Tornadoes)","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","2008-04-08","https://i.scdn.co/image/ab67616d0000b27375303f41084dcb7e0ab0880c","1","6","186800","https://p.scdn.co/mp3-preview/aa016f547cc35d6d6b4783ec77cb5cff6c08e37f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","US7860800006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T12:01:50Z"
"spotify:track:0VPC4lVK9rr6eypRaWJTAK","The Ghost Inside Our House","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","spotify:album:5go2bf7TDR3aFI3Oua2rZ2","Feel Good Ghosts (Tea-Partying Through Tornadoes)","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","2008-04-08","https://i.scdn.co/image/ab67616d0000b27375303f41084dcb7e0ab0880c","1","7","172706","https://p.scdn.co/mp3-preview/c10bad01a58a84b31efa70e4ae51c18c0309fd0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","US7860800007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T12:01:50Z"
"spotify:track:4XPytXtmNWnFBwPkkvWkAa","It's What You Need","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","spotify:album:5go2bf7TDR3aFI3Oua2rZ2","Feel Good Ghosts (Tea-Partying Through Tornadoes)","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","2008-04-08","https://i.scdn.co/image/ab67616d0000b27375303f41084dcb7e0ab0880c","1","8","66560","https://p.scdn.co/mp3-preview/93af74001d557810f039a9a18c118deffc79fcd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","US7860800008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T12:01:50Z"
"spotify:track:3ERgSZdarRnqNnigNdudbE","Story of the Grandson of Jesus","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","spotify:album:5go2bf7TDR3aFI3Oua2rZ2","Feel Good Ghosts (Tea-Partying Through Tornadoes)","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","2008-04-08","https://i.scdn.co/image/ab67616d0000b27375303f41084dcb7e0ab0880c","1","9","156573","https://p.scdn.co/mp3-preview/5e21dcf2202813c5c679717ee809d7f0a8e047cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","US7860800009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T12:01:50Z"
"spotify:track:0K30Onv6sqOHqjuVXlusrf","Hurricane and Fire Survival Guide","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","spotify:album:5go2bf7TDR3aFI3Oua2rZ2","Feel Good Ghosts (Tea-Partying Through Tornadoes)","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","2008-04-08","https://i.scdn.co/image/ab67616d0000b27375303f41084dcb7e0ab0880c","1","10","229586","https://p.scdn.co/mp3-preview/f863c5bd566633ea1145ab8a6b15f28220d28044?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","US7860800010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T12:01:50Z"
"spotify:track:4hCxRvh19OrnJKmuaXP07J","May Your Hearts Stay Strong","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","spotify:album:5go2bf7TDR3aFI3Oua2rZ2","Feel Good Ghosts (Tea-Partying Through Tornadoes)","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","2008-04-08","https://i.scdn.co/image/ab67616d0000b27375303f41084dcb7e0ab0880c","1","11","260253","https://p.scdn.co/mp3-preview/2408f3d40af2f5c3ee98d948de6ee07ad2910a5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","US7860800011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T12:01:50Z"
"spotify:track:0rFUy9frLRXyPUN6zKBmOA","The Will of a Volcano","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","spotify:album:5go2bf7TDR3aFI3Oua2rZ2","Feel Good Ghosts (Tea-Partying Through Tornadoes)","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","2008-04-08","https://i.scdn.co/image/ab67616d0000b27375303f41084dcb7e0ab0880c","1","12","157200","https://p.scdn.co/mp3-preview/cc8680801dd8383407d50f4562b0afe45cd5f8a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","US7860800012","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T12:01:50Z"
"spotify:track:0ewsZgCOR1pIikYHKtKanK","Love You All","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","spotify:album:5go2bf7TDR3aFI3Oua2rZ2","Feel Good Ghosts (Tea-Partying Through Tornadoes)","spotify:artist:6R1T5YklzC9OFugGt8RwOD","Cloud Cult","2008-04-08","https://i.scdn.co/image/ab67616d0000b27375303f41084dcb7e0ab0880c","1","13","303533","https://p.scdn.co/mp3-preview/23412d1f5a9dd7a0862ad037085203dfb1d8069c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","US7860800013","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T12:01:50Z"
