"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0W95eMaAxNVYTquOsXXkC5","Female Energy, Part 2","spotify:artist:3rWZHrfrsPBxVy692yAIxF","WILLOW","spotify:album:4B2pV5Zds6478QOqA8yqdj","WILLOW","spotify:artist:3rWZHrfrsPBxVy692yAIxF","WILLOW","2019-07-19","https://i.scdn.co/image/ab67616d0000b2733e0c22d13bc9b4044e90ab9f","1","2","173920","","false","64","QMJMT1902284","spotify:user:21j3nttfysi6aehrfo5ckgpny","2020-09-13T06:52:15Z"
"spotify:track:5Yb82JrDj09gQHQtjWgYYo","Pink in the Night","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:653wRjqO0GOZPQPcXpeAXD","Be the Cowboy","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2018-08-17","https://i.scdn.co/image/ab67616d0000b273257f81958be25db29f328159","1","10","136667","","false","0","USJ5G1815010","spotify:user:21j3nttfysi6aehrfo5ckgpny","2020-10-26T08:57:32Z"
"spotify:track:0HKr9aqzHBsVNnsUCdH4bw","STFU!","spotify:artist:2KEqzdPS7M5YwGmiuPTdr5","Rina Sawayama","spotify:album:3stadz88XVpHcXnVYMHc4J","SAWAYAMA","spotify:artist:2KEqzdPS7M5YwGmiuPTdr5","Rina Sawayama","2020-04-17","https://i.scdn.co/image/ab67616d0000b2735b131d745dafd8666254fe96","1","3","203994","https://p.scdn.co/mp3-preview/7b3c80e264f5d03f2bc8c05e0f5d9213627edeb1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","GBK3W1901184","spotify:user:21j3nttfysi6aehrfo5ckgpny","2020-09-13T06:53:12Z"
"spotify:track:53jnnqFSRGMDB9ADrNriCA","Bloody Mary","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","spotify:album:6LY3AerY6KNGOPsNPL63Kk","Born This Way (International Special Edition Version)","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2011-05-23","https://i.scdn.co/image/ab67616d0000b273a5d31644260279be8d0c46c0","1","8","244760","","false","84","USUM71106449","spotify:user:21j3nttfysi6aehrfo5ckgpny","2020-10-26T09:26:27Z"
"spotify:track:1Ac5BDsGUMQ3tsW2vnc52x","First Love / Late Spring","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:472GvzwE3EZ0i2EEaly5mX","Bury Me At Makeout Creek","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2014-11-11","https://i.scdn.co/image/ab67616d0000b27350f8ace2690355fa20e58227","1","3","278640","","false","0","USA2B1511604","spotify:user:21j3nttfysi6aehrfo5ckgpny","2020-09-13T06:52:33Z"
"spotify:track:7DCKlgZuZcljJSlvt8vsZa","Roses/Lotus/Violet/Iris","spotify:artist:6Rx1JKzBrSzoKQtmbVmBnM","Hayley Williams","spotify:album:4HXpQ5KQBVWN25ltjnX7xa","Petals For Armor","spotify:artist:6Rx1JKzBrSzoKQtmbVmBnM","Hayley Williams","2020-05-08","https://i.scdn.co/image/ab67616d0000b273896e2483613a566bcb00d324","2","4","321044","https://p.scdn.co/mp3-preview/527ddfc49505cc69922d6f01adcf5d3edf1398af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USAT22000850","spotify:user:21j3nttfysi6aehrfo5ckgpny","2020-09-13T06:56:45Z"
"spotify:track:5xouIycayHmjZxeuhXPhgX","Villain","spotify:artist:2Y9AUayH5pyZpVfkDYDfJV","Stella Jang","spotify:album:1TCX395u7CaSsCLtiwsMAN","STELLA I","spotify:artist:2Y9AUayH5pyZpVfkDYDfJV","Stella Jang","2020-04-07","https://i.scdn.co/image/ab67616d0000b273fde8f652864b52fc8c266dee","1","5","191000","https://p.scdn.co/mp3-preview/5e7dd657541cc74c69ecf6678c22993301e7f2e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","KRA382001056","spotify:user:21j3nttfysi6aehrfo5ckgpny","2020-09-15T19:17:37Z"
"spotify:track:7yBbV2k2S2uhaQc24NF2xt","Stupid Love","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","spotify:album:05c49JgPmL4Uz2ZeqRx5SP","Chromatica","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2020-05-29","https://i.scdn.co/image/ab67616d0000b2736040effba89b9b00a6f6743a","1","3","193533","","false","72","USUM71917357","spotify:user:21j3nttfysi6aehrfo5ckgpny","2020-09-15T19:17:37Z"
"spotify:track:0h5XgxN8lwqFCZXyGSCRch","A Long Dream 긴 꿈","spotify:artist:07OePkse2fcvU9wlVftNMl","SE SO NEON","spotify:album:14MzJLQEjGoWplHYwe3JiJ","A Long Dream 긴 꿈","spotify:artist:07OePkse2fcvU9wlVftNMl","SE SO NEON","2017-06-20","https://i.scdn.co/image/ab67616d0000b273f5fca0109f476a6e557be0d4","1","1","258420","","false","0","KRA351700276","spotify:user:21j3nttfysi6aehrfo5ckgpny","2020-09-15T19:17:37Z"
"spotify:track:7flItYwflFqCUDJHDHeujL","Girl’s Generation","spotify:artist:2Y9AUayH5pyZpVfkDYDfJV","Stella Jang","spotify:album:419WgjPNItZIDgjd1GSgrO","Colors","spotify:artist:2Y9AUayH5pyZpVfkDYDfJV","Stella Jang","2016-10-06","https://i.scdn.co/image/ab67616d0000b2732331c39d60075168f035accf","1","2","221283","https://p.scdn.co/mp3-preview/9e72e54b30e099f20d749519b7d157d2639a1e39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","KRC631600015","spotify:user:21j3nttfysi6aehrfo5ckgpny","2020-09-15T19:17:37Z"
