"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6YjCAqtpVi8F1PI9H6HxuV","More More More","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","spotify:album:4WzTXHp8bVKkKNu3UQ2Fqu","Fever","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","2001-10-01","https://i.scdn.co/image/ab67616d0000b2735d6121285c42ea4535e59048","1","1","281840","https://p.scdn.co/mp3-preview/12209d8bece9e92d0d777f1e75e0e2a2b8af6845?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBAYE0101412","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-17T17:51:25Z"
"spotify:track:6ua8mbyHXTHpAmGyGpFAS2","Love at First Sight","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","spotify:album:4WzTXHp8bVKkKNu3UQ2Fqu","Fever","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","2001-10-01","https://i.scdn.co/image/ab67616d0000b2735d6121285c42ea4535e59048","1","2","238266","https://p.scdn.co/mp3-preview/d019a045131d3a6a7104b33ea4c7685ca5d78fd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBAYE0101419","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-17T17:51:25Z"
"spotify:track:3E7ZwUMJFqpsDOJzEkBrQ7","Can't Get You out of My Head","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","spotify:album:4WzTXHp8bVKkKNu3UQ2Fqu","Fever","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","2001-10-01","https://i.scdn.co/image/ab67616d0000b2735d6121285c42ea4535e59048","1","3","230640","https://p.scdn.co/mp3-preview/80a42bfd505424a41c3e43b66b4e64571e36d49c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBAYE0100913","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-17T17:51:25Z"
"spotify:track:1AewRvtib1xQhhX7ahD1Kc","Fever","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","spotify:album:4WzTXHp8bVKkKNu3UQ2Fqu","Fever","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","2001-10-01","https://i.scdn.co/image/ab67616d0000b2735d6121285c42ea4535e59048","1","4","211826","https://p.scdn.co/mp3-preview/f32f687c6717ac6805ed6ee9ed60db6744ad22e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBAYE0101378","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-17T17:51:25Z"
"spotify:track:55Ef6l5aVpocNH8RyMvIbl","Give It to Me","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","spotify:album:4WzTXHp8bVKkKNu3UQ2Fqu","Fever","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","2001-10-01","https://i.scdn.co/image/ab67616d0000b2735d6121285c42ea4535e59048","1","5","169720","https://p.scdn.co/mp3-preview/99bc1219489630d7682d9f0c740e45cf1ebc82e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBAYE0101415","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-17T17:51:25Z"
"spotify:track:3ZiU5siL7ZMYpakEg6X9Q9","Fragile","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","spotify:album:4WzTXHp8bVKkKNu3UQ2Fqu","Fever","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","2001-10-01","https://i.scdn.co/image/ab67616d0000b2735d6121285c42ea4535e59048","1","6","227173","https://p.scdn.co/mp3-preview/4376b0f0b15464b6382c9c9b31d47206556503d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBAYE0101507","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-17T17:51:25Z"
"spotify:track:39DW02MW41A8bBIxH7nT1V","Come into My World - Radio Edit [Radio Edit]","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","spotify:album:4WzTXHp8bVKkKNu3UQ2Fqu","Fever","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","2001-10-01","https://i.scdn.co/image/ab67616d0000b2735d6121285c42ea4535e59048","1","7","246866","https://p.scdn.co/mp3-preview/a09821a43bd9348266dab7d87ce51ab8be28a608?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAYE0201416","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-17T17:51:25Z"
"spotify:track:1t5nwfsb90IliczIhOMnpJ","In Your Eyes","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","spotify:album:4WzTXHp8bVKkKNu3UQ2Fqu","Fever","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","2001-10-01","https://i.scdn.co/image/ab67616d0000b2735d6121285c42ea4535e59048","1","8","197826","https://p.scdn.co/mp3-preview/727151e02c24a7d360c4efcc68b72dfe57631836?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBAYE0101381","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-17T17:51:25Z"
"spotify:track:2Gb7MpMskfGc4c4JDR0Dk5","Dancefloor","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","spotify:album:4WzTXHp8bVKkKNu3UQ2Fqu","Fever","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","2001-10-01","https://i.scdn.co/image/ab67616d0000b2735d6121285c42ea4535e59048","1","9","205453","https://p.scdn.co/mp3-preview/dc525412f9449e0e07d76b56ff56613ebc7d3279?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBAYE0101413","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-17T17:51:25Z"
"spotify:track:0iReGfmVn96YVgK4zG3eZX","Love Affair","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","spotify:album:4WzTXHp8bVKkKNu3UQ2Fqu","Fever","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","2001-10-01","https://i.scdn.co/image/ab67616d0000b2735d6121285c42ea4535e59048","1","10","229400","https://p.scdn.co/mp3-preview/280fd8eeeb36a041e7237fd346605757aa55f18f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBAYE0101416","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-17T17:51:25Z"
