"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1oHjd3td5HHSQSqWG69OZm","Fordlândia - Aerial View","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","spotify:album:4IxBkJzoeDyGxI0q26UwKI","Fordlândia","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2008-11-03","https://i.scdn.co/image/ab67616d0000b27354904c100c633a3a186e151f","1","5","272613","https://p.scdn.co/mp3-preview/329e5ed08b9999f05d5e93e162aec7852eac93ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","GBAFL0800040","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-31T18:32:54Z"
"spotify:track:4GNAkByimF0pxX2vgG35Z3","The Dreams that Stuff is Made Of","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","spotify:album:02VRifrsiTM73hPGjXduRQ","The Theory of Everything (Original Motion Picture Soundtrack)","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2014-11-04","https://i.scdn.co/image/ab67616d0000b27335f29c49f7e47f24df12eeb9","1","11","111836","https://p.scdn.co/mp3-preview/745d6c643ee59e66ed26a0c62999e97f0141649f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USQ4E1401102","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-01T22:38:46Z"
"spotify:track:2Jyu7mtUd00nbEzEyEviaT","A Song for Europa","spotify:artist:3IpQziA6YwD53PQ5xbwgLF, spotify:artist:72UK8pq1vewvVNs0mGCoH8, spotify:artist:3Sn9qNHNBzGuMW3b4V6o98","Jóhann Jóhannsson, Air Lyndhurst String Orchestra, Anthony Weeden","spotify:album:1ZPtIPAHcNHgLuL0K6BzJN","Orphée","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738988ae051bcdcab293a76f3d","1","2","153573","","false","38","DEN961630002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-02T20:56:42Z"
"spotify:track:4CujYYusMQgARvGuS9saAI","A Deal with Chaos","spotify:artist:3IpQziA6YwD53PQ5xbwgLF, spotify:artist:2lD1D6eEh7xQdBtnl2Ik7Y","Jóhann Jóhannsson, Hildur Guðnadóttir","spotify:album:1ZPtIPAHcNHgLuL0K6BzJN","Orphée","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738988ae051bcdcab293a76f3d","1","4","125826","","false","42","DEN961630004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-03T00:17:49Z"
"spotify:track:70efLf4vXM5rCNtFu82HX5","Rise","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","spotify:album:3GDfBsNm22NeGSP2vQDWnO","Arrival (Original Motion Picture Soundtrack)","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-11-11","https://i.scdn.co/image/ab67616d0000b27300a86f72f75086f7fb441899","1","19","107029","","false","32","DEN961630819","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-03T00:23:14Z"
"spotify:track:6kXgucJ1be2N7X85HqTfLf","The Mustard Seed","spotify:artist:2lD1D6eEh7xQdBtnl2Ik7Y, spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Hildur Guðnadóttir, Jóhann Jóhannsson","spotify:album:5WqyklnAAPQqTO7NmX7XD0","Mary Magdalene (Original Motion Picture Soundtrack)","spotify:artist:2lD1D6eEh7xQdBtnl2Ik7Y, spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Hildur Guðnadóttir, Jóhann Jóhannsson","2018","https://i.scdn.co/image/ab67616d0000b273c5f547bf323fe72f08c0a362","1","2","131200","https://p.scdn.co/mp3-preview/894fdc7bc8453879b1b72c83cb5590875577c03e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","US5941408777","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-03T00:25:34Z"
"spotify:track:2wA8cQwmSw0eVVhOfNRDuZ","The Sun's Gone Dim and the Sky's Turned Black","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","spotify:album:0zfKFT81oXj0Nb5Lf6RGix","The Sun's Gone Dim and the Sky's Turned Black","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2006-10-09","https://i.scdn.co/image/ab67616d0000b2737cc2afdaef2df15024915675","1","1","340880","https://p.scdn.co/mp3-preview/119382e55bebc8eda1a19946237bee48f8803b77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBAFL0600038","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-03T00:41:34Z"
"spotify:track:65QiDjsXKQ2l3n8c9hnOtN","The Vampire Masquerade","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6TNEWRKticKa2TYU6kUgFD","The Edge of Darkness","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2015-07-25","https://i.scdn.co/image/ab67616d0000b273bf26e7c0fc42bbb39eaece18","1","2","191250","https://p.scdn.co/mp3-preview/5016a1f6e6008ab9d81295c935b9e4e3316657ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","TCACH1533576","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-10T07:36:30Z"
"spotify:track:76nUdPu36gGmE2bmMfvC5m","The Last of Her Kind","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:5tw2iwutrBamJu0awHfKsM","The Elixir of Life","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2014-11-21","https://i.scdn.co/image/ab67616d0000b273a07c960d3185fc7b5703cd50","1","12","233064","https://p.scdn.co/mp3-preview/8c1e44b2eaa38fb506671b1826e3bf186e26a0cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","TCACB1482858","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-10T10:45:10Z"
"spotify:track:1LBT3jldKFtvpm3TbfhJox","Salem's Secret","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6TNEWRKticKa2TYU6kUgFD","The Edge of Darkness","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2015-07-25","https://i.scdn.co/image/ab67616d0000b273bf26e7c0fc42bbb39eaece18","1","3","244000","https://p.scdn.co/mp3-preview/65c58e4711c5eb1c0984b11e77cf6499c01fa2e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","TCACH1533578","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-10T10:49:37Z"
