"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1ss3UmgZb6RLT41f7A0xzW","Nothing Gives Me Pleasure","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","spotify:album:1rkbaI9xnf7yi70SyGNKi2","Forgiveness","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","2022-04-29","https://i.scdn.co/image/ab67616d0000b273323d891d85851d4812b972b5","1","1","228040","https://p.scdn.co/mp3-preview/64b92ee33403941f05aeda11a8d0eac386ba7725?cid=9950ac751e34487dbbe027c4fd7f8e99","true","21","USEP42177001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-11T19:49:00Z"
"spotify:track:1Yr5kttHFKlFm7XXzAQ5Uj","Lie Love Lullaby","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","spotify:album:1rkbaI9xnf7yi70SyGNKi2","Forgiveness","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","2022-04-29","https://i.scdn.co/image/ab67616d0000b273323d891d85851d4812b972b5","1","2","200173","https://p.scdn.co/mp3-preview/a9c8cfc35e292b3c74dfb60428f2f6cb4ef18ee4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USEP42177002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-11T19:49:00Z"
"spotify:track:0MJSR9MwDp9dFVuqs5OfRb","Violet","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","spotify:album:1rkbaI9xnf7yi70SyGNKi2","Forgiveness","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","2022-04-29","https://i.scdn.co/image/ab67616d0000b273323d891d85851d4812b972b5","1","3","208400","https://p.scdn.co/mp3-preview/0886e4b356eccea712afe8b5212381c90f9158db?cid=9950ac751e34487dbbe027c4fd7f8e99","true","17","USEP42177003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-11T19:49:00Z"
"spotify:track:0SyuPCJmEprXGjO1oGO9Mt","Junkie","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","spotify:album:1rkbaI9xnf7yi70SyGNKi2","Forgiveness","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","2022-04-29","https://i.scdn.co/image/ab67616d0000b273323d891d85851d4812b972b5","1","4","214160","https://p.scdn.co/mp3-preview/31e58756c6d934b354761732786d79f291b699e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USEP42177004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-11T19:49:00Z"
"spotify:track:3fAnJdzLO2f3Z1nsOl8rco","Dragging My Life Into a Dream","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","spotify:album:1rkbaI9xnf7yi70SyGNKi2","Forgiveness","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","2022-04-29","https://i.scdn.co/image/ab67616d0000b273323d891d85851d4812b972b5","1","5","191920","https://p.scdn.co/mp3-preview/063c87e8a0b7e8b105110220d320255e618dcef9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USEP42177005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-11T19:49:00Z"
"spotify:track:75dTwqZk6mnxh4fNlUPKyr","Faultline","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","spotify:album:1rkbaI9xnf7yi70SyGNKi2","Forgiveness","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","2022-04-29","https://i.scdn.co/image/ab67616d0000b273323d891d85851d4812b972b5","1","6","251346","https://p.scdn.co/mp3-preview/f37080563f3369afc789022b16813473d41514d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USEP42177006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-11T19:49:00Z"
"spotify:track:2D34vgqkmgIotFYwdrwafE","Light Up Later","spotify:artist:3BYXi96LqI8TwNljFKE0DZ, spotify:artist:7IYuY1VszmoEUu4o3tNgC6","Girlpool, Zsela","spotify:album:1rkbaI9xnf7yi70SyGNKi2","Forgiveness","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","2022-04-29","https://i.scdn.co/image/ab67616d0000b273323d891d85851d4812b972b5","1","7","141053","https://p.scdn.co/mp3-preview/858118a423deca9e03349dcf4e729b9a2b801a6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USEP42177007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-11T19:49:00Z"
"spotify:track:3Aqub0QSqFiCWTxpRYvCDM","Country Star","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","spotify:album:1rkbaI9xnf7yi70SyGNKi2","Forgiveness","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","2022-04-29","https://i.scdn.co/image/ab67616d0000b273323d891d85851d4812b972b5","1","8","251346","https://p.scdn.co/mp3-preview/5a164cae1516ce6b6aaa93a03e9551fec991ccae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USEP42177008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-11T19:49:00Z"
"spotify:track:6INKxfmJ4FjXaIFhCMX6lT","Butterfly Bulletholes","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","spotify:album:1rkbaI9xnf7yi70SyGNKi2","Forgiveness","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","2022-04-29","https://i.scdn.co/image/ab67616d0000b273323d891d85851d4812b972b5","1","9","237586","https://p.scdn.co/mp3-preview/3ee971a8a1e2ace18154d4a959681b112ba7da92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USEP42177009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-11T19:49:00Z"
"spotify:track:5etHoucDfwgWSmmRFpWVsi","Afterlife","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","spotify:album:1rkbaI9xnf7yi70SyGNKi2","Forgiveness","spotify:artist:3BYXi96LqI8TwNljFKE0DZ","Girlpool","2022-04-29","https://i.scdn.co/image/ab67616d0000b273323d891d85851d4812b972b5","1","10","191106","https://p.scdn.co/mp3-preview/489a058350289302bdc0606502f6466affb6a142?cid=9950ac751e34487dbbe027c4fd7f8e99","true","13","USEP42177010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-11T19:49:00Z"
