"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2Z7Ln9oANYjKnX7amQ14TU","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","1","300635","https://p.scdn.co/mp3-preview/2e84ba427952059dfd86bd2e35cd72151e6e56ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","GBCVZ1303438","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:30IuQDGpNVjaV2nXSWoKM9","Remarkable Diving Feat","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","2","258219","https://p.scdn.co/mp3-preview/ebef201420826380705674b6a062b1957526b170?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GBCVZ1303439","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:1FrZQW5OPWkkzhIBaKckRe","Strange Sports","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","3","195379","https://p.scdn.co/mp3-preview/4229a54dc2fce87070c14a29b2f16ed35278eedb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","GBCVZ1303440","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:2xsSgp3aqrECMbEzvObOJJ","Heroines of the Cliff","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","4","292724","https://p.scdn.co/mp3-preview/696dd298d189de25807b708b3a98ccbdfb0e3fab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","GBCVZ1303443","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:0BQgAu7PhZSO3X6vEKsA4g","The Guillemot Girls","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","5","185465","https://p.scdn.co/mp3-preview/e71d6c4fabe8bbd53d69a1438197fd011f5576c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","GBCVZ1303444","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:4UONWViG7QDQDYOmwvrK3K","Suffragette Riots","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","6","237113","https://p.scdn.co/mp3-preview/f124f1c4615e01f358af43a90434492fa75369ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","GBCVZ1303445","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:3IRWLAwsly3OSQzXZ3oeL4","Heatwave","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","7","224120","https://p.scdn.co/mp3-preview/77bc6ce3537cfa83df07d2bf78af1f2cc0fc2b1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","GBCVZ1303446","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:1Mhr8mfkzfgOtRyfJX4V5P","Melancholy of the Boot","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","8","262076","https://p.scdn.co/mp3-preview/54be48207887647d271b8aaab0a3c762a6abcd24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","GBCVZ1303447","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:0ZEV6aVpuJbfx8h7uch2mY","Be You Mighty Sparrow?","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","9","133729","https://p.scdn.co/mp3-preview/33cdd93d4780f72906cbf27596bcce715a33d24a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","GBCVZ1303448","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:0Zs95VAc3SaySKZmVNd4M1","Berth 24","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","10","244678","https://p.scdn.co/mp3-preview/55f303a2aa02501dfb924675c180a60ffe2d8949?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","GBCVZ1303449","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:3nVr75rx4FFrXGkuwU5CCg","Red Rock Riviera","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","11","413476","https://p.scdn.co/mp3-preview/a14d139b12a92db9411ebf4f7545438cbefc6662?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBCVZ1303450","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:5w7ouKEsz4rf992TCocken","Coastguard","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","12","262251","https://p.scdn.co/mp3-preview/ad1948b908830285bd9b2c0c8d0c5fdc23d0dfab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","GBCVZ1303451","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:40r6BXFSaFLWzIhN7Yipcb","Perspectives of Stinky Turner","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","13","294765","https://p.scdn.co/mp3-preview/e11ac0a9bc8d8ef329c9a339019121bf9cb19ac1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","GBCVZ1303452","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:3rxHMxewAKE3rJrV9cIxRQ","Bonjour Copains","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","14","177989","https://p.scdn.co/mp3-preview/0a826af82994630d1ba1f6f266b58e2497f76651?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","GBCVZ1303453","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:4dGTDnaPfAvYxP3fz5Iurv","The Wild Highlands","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","15","190142","https://p.scdn.co/mp3-preview/d13b2170643b64f468a54a6bb79f2b5e76ba38ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","GBCVZ1303454","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:37z2aX4g2iwoIOuPc4ETsj","Docklands Renewed","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","16","341403","https://p.scdn.co/mp3-preview/dc41e562af30313bad0334e980c380572bf8bff4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","GBCVZ1303455","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:3KgUZ5eVX6VPr39lmI5GTq","The Islanders","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","17","187340","https://p.scdn.co/mp3-preview/e6121050b9f60f09b43aa45e11ead6b127ab3dd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","GBCVZ1303456","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
"spotify:track:5qbZHORSLORk696uNuFulD","Heatwave - Lympne Castle Demo","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:2MrqGKcS9kWgY7UTbv13TK","From the Sea to the Land Beyond","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2013-12-02","https://i.scdn.co/image/ab67616d0000b2735756154e1fe9788e404a7e47","1","18","225471","https://p.scdn.co/mp3-preview/47b0ffb689c3f2286027c811ff7136b10032e122?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","GBCVZ1303457","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T22:17:40Z"
