"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6Z435tBPT5JamUR9dN7y8y","The Temple Of The King","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","spotify:album:0RsJGRspEXnzwNMBAdrV3u","Ritchie Blackmore's Rainbow (Remastered)","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","1975-01-01","https://i.scdn.co/image/ab67616d0000b273cef7c35ca8b1c90cd8d010c8","1","6","282013","","false","0","USPR37587054","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-09-30T10:27:36Z"
"spotify:track:1k1Bqnv2R0uJXQN4u6LKYt","Ain't No Sunshine","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1971-05-01","https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","1","2","125093","https://p.scdn.co/mp3-preview/4894057a7cdc4be59cd335cfc369ba2d3a3b2ad8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USSM10000372","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-09-30T10:29:13Z"
"spotify:track:6Q0aBakbTsjQO6iGdxmXlx","Charlie Brown","spotify:artist:3QZKZBEmr54lAVI5XvmjnM","The Coasters","spotify:album:2Yvat4w8j7hrJ1JVUz0wAw","Rhino Hi-Five: The Coasters","spotify:artist:3QZKZBEmr54lAVI5XvmjnM","The Coasters","2005-12-20","https://i.scdn.co/image/ab67616d0000b27363a11b8024abf7fec271074d","1","3","141666","","false","0","USAT20102480","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-09-30T12:09:39Z"
"spotify:track:4o9DSo7c1ICv4CtFWFSmGx","Boat On The River","spotify:artist:4salDzkGmfycRqNUbyBphh","Styx","spotify:album:0RhPpU4BvtF44qdvFnGQuh","Cornerstone","spotify:artist:4salDzkGmfycRqNUbyBphh","Styx","1979-01-01","https://i.scdn.co/image/ab67616d0000b2735375070081edf3a7b188f0c7","1","5","190760","","false","60","USAM17902302","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-09-30T13:31:24Z"
"spotify:track:54eZmuggBFJbV7k248bTTt","A Horse with No Name","spotify:artist:35U9lQaRWSQISxQAB94Meo, spotify:artist:4Fgf6RvuWpiwDXSE7Vammx","America, George Martin","spotify:album:0E5IKYhiKgbYQkmfsFonbZ","America","spotify:artist:35U9lQaRWSQISxQAB94Meo","America","1972","https://i.scdn.co/image/ab67616d0000b273afb855e6461310dff4046c56","1","5","252239","https://p.scdn.co/mp3-preview/89200c908d805e98dd40aedf35f25a563713ffa6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USWB19901792","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-09-30T14:03:27Z"
"spotify:track:4zPDjRgceGrR0Sm54YDTTf","Autumn Nocturne","spotify:artist:063xkuRULzZu8fcoPR2rKR","Lou Donaldson","spotify:album:05dECqC2jTJKERNKAOykqk","Blues Walk","spotify:artist:063xkuRULzZu8fcoPR2rKR","Lou Donaldson","1958","https://i.scdn.co/image/ab67616d0000b273d94380c918abb94d55758650","1","5","294666","","false","58","USBN28700278","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-09-30T14:07:26Z"
"spotify:track:4Vkk3iD1VrENHJEACNddvt","Moanin' - Remastered 1998/Rudy Van Gelder Edition","spotify:artist:6QQuESLtKhAOcLW2TeWC2t","Art Blakey","spotify:album:5PzlTnVafjgt5RtjTdIKoC","Moanin' (Expanded Edition)","spotify:artist:6ykfXAed2KOLOMI3R0TZdz","Art Blakey & The Jazz Messengers","1959-01-01","https://i.scdn.co/image/ab67616d0000b273c653150f8ed1f6a12348ba79","1","2","570720","","false","57","USBN29800794","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-09-30T14:08:31Z"
"spotify:track:72nqbbrKjhXmDdRXQGq115","All I Have to Do Is Dream","spotify:artist:4ACplpEqD6JIVgKrafauzs","The Everly Brothers","spotify:album:5Bi3wDUlDlfKUYb5S5kcY6","Fabulous Fifties Nostalgia Vol 5","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-05","https://i.scdn.co/image/ab67616d0000b273b119594fb0b6ef3aeb72bb0f","1","9","141240","","false","0","USQY51202310","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-10-05T09:41:58Z"
"spotify:track:1qCQTy0fTXerET4x8VHyr9","What A Wonderful World","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","spotify:album:19UoBHanqMth4tk0rFw5RJ","What A Wonderful World","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1968","https://i.scdn.co/image/ab67616d0000b273601c5174eb7d0073bb79764f","1","1","137520","","false","11","USMC16758823","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-10-05T15:51:44Z"
"spotify:track:1fDsrQ23eTAVFElUMaf38X","American Pie","spotify:artist:1gRNBaI4yn6wCCTvRhGWh8","Don McLean","spotify:album:10jsW2NYd9blCrDITMh2zS","American Pie","spotify:artist:1gRNBaI4yn6wCCTvRhGWh8","Don McLean","1971","https://i.scdn.co/image/ab67616d0000b2730085dd4362653ef4c54ebbeb","1","1","516893","","false","81","USEM38600088","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-10-09T10:17:20Z"
"spotify:track:6zeE5tKyr8Nu882DQhhSQI","Dust in the Wind","spotify:artist:2hl0xAkS2AIRAu23TVMBG1","Kansas","spotify:album:6oU298pdPTCQnMx1PYwyUA","Point Of Know Return (Expanded Edition)","spotify:artist:2hl0xAkS2AIRAu23TVMBG1","Kansas","1977","https://i.scdn.co/image/ab67616d0000b27359f0f56a7cd13526b5b4204c","1","7","206266","https://p.scdn.co/mp3-preview/ddfc248171b5199053bafdefbc94ab5b335faa48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USSM10103196","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-11-03T16:37:56Z"
"spotify:track:78ZqE2tjAxbqEGGlvGnQfT","A Whiter Shade of Pale - Original Single Version","spotify:artist:0GbqW5TJr7n4is453VOY4C","Procol Harum","spotify:album:4fKEheMhcigQBenkttp5CU","Hits'n'Flips","spotify:artist:0GbqW5TJr7n4is453VOY4C","Procol Harum","2019-05-03","https://i.scdn.co/image/ab67616d0000b2739d713ba3dce10df2b943dc6a","1","1","248946","","false","49","GBBWX0701000","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-11-03T16:37:57Z"
"spotify:track:0iOZM63lendWRTTeKhZBSC","Mrs. Robinson - From ""The Graduate"" Soundtrack","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:3bzgbgiytguTDnwzflAZr2","Bookends","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","1968-04-03","https://i.scdn.co/image/ab67616d0000b273d8fb5b4308dc27f210064ef4","1","10","244026","https://p.scdn.co/mp3-preview/b48d5e6bd6312c23e674b6d3c5293438190cd99b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USSM16800379","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-11-03T16:37:57Z"
"spotify:track:6vcNJUWtUPB0hKC6VbZriY","San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version","spotify:artist:7d7AZ3CQC457bFhK0wHpSO","Scott McKenzie","spotify:album:0JxUYNJnYnCeA9kwBRK4ez","San Francisco","spotify:artist:7d7AZ3CQC457bFhK0wHpSO","Scott McKenzie","1967-07-16","https://i.scdn.co/image/ab67616d0000b27355a2136bf7726d3c99f7860b","1","1","178506","https://p.scdn.co/mp3-preview/9b7f1e10110a443d40d1e95b65335829a789f81c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM16701024","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2020-11-03T16:37:58Z"
