"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4OmfWzukSVD140NiAIEjem","Static","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","1","156506","https://p.scdn.co/mp3-preview/097e3e34df67fd23e0347456a54aecd2a783f4f0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USRC12202285","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-19T11:59:56Z"
"spotify:track:0DmkBOGgEWMbUJlL6VwwF2","Helmet","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","2","201546","https://p.scdn.co/mp3-preview/2a12bdde08a274d68b948fdb762eb6d26a5fd84c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USRC12202286","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-19T11:59:56Z"
"spotify:track:6uVZddXkgQIArp8myEHs4x","Mercury","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","3","295413","https://p.scdn.co/mp3-preview/2b728acddf8d587d9589d446037d9a2cfb422b42?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USRC12201526","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-19T11:59:56Z"
"spotify:track:4CzLJ2wsrk1QdhXXuT16gx","Buttons","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","4","184973","https://p.scdn.co/mp3-preview/d21c08f6b226326475a79112e1ee8c761e621000?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USRC12202287","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-19T11:59:56Z"
"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Bad Habit","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","5","232066","https://p.scdn.co/mp3-preview/efe7c2fdd8fa727a108a1270b114ebedabfd766c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USRC12201440","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-19T11:59:56Z"
"spotify:track:6rTqYkpXwKMv8sBvWB6Fl4","2Gether (Enterlude)","spotify:artist:57vWImR43h4CaDao012Ofp, spotify:artist:7ycsWk9ae4pTAlWH8j6Hf9","Steve Lacy, Matt Martians","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","6","50426","https://p.scdn.co/mp3-preview/188ee2a5c888ea6e1eb2b3ef201d22f7e01ab393?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USRC12202288","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-19T11:59:56Z"
"spotify:track:2kk2trjT2JXhEHtCnz9FWA","Cody Freestyle","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","7","240080","https://p.scdn.co/mp3-preview/a2ba685c10c20311efab9154e7e6d29e6eadbf8e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USRC12202289","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-19T11:59:56Z"
"spotify:track:5Z4EEIaSzeRmYze3W47S1k","Amber","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","8","173520","https://p.scdn.co/mp3-preview/e195a42fe745fcc6ce8bb668d3e4ed8bd93032e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USRC12202290","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-19T11:59:56Z"
"spotify:track:2FPmvXIMpjgzJQbUeJo8Iv","Sunshine (feat. Fousheé)","spotify:artist:57vWImR43h4CaDao012Ofp, spotify:artist:6trIghKwHRUyxwvm66HLHH","Steve Lacy, Fousheé","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","9","293426","https://p.scdn.co/mp3-preview/909b6dd666c2070f382a5081e0bf3febad223e41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USRC12202291","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-19T11:59:56Z"
"spotify:track:0J119Oas2ox6JTTHUGZxHN","Give You the World","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","10","273786","https://p.scdn.co/mp3-preview/7870492088195f29031fa885eecc9c0801848130?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USRC12202292","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-19T11:59:56Z"
