"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0iYmeLB9U9p9APmNoAosOP","Master of Death","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6IsNOcqDWih1ZWc4RLuVaF","Dark Magic Music","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2019-09-19","https://i.scdn.co/image/ab67616d0000b273341ff8b627a335641e46ae8b","1","7","290625","https://p.scdn.co/mp3-preview/a5985a92fcf1cd5a3e966ba7c62d89d4c0f104de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","QZHN51959053","spotify:user:vcxevtp5ozct0r24f1nhui5h9","2020-08-22T16:42:34Z"
"spotify:track:3CfjxPZAeKo00Hm8Y6FFok",".Goetia.","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6IsNOcqDWih1ZWc4RLuVaF","Dark Magic Music","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2019-09-19","https://i.scdn.co/image/ab67616d0000b273341ff8b627a335641e46ae8b","1","1","330000","https://p.scdn.co/mp3-preview/2a9eafda32c2a0e660a70e84ab07d787ebb6b2a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QZHN51959047","spotify:user:vcxevtp5ozct0r24f1nhui5h9","2020-08-22T16:42:57Z"
"spotify:track:0apF4A3E4guRESWkIs6mUP","The Essence","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6IsNOcqDWih1ZWc4RLuVaF","Dark Magic Music","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2019-09-19","https://i.scdn.co/image/ab67616d0000b273341ff8b627a335641e46ae8b","1","2","312857","https://p.scdn.co/mp3-preview/bb7c7e8b783514428f6e08845ad6a2b657cc7096?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QZHN51959048","spotify:user:vcxevtp5ozct0r24f1nhui5h9","2020-08-22T16:42:57Z"
"spotify:track:13BYuepHuEUmqdLKIgVkmh","Lilith","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6IsNOcqDWih1ZWc4RLuVaF","Dark Magic Music","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2019-09-19","https://i.scdn.co/image/ab67616d0000b273341ff8b627a335641e46ae8b","1","3","270508","https://p.scdn.co/mp3-preview/89f18f183f88c0f7d7666ee5d686d730712a380f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","QZHN51959049","spotify:user:vcxevtp5ozct0r24f1nhui5h9","2020-08-22T16:42:57Z"
"spotify:track:1xSlZkFM66foB4vuX8AIWn","They Came Wearing Masks","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6IsNOcqDWih1ZWc4RLuVaF","Dark Magic Music","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2019-09-19","https://i.scdn.co/image/ab67616d0000b273341ff8b627a335641e46ae8b","1","4","384207","https://p.scdn.co/mp3-preview/8815810edd4efb7b7ad4bc354622804a7e380b91?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","QZHN51959050","spotify:user:vcxevtp5ozct0r24f1nhui5h9","2020-08-22T16:42:57Z"
"spotify:track:2X2WCcpkmOqdTKfD7C1zyq","Salem's Secret","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6IsNOcqDWih1ZWc4RLuVaF","Dark Magic Music","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2019-09-19","https://i.scdn.co/image/ab67616d0000b273341ff8b627a335641e46ae8b","1","5","244000","https://p.scdn.co/mp3-preview/fd35b31198281d1255b8c15034e8a34ee8c82878?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QZHN51959051","spotify:user:vcxevtp5ozct0r24f1nhui5h9","2020-08-22T16:42:57Z"
"spotify:track:51ApQ7tZZbzvo9Ax9vn9MH","I Invoke Cursed Winds","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6IsNOcqDWih1ZWc4RLuVaF","Dark Magic Music","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2019-09-19","https://i.scdn.co/image/ab67616d0000b273341ff8b627a335641e46ae8b","1","6","224347","https://p.scdn.co/mp3-preview/c2b49ec0d3a55a1e0046c4c46689362846e44248?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","QZHN51959052","spotify:user:vcxevtp5ozct0r24f1nhui5h9","2020-08-22T16:42:57Z"
"spotify:track:0omIzYiDi7hvcCjrKzDfxy","Return of the Dark Lord","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6IsNOcqDWih1ZWc4RLuVaF","Dark Magic Music","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2019-09-19","https://i.scdn.co/image/ab67616d0000b273341ff8b627a335641e46ae8b","1","8","146000","https://p.scdn.co/mp3-preview/50f5f6024953ca3878143d2682cf17131a8bc914?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","QZHN51959054","spotify:user:vcxevtp5ozct0r24f1nhui5h9","2020-08-22T16:42:57Z"
"spotify:track:0xjRAmIOURBYqK4GSD73Qu","The Lost Lineage","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6IsNOcqDWih1ZWc4RLuVaF","Dark Magic Music","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2019-09-19","https://i.scdn.co/image/ab67616d0000b273341ff8b627a335641e46ae8b","1","9","174767","https://p.scdn.co/mp3-preview/7d3bb5b2cbcc71455efc7379954afc088fb7dbe9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","QZHN51959055","spotify:user:vcxevtp5ozct0r24f1nhui5h9","2020-08-22T16:42:57Z"
"spotify:track:5Ahwc9c2B0OJ9CbQgO2be7","The Shadows Hymn","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6IsNOcqDWih1ZWc4RLuVaF","Dark Magic Music","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2019-09-19","https://i.scdn.co/image/ab67616d0000b273341ff8b627a335641e46ae8b","1","10","109200","https://p.scdn.co/mp3-preview/c1caefc7e0853e674126ebe9cdf648d9b3623909?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","QZHN51959056","spotify:user:vcxevtp5ozct0r24f1nhui5h9","2020-08-22T16:42:57Z"
