"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7KDQnRO185VCTHrXOEGBr9","Sleep","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O","Bang Gang","spotify:album:3Ki0DRtl3IwtHe2m0pfmyF","Best of Bang Gang (Special Edition)","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O","Bang Gang","1999","https://i.scdn.co/image/ab67616d0000b273cf899b2702de9faf41943d0c","1","3","297613","https://p.scdn.co/mp3-preview/4f2c9f7fa2bfd194cb157308b3b0cd44c46761d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","ISA119800105","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-19T11:52:51Z"
"spotify:track:7u1tr0UXiaNaYNKV5hOGg0","A Letter Carved in Stone","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O","Bang Gang","spotify:album:2yDTU5cXXwfS2YOxEuUGPt","The Wolves Are Whispering","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O","Bang Gang","2015-06-23","https://i.scdn.co/image/ab67616d0000b273dccc6373fb2a0537978c1d7f","1","7","220133","https://p.scdn.co/mp3-preview/814543c028a77295a48a3388e4fe473db972b52f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","ISQ111500107","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-19T11:53:28Z"
"spotify:track:5MJgv90oWoX9cGKaPhHLx2","Silent Bite","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O","Bang Gang","spotify:album:2yDTU5cXXwfS2YOxEuUGPt","The Wolves Are Whispering","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O","Bang Gang","2015-06-23","https://i.scdn.co/image/ab67616d0000b273dccc6373fb2a0537978c1d7f","1","4","250146","https://p.scdn.co/mp3-preview/70c8fe9d505019cd39fece020fdd36125bca6ab6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","ISQ111500104","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-19T11:53:32Z"
"spotify:track:6bsFcOfgKodB9sgH0BNk4I","Out of Horizon","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O","Bang Gang","spotify:album:2yDTU5cXXwfS2YOxEuUGPt","The Wolves Are Whispering","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O","Bang Gang","2015-06-23","https://i.scdn.co/image/ab67616d0000b273dccc6373fb2a0537978c1d7f","1","2","230053","https://p.scdn.co/mp3-preview/7a72d169c048833a28dd3820a65b58f67c54a6c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","ISQ111500101","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-19T11:53:35Z"
"spotify:track:6gYKXCUnw3pkGK20LoIx9C","The Sin Is Near","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O, spotify:artist:06ZLemYyWDBiCoFhua3ytz","Bang Gang, Bloodgroup","spotify:album:2yDTU5cXXwfS2YOxEuUGPt","The Wolves Are Whispering","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O","Bang Gang","2015-06-23","https://i.scdn.co/image/ab67616d0000b273dccc6373fb2a0537978c1d7f","1","1","276413","https://p.scdn.co/mp3-preview/5da160932533c7df8d1883a094094c248cec0c8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","ISQ111500102","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-19T11:53:38Z"
"spotify:track:3Mhu3tf3C4mF8qR9620FvC","Nothing Is Written In The Stars","spotify:artist:06ZLemYyWDBiCoFhua3ytz","Bloodgroup","spotify:album:7dTbFNjO6gG7JyR9yklyJ6","Tracing Echoes","spotify:artist:06ZLemYyWDBiCoFhua3ytz","Bloodgroup","2013-03-11","https://i.scdn.co/image/ab67616d0000b2731ead55f4ec3afa999f806eae","1","3","284066","https://p.scdn.co/mp3-preview/e9d57abe4738391fe26be9d224548f29e42914d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","ISA111306803","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-20T23:51:43Z"
"spotify:track:4g0LxZKUcLXOPYlusSSlxF","Ghost from the Past (Bonus Track)","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O, spotify:artist:5mOqDZquIKlcMNzavhOrDs, spotify:artist:1matQjfV1JqCdlI5ag9iOw, spotify:artist:0Xk66tAbXFMcy5UaZcHGbp","Bang Gang, Lady & Bird, Lady, Bird","spotify:album:3Ki0DRtl3IwtHe2m0pfmyF","Best of Bang Gang (Special Edition)","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O","Bang Gang","1999","https://i.scdn.co/image/ab67616d0000b273cf899b2702de9faf41943d0c","1","15","347840","https://p.scdn.co/mp3-preview/d6542d1a948336511cb4caefb4b274483d7272c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","ISQ111200103","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T00:00:26Z"
"spotify:track:7IpPHiiuXRupdl6nt0fq54","A Lonely Bird","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O, spotify:artist:4v1YZL83eLyemlt32wWAoA","Bang Gang, Keren Ann","spotify:album:2yDTU5cXXwfS2YOxEuUGPt","The Wolves Are Whispering","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O","Bang Gang","2015-06-23","https://i.scdn.co/image/ab67616d0000b273dccc6373fb2a0537978c1d7f","1","5","488362","https://p.scdn.co/mp3-preview/297639b2f314a8267f8652758b453d633cf54766?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","ISQ111500105","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T00:14:24Z"
"spotify:track:0n3vfrEOEbmwJHSvJV4ij1","The Right to Destroy Myself","spotify:artist:4t5tXDynppgNyZAPD8XpzP","OKADA","spotify:album:0BM7nWOvI6Pg26EdkkTVkU","Life Is but an Empty Dream","spotify:artist:4t5tXDynppgNyZAPD8XpzP","OKADA","2019-05-24","https://i.scdn.co/image/ab67616d0000b2731c4523859afc61f29318fad6","1","2","982400","https://p.scdn.co/mp3-preview/394109574574ed9533d0e5e1f87d91abb2bcfe7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USHMD1927502","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-06T08:17:18Z"
"spotify:track:4iRLuTrj6KCU4EUHByBQn3","Falling Apart","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O","Bang Gang","spotify:album:1YCiTw1Kry0F2R12x9D8Ok","You","spotify:artist:2fx7ZzHDwjIK13GOGAnb2O","Bang Gang","1999-04-01","https://i.scdn.co/image/ab67616d0000b273b6ced142c50d4fe023b56569","1","6","205066","https://p.scdn.co/mp3-preview/dcb8f863d8383bfb2337a93ca3dd915d8e681b87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","ISA119800106","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-15T23:50:14Z"
