"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2ovD5JwItQasZDVBJgarfK","Herr Mannelig","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","spotify:album:6B6OuHLGUMUhxXuXQqko97","Guds Spelemän","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","1996-02-14","https://i.scdn.co/image/ab67616d0000b273415a64151436828591a968f2","1","1","382426","","false","19","SELIA9601010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T18:21:54Z"
"spotify:track:2xRcqKInNWSgqPSEH9jJ6w","Vänner och Fränder","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","spotify:album:6B6OuHLGUMUhxXuXQqko97","Guds Spelemän","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","1996-02-14","https://i.scdn.co/image/ab67616d0000b273415a64151436828591a968f2","1","2","311213","","false","5","SELIA9601020","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T18:21:54Z"
"spotify:track:6SXYP4AEqaJQ4LmTwqr4ga","Halling från Makedonien","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","spotify:album:6B6OuHLGUMUhxXuXQqko97","Guds Spelemän","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","1996-02-14","https://i.scdn.co/image/ab67616d0000b273415a64151436828591a968f2","1","3","165586","","false","1","SELIA9601030","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T18:21:54Z"
"spotify:track:4ZfQjw0AToqWGezAKE86oc","Min Man","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","spotify:album:6B6OuHLGUMUhxXuXQqko97","Guds Spelemän","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","1996-02-14","https://i.scdn.co/image/ab67616d0000b273415a64151436828591a968f2","1","4","260093","","false","1","SELIA9601040","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T18:21:54Z"
"spotify:track:63gKSPHBGalBtLfh6riYTK","Varulven","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","spotify:album:6B6OuHLGUMUhxXuXQqko97","Guds Spelemän","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","1996-02-14","https://i.scdn.co/image/ab67616d0000b273415a64151436828591a968f2","1","5","273946","","false","4","SELIA9601050","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T18:21:54Z"
"spotify:track:4N0XXssZGiblkGBvTTnWZS","Hilla Lilla","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","spotify:album:6B6OuHLGUMUhxXuXQqko97","Guds Spelemän","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","1996-02-14","https://i.scdn.co/image/ab67616d0000b273415a64151436828591a968f2","1","6","379826","","false","1","SELIA9601060","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T18:21:54Z"
"spotify:track:3pyXBf5PtenyLoitjOD1iN","Drew Drusnaar/Idag som igår","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","spotify:album:6B6OuHLGUMUhxXuXQqko97","Guds Spelemän","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","1996-02-14","https://i.scdn.co/image/ab67616d0000b273415a64151436828591a968f2","1","7","166320","","false","0","SELIA9601070","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T18:21:54Z"
"spotify:track:4JFXjJjZnIOBIUm1yDC3Jy","Njaalkeme (Hunger)","spotify:artist:7ED7dE68y0YZGpyXcuiRsI, spotify:artist:30nUhiOg13pbEXYHmCrSXg","Garmarna, Pål Torbjörn Doj","spotify:album:6B6OuHLGUMUhxXuXQqko97","Guds Spelemän","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","1996-02-14","https://i.scdn.co/image/ab67616d0000b273415a64151436828591a968f2","1","8","303080","","false","1","SELIA9601080","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T18:21:54Z"
"spotify:track:6vUSTupDuF2CldMAowlpRM","Herr Holger","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","spotify:album:6B6OuHLGUMUhxXuXQqko97","Guds Spelemän","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","1996-02-14","https://i.scdn.co/image/ab67616d0000b273415a64151436828591a968f2","1","9","278360","","false","2","SELIA9601090","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T18:21:54Z"
"spotify:track:0DadsmmQtYh9q1uBeDWPRz","Guds spelemän","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","spotify:album:6B6OuHLGUMUhxXuXQqko97","Guds Spelemän","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","1996-02-14","https://i.scdn.co/image/ab67616d0000b273415a64151436828591a968f2","1","10","207280","","false","6","SELIA9601100","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T18:21:54Z"
