"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3uUCgL0cbSd0isnqhHCm1f","Off To The Races","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","spotify:album:5VoeRuTrGhTbKelUfwymwu","Born To Die - The Paradise Edition","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ebc8cfac8b586bc475b04918","1","2","299933","","false","68","GBUM71111530","spotify:user:geekyapar%21","2016-07-04T09:27:16Z"
"spotify:track:10H6mvk1cPPTzs3IHsHSHi","What The Water Gave Me","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:19J2iqK89BCrNG4El2FRi5","Ceremonials (Original Deluxe Version)","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2011-01-01","https://i.scdn.co/image/ab67616d0000b2736a8c1075f751a78e0b7799c7","1","3","333400","","false","56","GBUM71107703","spotify:user:geekyapar%21","2016-07-04T09:27:43Z"
"spotify:track:4KfSdst7rW39C0sfhArdrz","Barracuda","spotify:artist:34jw2BbxjoYalTp8cJFCPv","Heart","spotify:album:1LaeNhiUpL3X6N0LcFvuDF","Little Queen","spotify:artist:34jw2BbxjoYalTp8cJFCPv","Heart","1977-05-14","https://i.scdn.co/image/ab67616d0000b2739cef5b2e4c9104c678973f44","1","1","261933","https://p.scdn.co/mp3-preview/b742393cfac34ba605f319a4a8169ed2581bd18b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSM10009075","spotify:user:geekyapar%21","2016-07-04T09:28:48Z"
"spotify:track:7nrtHjt4Vk4Z5jMHOwaS8F","Hit Me With Your Best Shot - 1999 Digital Remaster","spotify:artist:43mhFhQ4JAknA7Ik1bOZuV","Pat Benatar","spotify:album:4CcLtOTSlV2389khMapisZ","Synchronistic Wanderings","spotify:artist:43mhFhQ4JAknA7Ik1bOZuV","Pat Benatar","1999-09-23","https://i.scdn.co/image/ab67616d0000b273a13112f40e90c961ed4db397","1","7","171293","","false","0","USCH39900012","spotify:user:geekyapar%21","2016-07-04T09:29:07Z"
"spotify:track:1oHClQEgDmmbcEx12Kc5nZ","4 Minutes (feat. Justin Timberlake & Timbaland)","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:43lok9zd7BW5CoYkXZs7S0","Celebration (double disc version)","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","2009-09-18","https://i.scdn.co/image/ab67616d0000b2731fc9fd5d701ee05cb39b7b19","1","4","189693","https://p.scdn.co/mp3-preview/57e975c1cc003797ed03390474ce9e345e20e031?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USWB10903601","spotify:user:geekyapar%21","2016-07-04T09:29:55Z"
"spotify:track:1SVq7TdJxpVDQ5ML5gAJr9","Slow","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","spotify:album:1BdQWouNev422Pnyrse62b","The Abbey Road Sessions","spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue","2012-10-24","https://i.scdn.co/image/ab67616d0000b27326734e941ac9f0ade71d6589","1","9","249866","https://p.scdn.co/mp3-preview/43fad965149816bb589b39462bbce6265bf952b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GBAYE1201996","spotify:user:geekyapar%21","2016-07-04T09:31:35Z"
"spotify:track:7suXfwkW9Cg9fBS3San5T5","Hero","spotify:artist:3z6Gk257P9jNcZbBXJNX5i","Regina Spektor","spotify:album:2n5AOB0lGse7qp38HvVROB","(500) Days of Summer (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-07-10","https://i.scdn.co/image/ab67616d0000b2738c2d226f555a702986a85bc0","1","11","209626","https://p.scdn.co/mp3-preview/84ddf3bff87443c9ed7cfdb999f0fc7d4ecad51a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USWB10902712","spotify:user:geekyapar%21","2016-07-04T09:32:37Z"
"spotify:track:6GJZaic4HSan2B2jgvI2L4","Free","spotify:artist:6G7OerKc3eBO9sVkRNopFC","Cat Power","spotify:album:38CsAH6IM7fKMN0XnZReR6","You Are Free","spotify:artist:6G7OerKc3eBO9sVkRNopFC","Cat Power","2003-02-17","https://i.scdn.co/image/ab67616d0000b273046945e6f2b2a19885ba55d3","1","2","213106","","false","0","USMTD0342702","spotify:user:geekyapar%21","2016-07-04T09:33:28Z"
"spotify:track:6LHatC0MrBDCtrvEFl8Atx","Why Don't We Do It In The Road","spotify:artist:1LOUhKsq65kzRCfV00GUcB","Dana Fuchs","spotify:album:18nf6cYVWv09j9DEUKv7qO","Across The Universe (Deluxe)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-01-01","https://i.scdn.co/image/ab67616d0000b27308ae25f5b3e1194667d3eeee","1","10","79960","","false","0","USBYQ0710010","spotify:user:geekyapar%21","2016-07-04T09:33:46Z"
"spotify:track:3L60Vu9qmY6fg2QroRIxgi","Cry Baby","spotify:artist:4NgfOZCL9Ml67xzM0xzIvC","Janis Joplin","spotify:album:3j7nicLAWXM0Fb08q9XGyf","Pearl (Legacy Edition)","spotify:artist:4NgfOZCL9Ml67xzM0xzIvC","Janis Joplin","1971-01-11","https://i.scdn.co/image/ab67616d0000b2736f8c26346723dd0531696bed","1","2","238600","https://p.scdn.co/mp3-preview/b65dc18183f071ddbec0d3458d9dd9715052a8bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM17000785","spotify:user:geekyapar%21","2016-07-04T09:35:19Z"
"spotify:track:1uXbwHHfgsXcUKfSZw5ZJ0","Run the World (Girls)","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:1gIC63gC3B7o7FfpPACZQJ","4","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2011-06-24","https://i.scdn.co/image/ab67616d0000b273ff5429125128b43572dbdccd","1","11","236093","https://p.scdn.co/mp3-preview/0bc39c5717f270c4545710f17c7e9ee16062e5eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSM11102447","spotify:user:geekyapar%21","2016-07-04T09:36:12Z"
"spotify:track:2CZX6RHW9EYFhhTANVsF5A","Chandelier - Live from The Village","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","spotify:album:2fBKreCrztEPXW5bUIgBTf","Spotify Sessions","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","2016-04-13","https://i.scdn.co/image/ab67616d0000b273858d8767593fd2db82a0def8","1","5","237333","https://p.scdn.co/mp3-preview/a4f5622438a497bbf69ea1cf36a1d6fb0fc9ce5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USRC11600687","spotify:user:geekyapar%21","2016-07-04T09:37:37Z"
"spotify:track:4tp6vyJpXa0Vr73IYerX28","Joga","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:6HLUZogZcItLXDTnIEmUZv","Homogenic","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1997-09-23","https://i.scdn.co/image/ab67616d0000b273810504531e8dc5d8ae3d4784","1","2","305360","","false","0","GBALW9700072","spotify:user:geekyapar%21","2016-07-04T09:38:04Z"
"spotify:track:3RgUHkUsHLpRKI0c2aYWsM","Machine Gun","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3qe2TfKf4vBmznJH8r1UiE","Machine Gun","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","2008-01-01","https://i.scdn.co/image/ab67616d0000b27328f9f23bb65613d43ded8be6","1","1","286440","","false","0","GBUM70801442","spotify:user:geekyapar%21","2016-07-04T09:38:58Z"
"spotify:track:6FgI1H812qqHXwcUKW73Pk","The Glorious Land","spotify:artist:12VaqyEhgwDRuFfEqbnrpz","PJ Harvey","spotify:album:7f1aXd7Gd5H9IqFu36zw6m","Let England Shake","spotify:artist:12VaqyEhgwDRuFfEqbnrpz","PJ Harvey","2011-01-01","https://i.scdn.co/image/ab67616d0000b273878002d3f4e35d9dd383ae4c","1","3","214693","","false","0","GBUM71027782","spotify:user:geekyapar%21","2016-07-04T09:39:56Z"
"spotify:track:1N4WioydnI37dzsZgb5SXw","Strange Little Girl","spotify:artist:1KsASRNugxU85T0u6zSg32","Tori Amos","spotify:album:6VVyHpknRsMb0tU6VmTL9S","Strange Little Girls","spotify:artist:1KsASRNugxU85T0u6zSg32","Tori Amos","2001-09-17","https://i.scdn.co/image/ab67616d0000b2737ec772c8102fddc69d64a521","1","3","229093","https://p.scdn.co/mp3-preview/dba15e94d2a0c3def9b497f097e69836d38f1282?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USAT20105488","spotify:user:geekyapar%21","2016-07-04T09:41:00Z"
"spotify:track:6ZQgooEk8PvsLxedYaT6Oa","Across the Universe","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","spotify:album:3QofKE2yZcsjKOUw6fyyn3","Pleasantville -Music From The Motion Picture","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1998-10-13","https://i.scdn.co/image/ab67616d0000b273ad1c9ca438b5579fb2f9f3f4","1","1","307333","https://p.scdn.co/mp3-preview/a91a9ba92294e71de9c926ccf4219e40758224f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USSM19803669","spotify:user:geekyapar%21","2016-07-04T09:41:44Z"
"spotify:track:44YjcdgPU7zeooJmA5Qs3i","You Oughta Know - 2015 Remaster","spotify:artist:6ogn9necmbUdCppmNnGOdi","Alanis Morissette","spotify:album:0VrE5rgQmrasa6Kg7GKqKE","Jagged Little Pill (Collector's Edition)","spotify:artist:6ogn9necmbUdCppmNnGOdi","Alanis Morissette","2015-10-30","https://i.scdn.co/image/ab67616d0000b273572eeb58e8ee977b3658b67f","1","2","249493","https://p.scdn.co/mp3-preview/4a21163f1a57a63106d1cfaa3802cfeda8c85cc4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","USMV21500002","spotify:user:geekyapar%21","2016-07-04T09:41:56Z"
"spotify:track:5AoTuHE5P5bvC7BBppYnja","Respect - 2003 Remaster","spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok","Aretha Franklin","spotify:album:1LBWNRMsbEWb17KmDD4jfD","Atlantic 60th: Soul, Sweat And Strut","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-10-30","https://i.scdn.co/image/ab67616d0000b2732c584610c45a37bb87e8a5be","1","9","142186","https://p.scdn.co/mp3-preview/be91ee67da377adadb955be35662cca4e298635b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USAT20302295","spotify:user:geekyapar%21","2016-07-04T09:42:27Z"
"spotify:track:2g15JlNy26Z1TvvhpGpMdY","Crazy Love","spotify:artist:7mlge4peaoNgzTsY6M32RB","Marianne Faithfull","spotify:album:4Mv6dBBaXnF68N49PxPTyw","Before the Poison","spotify:artist:7mlge4peaoNgzTsY6M32RB","Marianne Faithfull","2005-01-25","https://i.scdn.co/image/ab67616d0000b273c38474efce5d1253dc418d11","1","3","244760","","false","0","FR47Q0300810","spotify:user:geekyapar%21","2016-07-04T09:44:58Z"
"spotify:track:3CCDNNt89mosrAkSseS2GQ","Aint No Mountain High Enough","spotify:artist:3MdG05syQeRYPPcClLaUGl","Diana Ross","spotify:album:6syCFYImxKPSf6G8Oh3bIq","Love and Life: The Very Best of Diana Ross","spotify:artist:3MdG05syQeRYPPcClLaUGl","Diana Ross","2001-10-24","https://i.scdn.co/image/ab67616d0000b2735f0bc960ca8e96879f16dd38","1","2","209666","","false","0","USMO17000349","spotify:user:geekyapar%21","2016-07-04T09:46:09Z"
"spotify:track:2M55R2A9IAhLdsCGFj8r8k","I'm Every Woman","spotify:artist:6mQfAAqZGBzIfrmlZCeaYT","Chaka Khan","spotify:album:3qeheeurjW0lNtf9d7hJLe","Epiphany: The Best of Chaka Khan, Vol. 1","spotify:artist:6mQfAAqZGBzIfrmlZCeaYT","Chaka Khan","1996-11-08","https://i.scdn.co/image/ab67616d0000b2734c5fac07f80bad278dfbad1e","1","6","249600","https://p.scdn.co/mp3-preview/6182aaff4fbd7b77e8861c82de0d7b4ff8370c7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USWB17800019","spotify:user:geekyapar%21","2016-07-04T09:46:31Z"
"spotify:track:4eHbdreAnSOrDDsFfc4Fpm","I Will Always Love You","spotify:artist:6XpaIBNiVzIetEPCWDvAFP","Whitney Houston","spotify:album:7JVJlkNNobS0GSoy4tCS96","The Bodyguard - Original Soundtrack Album","spotify:artist:6XpaIBNiVzIetEPCWDvAFP","Whitney Houston","1992-11-17","https://i.scdn.co/image/ab67616d0000b273456c0b5d0316a80dc600802e","1","1","271093","https://p.scdn.co/mp3-preview/db431eff82899d9af76c9156d66d29aa951c21d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USAR19200110","spotify:user:geekyapar%21","2016-07-04T09:47:03Z"
"spotify:track:4kOfxxnW1ukZdsNbCKY9br","What's Love Got to Do with It","spotify:artist:1zuJe6b1roixEKMOtyrEak","Tina Turner","spotify:album:5HmYiJnUkFuciiqRrAAv4o","What's Love Got to Do with It?","spotify:artist:1zuJe6b1roixEKMOtyrEak","Tina Turner","1993","https://i.scdn.co/image/ab67616d0000b273e9c361da971c6e81b51ef06b","1","12","226880","https://p.scdn.co/mp3-preview/765249201f9cb6cd6d5251c83929d56805821194?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USCA28400002","spotify:user:geekyapar%21","2016-07-04T09:47:45Z"
