"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7lQOV6tZQh5fXBNWMZ45qU","Hush the Storms Away","spotify:artist:2g1JSu9UfRcQQYb3b03Km7, spotify:artist:1gex5Q4EtI0rByvzZHmUrO","Varien, STRIX","spotify:album:4E89VVWMWYmlNliXUj73Gx","Hush the Storms Away","spotify:artist:2g1JSu9UfRcQQYb3b03Km7","Varien","2019-05-15","https://i.scdn.co/image/ab67616d0000b2733f32c0d88fdea8c40811e7aa","1","1","231529","https://p.scdn.co/mp3-preview/13d5bf94c46f916d6e9548929fbba5917be6e475?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QZ5FN1991170","spotify:user:11100324499","2021-07-23T21:12:35Z"
"spotify:track:5VKEsChbUowEF2BT0gJSGX","Tech Noir","spotify:artist:3PALZKWkpwjRvBsRmhlVSS, spotify:artist:0hxQtmgWiPtEsDPeIuKxXq, spotify:artist:3CGzpCMqpqHnafmn2PFQd9","Gunship, John Carpenter, Charlie Simpson","spotify:album:03Rl4TjvJVdR2nBUupV7Wf","GUNSHIP","spotify:artist:3PALZKWkpwjRvBsRmhlVSS","Gunship","2015-07-24","https://i.scdn.co/image/ab67616d0000b273ff61b32d8807c35e7dd09aa7","1","3","297432","https://p.scdn.co/mp3-preview/31caae20c7407222becf47703448f4476220d6ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USQY51564352","spotify:user:11100324499","2021-07-23T21:15:13Z"
"spotify:track:6X7aCvlqA4qvo8PQ1CZwuY","04:42 Still Free","spotify:artist:2o3U0ld93tHYowkoari4Vi","Danger","spotify:album:3ptGlOgrEHIcfqFCmP8DpZ","Haven (Original Game Soundtrack)","spotify:artist:2o3U0ld93tHYowkoari4Vi","Danger","2020-12-03","https://i.scdn.co/image/ab67616d0000b2736fa7e0c863b41833558d4120","1","1","191176","https://p.scdn.co/mp3-preview/8ac5fb9c94df557568653f624fbb288652815b03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","TCAEW2029899","spotify:user:11100324499","2021-07-23T21:17:52Z"
"spotify:track:7llvGJqkVnhUYfhLs7BTpq","Endless Fantasy","spotify:artist:2UwJRAgSOi1zcLkvUNc8XL","Anamanaguchi","spotify:album:2rOLe7xYEWYyZLTlgxBiNK","Endless Fantasy","spotify:artist:2UwJRAgSOi1zcLkvUNc8XL","Anamanaguchi","2013-05-14","https://i.scdn.co/image/ab67616d0000b27313f450149d7ffbeadbf51a4b","1","1","357784","","false","0","USA2B1301822","spotify:user:11100324499","2021-07-23T21:19:27Z"
"spotify:track:4sZ3hUbwzxGo2ERNoekmzI","Interspace","spotify:artist:3I0ceM8qfqhCKGepaswmVg","Starcadian","spotify:album:72fxvL27SI7AYnbGAn6Iss","Interspace","spotify:artist:3I0ceM8qfqhCKGepaswmVg","Starcadian","2017-08-25","https://i.scdn.co/image/ab67616d0000b273b2885a424c4005b809e3b41a","1","1","323684","https://p.scdn.co/mp3-preview/21a1f8724cfadd61af7e2ed41f7526de5bed44a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","TCADF1724773","spotify:user:11100324499","2021-07-23T21:20:42Z"
"spotify:track:5rAsoal3xkfsktpAcrBgC7","Human Love","spotify:artist:291Vz2qC5SVLJSKA5mrYij, spotify:artist:2wlgevsozy2f7V8z9Au6bk","Nightstop, Kaster The Disaster","spotify:album:6ArO8OSYgqbs5irEBqhLsb","Human Love","spotify:artist:291Vz2qC5SVLJSKA5mrYij, spotify:artist:2wlgevsozy2f7V8z9Au6bk","Nightstop, Kaster The Disaster","2019-03-29","https://i.scdn.co/image/ab67616d0000b273993aec9e9f23a8d901a3e752","1","1","296040","https://p.scdn.co/mp3-preview/1dc32205cc033088fb853e22c34f3209062df6e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBSMU6147263","spotify:user:11100324499","2021-07-23T21:21:08Z"
"spotify:track:1XvB0XeBFugQBFoO8I1Fx8","Matter","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:5MwhzX0gPxAxX0NbcuD2QQ","Moderns","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2017-04-07","https://i.scdn.co/image/ab67616d0000b273738ff6e9bd1ef9ca53041c50","1","4","227484","","false","0","US43C1604060","spotify:user:11100324499","2021-07-23T21:21:15Z"
"spotify:track:2qic8TGqeaZSZYDSj9BLZN","Order","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:5MwhzX0gPxAxX0NbcuD2QQ","Moderns","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2017-04-07","https://i.scdn.co/image/ab67616d0000b273738ff6e9bd1ef9ca53041c50","1","5","231854","","false","0","US43C1604062","spotify:user:11100324499","2021-07-23T21:22:22Z"
"spotify:track:0udcFKe9fxOGg3gIZjOFIG","Unison","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:5MwhzX0gPxAxX0NbcuD2QQ","Moderns","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2017-04-07","https://i.scdn.co/image/ab67616d0000b273738ff6e9bd1ef9ca53041c50","1","3","226612","","false","0","US43C1604069","spotify:user:11100324499","2021-07-23T21:22:52Z"
"spotify:track:3LzNyPYAZLkYaZAdYs7mu2","Jarre","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:5MwhzX0gPxAxX0NbcuD2QQ","Moderns","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2017-04-07","https://i.scdn.co/image/ab67616d0000b273738ff6e9bd1ef9ca53041c50","1","1","227318","","false","0","US43C1604058","spotify:user:11100324499","2021-07-23T21:23:27Z"
