"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0KOMTE9yibaMB9nCiDYI7t","Outer","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:3V7dE1inQRFzhA7PiMY33D","Halfaxa","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2010-10-05","https://i.scdn.co/image/ab67616d0000b2730e8f06956060e451d3f28ff1","1","1","71277","https://p.scdn.co/mp3-preview/aec37160bb00e881c51479e645a41e9c3e680d43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","CA21O1000064","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-08T05:18:26Z"
"spotify:track:6JIBdV52x5W814hgCwjtG9","Intro / Flowers","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:3V7dE1inQRFzhA7PiMY33D","Halfaxa","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2010-10-05","https://i.scdn.co/image/ab67616d0000b2730e8f06956060e451d3f28ff1","1","2","169725","https://p.scdn.co/mp3-preview/3056426dbc9888e6bc427f0d8004eb6364975807?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","CA21O1000065","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-08T05:18:26Z"
"spotify:track:4ScxRy0t1i5VZDzmBGoYea","Weregild","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:3V7dE1inQRFzhA7PiMY33D","Halfaxa","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2010-10-05","https://i.scdn.co/image/ab67616d0000b2730e8f06956060e451d3f28ff1","1","3","313685","https://p.scdn.co/mp3-preview/1f74395f418fa4e2377658090904b4709d4e9db5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","CA21O1000066","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-08T05:18:26Z"
"spotify:track:1QRNhuad47Ew2aKG0sFRmG","Sagrad Прекрасный","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:3V7dE1inQRFzhA7PiMY33D","Halfaxa","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2010-10-05","https://i.scdn.co/image/ab67616d0000b2730e8f06956060e451d3f28ff1","1","4","310998","https://p.scdn.co/mp3-preview/93eecacd61b6191e11fb35b4562aca6c95f31cea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","CA21O1000068","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-08T05:18:26Z"
"spotify:track:0qohrhRPAbTanWMMxJLG6e","Dragvandil","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:3V7dE1inQRFzhA7PiMY33D","Halfaxa","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2010-10-05","https://i.scdn.co/image/ab67616d0000b2730e8f06956060e451d3f28ff1","1","5","98785","https://p.scdn.co/mp3-preview/27f8a082998a461041b10588cfce397739ea6d60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","CA21O1000069","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-08T05:18:26Z"
"spotify:track:5AJkfdLjAFEKgJFDA5jYo2","Devon","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:3V7dE1inQRFzhA7PiMY33D","Halfaxa","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2010-10-05","https://i.scdn.co/image/ab67616d0000b2730e8f06956060e451d3f28ff1","1","6","270138","https://p.scdn.co/mp3-preview/6b7ba66bc1f62303f4837c6ecf839cf926291472?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","CA21O1000070","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-08T05:18:26Z"
"spotify:track:5S7o1CmpcxeLCdG4Ddg00K","Dream Fortress","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:3V7dE1inQRFzhA7PiMY33D","Halfaxa","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2010-10-05","https://i.scdn.co/image/ab67616d0000b2730e8f06956060e451d3f28ff1","1","7","300064","https://p.scdn.co/mp3-preview/eb5f25930122d7b23d88630891869ae426c36faa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","CA21O1000071","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-08T05:18:26Z"
"spotify:track:7x9ShJN1xTvdqFpscZeiEj","World ♡ Princess","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:3V7dE1inQRFzhA7PiMY33D","Halfaxa","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2010-10-05","https://i.scdn.co/image/ab67616d0000b2730e8f06956060e451d3f28ff1","1","8","280072","https://p.scdn.co/mp3-preview/2efab1991fc6e4972df7fca29ec3bbd1e3aad0f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","CA21O1000072","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-08T05:18:26Z"
"spotify:track:76vfXjI023YdSdoQMMopuQ","† River †","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:3V7dE1inQRFzhA7PiMY33D","Halfaxa","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2010-10-05","https://i.scdn.co/image/ab67616d0000b2730e8f06956060e451d3f28ff1","1","9","116703","https://p.scdn.co/mp3-preview/2679fbd1c6a988ea2e4ab92ed39dd744886e5845?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","CA21O1000073","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-08T05:18:26Z"
"spotify:track:4hVxYXBVbTEUPfzJfcTSrD","Swan Song","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:3V7dE1inQRFzhA7PiMY33D","Halfaxa","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2010-10-05","https://i.scdn.co/image/ab67616d0000b2730e8f06956060e451d3f28ff1","1","10","184959","https://p.scdn.co/mp3-preview/391abbdd6f129bd5a265cad969080cd2f279daea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","CA21O1000074","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-08T05:18:26Z"
