"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5IFFNFylEfKq5FvOuZUTBa","Unknown Legend","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","spotify:album:0tdm853TNWjVVChbJRbu3Q","Harvest Moon","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","1992-11-02","https://i.scdn.co/image/ab67616d0000b273e7171a8d9c8bf1d8fb661e80","1","1","272480","","false","0","USRE19900691","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-27T00:10:28Z"
"spotify:track:2ymsEqiCJkQQsQRt66urxL","From Hank to Hendrix","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","spotify:album:0tdm853TNWjVVChbJRbu3Q","Harvest Moon","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","1992-11-02","https://i.scdn.co/image/ab67616d0000b273e7171a8d9c8bf1d8fb661e80","1","2","317200","","false","0","USRE19900692","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-27T00:10:28Z"
"spotify:track:6z6WdQ6ODxd2WZdjXfHJ4B","You and Me","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","spotify:album:0tdm853TNWjVVChbJRbu3Q","Harvest Moon","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","1992-11-02","https://i.scdn.co/image/ab67616d0000b273e7171a8d9c8bf1d8fb661e80","1","3","225333","","false","0","USRE19900693","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-27T00:10:28Z"
"spotify:track:5l9c6bJmzvftumhz4TMPgk","Harvest Moon","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","spotify:album:0tdm853TNWjVVChbJRbu3Q","Harvest Moon","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","1992-11-02","https://i.scdn.co/image/ab67616d0000b273e7171a8d9c8bf1d8fb661e80","1","4","303213","","false","2","USRE19900694","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-27T00:10:28Z"
"spotify:track:24bkMDDMZfCL6gbSOlpSzE","War of Man","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","spotify:album:0tdm853TNWjVVChbJRbu3Q","Harvest Moon","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","1992-11-02","https://i.scdn.co/image/ab67616d0000b273e7171a8d9c8bf1d8fb661e80","1","5","343893","","false","0","USRE19900695","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-27T00:10:28Z"
"spotify:track:0EAJ0xn42jBzzD9BRJA0I8","One of These Days","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","spotify:album:0tdm853TNWjVVChbJRbu3Q","Harvest Moon","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","1992-11-02","https://i.scdn.co/image/ab67616d0000b273e7171a8d9c8bf1d8fb661e80","1","6","297840","","false","0","USRE19900696","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-27T00:10:28Z"
"spotify:track:6ta5JjiUCOQxCBIlBJ9gmg","Such a Woman","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","spotify:album:0tdm853TNWjVVChbJRbu3Q","Harvest Moon","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","1992-11-02","https://i.scdn.co/image/ab67616d0000b273e7171a8d9c8bf1d8fb661e80","1","7","277733","","false","0","USRE19900697","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-27T00:10:28Z"
"spotify:track:5qjPzS2AyTMGRKLH9Iv6Pk","Old King","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","spotify:album:0tdm853TNWjVVChbJRbu3Q","Harvest Moon","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","1992-11-02","https://i.scdn.co/image/ab67616d0000b273e7171a8d9c8bf1d8fb661e80","1","8","177000","","false","0","USRE19900698","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-27T00:10:28Z"
"spotify:track:3lQVHa3aOBXjFvbrKHvAaq","Dreamin' Man","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","spotify:album:0tdm853TNWjVVChbJRbu3Q","Harvest Moon","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","1992-11-02","https://i.scdn.co/image/ab67616d0000b273e7171a8d9c8bf1d8fb661e80","1","9","276826","","false","0","USRE19900699","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-27T00:10:28Z"
"spotify:track:3YAjmfGS33Z0cLwwBTpoYb","Natural Beauty","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","spotify:album:0tdm853TNWjVVChbJRbu3Q","Harvest Moon","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","1992-11-02","https://i.scdn.co/image/ab67616d0000b273e7171a8d9c8bf1d8fb661e80","1","10","623266","","false","0","USRE19900700","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-27T00:10:28Z"
