"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2CaoAtgLUm2BarIiZrQslN","You're Not Here","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","spotify:album:7mUy29OoRRIqmm3XsBrdoV","SILENT HILL3 (Original Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2003-07-16","https://i.scdn.co/image/ab67616d0000b273832b77dc1cfccecad346457f","1","2","225960","https://p.scdn.co/mp3-preview/8ccc0f60f0d52578e0c321996ecee7af4e381982?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","JPM200300034","spotify:user:11100324499","2021-09-22T18:08:07Z"
"spotify:track:4QypeoOhqq5le5C44Jwnc9","End of Small Sanctuary","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","spotify:album:7mUy29OoRRIqmm3XsBrdoV","SILENT HILL3 (Original Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2003-07-16","https://i.scdn.co/image/ab67616d0000b273832b77dc1cfccecad346457f","1","4","102506","https://p.scdn.co/mp3-preview/2ef84f2e5197b2dcc2fb5994778154bff7d79e95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","JPM200300036","spotify:user:11100324499","2021-09-22T18:08:28Z"
"spotify:track:2oo5LldxWpPJH08CQvaFOm","I Want Love (Studio Mix)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","spotify:album:7mUy29OoRRIqmm3XsBrdoV","SILENT HILL3 (Original Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2003-07-16","https://i.scdn.co/image/ab67616d0000b273832b77dc1cfccecad346457f","1","25","280160","https://p.scdn.co/mp3-preview/2090f8a128cc3042792f05963322b874b9de9911?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","JPM200300057","spotify:user:11100324499","2021-09-22T18:08:41Z"
"spotify:track:1gWL1q8vipVkWgwPWDsbWL","Theme of Laura","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","spotify:album:5XjZ6xhbPbALPVGd5Zx0Cw","SILENT HILL2 (Original Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2001-10-03","https://i.scdn.co/image/ab67616d0000b27330f7a8628bd1b67c0ee5c817","1","1","204333","https://p.scdn.co/mp3-preview/a791f7ff013dc0f35e2ba5ebb2f1863963b0efca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","JPKI00150420","spotify:user:11100324499","2021-09-22T18:08:46Z"
"spotify:track:5WYvSzllUW7OvlGmqnL1gM","Heaven's Night","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","spotify:album:5XjZ6xhbPbALPVGd5Zx0Cw","SILENT HILL2 (Original Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2001-10-03","https://i.scdn.co/image/ab67616d0000b27330f7a8628bd1b67c0ee5c817","1","9","124693","https://p.scdn.co/mp3-preview/a8f1b09e22a5fe3ede5c5290720b7a00df38ee18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","JPKI00150500","spotify:user:11100324499","2021-09-22T18:08:57Z"
"spotify:track:3pc3in3zwTN5ojA7CxzBJZ","Love Psalm","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","spotify:album:5XjZ6xhbPbALPVGd5Zx0Cw","SILENT HILL2 (Original Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2001-10-03","https://i.scdn.co/image/ab67616d0000b27330f7a8628bd1b67c0ee5c817","1","18","266533","https://p.scdn.co/mp3-preview/8d7b90bd361376a1beadb6fff8b08ee177825ccc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","JPKI00150590","spotify:user:11100324499","2021-09-22T18:09:06Z"
"spotify:track:2cjVgSrTNTRPXJENSQFHDi","Room Of Angel","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","spotify:album:1WXlLnSpVnaFWQj0VdRgYT","SILENT HILL4 -THE ROOM- (Original Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2004-06-17","https://i.scdn.co/image/ab67616d0000b273adfec9dc7988eb699cfb1590","1","21","428893","https://p.scdn.co/mp3-preview/9b05a37db48cda4b53b9522f14adf97d4989a354?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","JPM200400270","spotify:user:11100324499","2021-09-22T18:09:27Z"
"spotify:track:19V8bloM7aZCyhUGbkdnru","Tender Sugar","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","spotify:album:1WXlLnSpVnaFWQj0VdRgYT","SILENT HILL4 -THE ROOM- (Original Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2004-06-17","https://i.scdn.co/image/ab67616d0000b273adfec9dc7988eb699cfb1590","1","1","332600","https://p.scdn.co/mp3-preview/3babd8f4647b881f8de18a464376f6d6671bb91f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","JPM200400250","spotify:user:11100324499","2021-09-22T18:09:38Z"
"spotify:track:3oI0v4kZZQPqsLavnfVttO","Alex Theme - Machine Head Mix","spotify:artist:6QkgjazSEZ5trhl9wxYERp, spotify:artist:0lVlNsuGaOr9vMHCZIAKMt","Mary Elizabeth McGlynn, Machine Head","spotify:album:58BqAJ9h1SWRWtAHEn0urP","Silent Hill - Homecoming (Konami Original Game Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2008-01-01","https://i.scdn.co/image/ab67616d0000b2738405e9c03d5bb94696e55fac","1","21","300068","","false","0","US5940903324","spotify:user:11100324499","2021-09-22T18:09:42Z"
"spotify:track:6nyEo8xc3yInahK4dxS8QP","One More Soul to the Call","spotify:artist:6QkgjazSEZ5trhl9wxYERp","Mary Elizabeth McGlynn","spotify:album:58BqAJ9h1SWRWtAHEn0urP","Silent Hill - Homecoming (Konami Original Game Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2008-01-01","https://i.scdn.co/image/ab67616d0000b2738405e9c03d5bb94696e55fac","1","1","365479","","false","0","US5940903304","spotify:user:11100324499","2021-09-22T18:09:50Z"
"spotify:track:5XKMBzWzALaSS9UtPMd5ir","Hell Frozen Rain","spotify:artist:6QkgjazSEZ5trhl9wxYERp","Mary Elizabeth McGlynn","spotify:album:0WXW6ojtC88hWiiI4xUMiS","Silent Hill - Shattered Memories (Konami Original Game Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2009-01-01","https://i.scdn.co/image/ab67616d0000b27313e04e184973a57a66115390","1","20","340662","","false","0","US5940903345","spotify:user:11100324499","2021-09-22T18:09:53Z"
"spotify:track:0dX7idX80Cc1967CDTySBs","Acceptance","spotify:artist:6QkgjazSEZ5trhl9wxYERp","Mary Elizabeth McGlynn","spotify:album:0WXW6ojtC88hWiiI4xUMiS","Silent Hill - Shattered Memories (Konami Original Game Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2009-01-01","https://i.scdn.co/image/ab67616d0000b27313e04e184973a57a66115390","1","19","245551","","false","0","US5940903344","spotify:user:11100324499","2021-09-22T18:09:56Z"
"spotify:track:4dTXuXfI4u91uIB3QZYqfv","When You’re Gone","spotify:artist:6QkgjazSEZ5trhl9wxYERp","Mary Elizabeth McGlynn","spotify:album:0WXW6ojtC88hWiiI4xUMiS","Silent Hill - Shattered Memories (Konami Original Game Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2009-01-01","https://i.scdn.co/image/ab67616d0000b27313e04e184973a57a66115390","1","1","192522","","false","0","US5940903325","spotify:user:11100324499","2021-09-22T18:09:59Z"
