"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:37pKTyMwalomKCZjxTc2QZ","Cherry-coloured Funk","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:5lEphbceIgaK1XxWeSrC9E","Heaven or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b2735d2fdd1564ccab97e60c656f","1","1","192466","https://p.scdn.co/mp3-preview/46a28e2988f0ea7b6317fe2d2eacaf09519a7f86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAFL9000062","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:50Z"
"spotify:track:1DXD0wVXXHwUYo9AXbcMMI","Pitch the Baby","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:5lEphbceIgaK1XxWeSrC9E","Heaven or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b2735d2fdd1564ccab97e60c656f","1","2","194080","https://p.scdn.co/mp3-preview/79abfdba34c7d9cf85ed944b094d4af92b80151f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBAFL9000063","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:50Z"
"spotify:track:0Coai3QxvjCXWMhVN1hpgE","Iceblink Luck","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:5lEphbceIgaK1XxWeSrC9E","Heaven or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b2735d2fdd1564ccab97e60c656f","1","3","198666","https://p.scdn.co/mp3-preview/a44756334e58841daef69a87dbf6a07e26f9ed5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAFL9000038","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:50Z"
"spotify:track:2vDC9iyQpY3EsioJD8pRiW","Fifty-fifty Clown","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:5lEphbceIgaK1XxWeSrC9E","Heaven or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b2735d2fdd1564ccab97e60c656f","1","4","190213","https://p.scdn.co/mp3-preview/f680732d74295768ffa2b49c2a868ff16c91c074?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBAFL9000037","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:50Z"
"spotify:track:0AxZUYeQ9bZwSdt1LmZuok","Heaven or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:5lEphbceIgaK1XxWeSrC9E","Heaven or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b2735d2fdd1564ccab97e60c656f","1","5","298400","https://p.scdn.co/mp3-preview/697398e5bc187f498347021f875a66a40e44307f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAFL9000039","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:50Z"
"spotify:track:20nCwr4GiOZ02PVePsuLEd","I Wear Your Ring","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:5lEphbceIgaK1XxWeSrC9E","Heaven or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b2735d2fdd1564ccab97e60c656f","1","6","209346","https://p.scdn.co/mp3-preview/e3d2cb68aa457f62032060baa854a820054b1755?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBAFL9000064","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:50Z"
"spotify:track:5SuIuaAjFbaxJq9W1qKGw2","Fotzepolitic","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:5lEphbceIgaK1XxWeSrC9E","Heaven or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b2735d2fdd1564ccab97e60c656f","1","7","210933","https://p.scdn.co/mp3-preview/d21c913faa76db034901a4c363cbb593e335d60f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBAFL9000065","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:50Z"
"spotify:track:5Cg9aQIEM2exLNBPupf6V4","Wolf in the Breast","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:5lEphbceIgaK1XxWeSrC9E","Heaven or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b2735d2fdd1564ccab97e60c656f","1","8","211200","https://p.scdn.co/mp3-preview/f34a76727f9d6260b19938157de6cc28b37dda49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBAFL9000066","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:50Z"
"spotify:track:6MJ8YgmhMphGcCX5OVS28W","Road, River and Rail","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:5lEphbceIgaK1XxWeSrC9E","Heaven or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b2735d2fdd1564ccab97e60c656f","1","9","201146","https://p.scdn.co/mp3-preview/8156d47099fa629e0c5f2a54c0d2865ff59d0c40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBAFL9000067","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:50Z"
"spotify:track:6i18oi8cbvlv9Y2QVBSzkB","Frou-frou Foxes in Midsummer Fires","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:5lEphbceIgaK1XxWeSrC9E","Heaven or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b2735d2fdd1564ccab97e60c656f","1","10","338053","https://p.scdn.co/mp3-preview/ea9d849766f698fae323f1d4f6240a8c8d95a6eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAFL9000068","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:22:50Z"
