"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1SW7MKPtLC3FQGrNkWG8KK","Gamechanger","spotify:artist:7KxS1dL7Q7jxMkyb2ZvzXH","Fury Weekend","spotify:album:1VpIMzG7IAhKc0Q1POoyPu","Gamechanger","spotify:artist:7KxS1dL7Q7jxMkyb2ZvzXH","Fury Weekend","2018-12-10","https://i.scdn.co/image/ab67616d0000b2735e304569863fdfdf36dbf8ec","1","1","257142","","false","0","QM5LC1800403","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2019-03-11T08:28:42Z"
"spotify:track:20ztml2STRF7Sq1UaBB6ox","Future Club","spotify:artist:244uLu9lkdw39BJwlul3k8","Perturbator","spotify:album:0GzBfwarPFhAdfLNHfgaRT","Dangerous Days","spotify:artist:244uLu9lkdw39BJwlul3k8","Perturbator","2014-06-17","https://i.scdn.co/image/ab67616d0000b2737be0bdb1f8731f9af3e95812","1","4","289186","https://p.scdn.co/mp3-preview/bdfc582078ddaa04f959ed11edf8eefeb05d1599?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","TCABW1462862","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2019-03-12T06:38:10Z"
"spotify:track:3qgGNNDDOPWCkwXQ0BmsWf","Dark Prince (Final Cut)","spotify:artist:73S1zHIBGAuJyjdDIEELqw","Atrey","spotify:album:7F5QqidQ5gDSIWBIY8Khy4","Dark Prince","spotify:artist:73S1zHIBGAuJyjdDIEELqw","Atrey","2015-10-31","https://i.scdn.co/image/ab67616d0000b273927e4da17de63fc59b68042d","1","4","584143","https://p.scdn.co/mp3-preview/414bb6b8489e2a4f7973422eeab71f19bf901cc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","CH6451503804","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2019-03-12T06:38:40Z"
"spotify:track:0nsXChOHmBEH7QOul9VVBT","Nightdrive","spotify:artist:4sHCqGPH8ssoMeOeKrRZ38","VHS Dreams","spotify:album:5tfWfqfwG08F4LbLb2qKFq","Trans AM","spotify:artist:4sHCqGPH8ssoMeOeKrRZ38","VHS Dreams","2015-08-17","https://i.scdn.co/image/ab67616d0000b273a1b46dd6bdba640ce39fc747","1","8","248202","","false","0","QM4DW1581712","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2019-03-13T10:05:08Z"
"spotify:track:4IqLCkdTQUl4tYb389pcSy","Neon Artery","spotify:artist:3HQQQ1jAB2mloT1MSU4evQ","Sung","spotify:album:6qdR0CWf5mNEkO7jqgInQP","Overizer EP","spotify:artist:3HQQQ1jAB2mloT1MSU4evQ","Sung","2014-12-09","https://i.scdn.co/image/ab67616d0000b2738ce06748698dc16ae6b69aff","1","1","212307","https://p.scdn.co/mp3-preview/5d97ed40e3e637d154c2b35ddcb6d1bfd4fcea43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","usx9p1454651","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2019-03-13T10:07:03Z"
"spotify:track:7kbLgu3ZU8wdigWyxtqOAB","Converter","spotify:artist:1WxMvNsfdsGftDZ4oO21L8","Mega Drive","spotify:album:1ElCD6TWjAh7XWXaOCc4o6","Mega Drive","spotify:artist:1WxMvNsfdsGftDZ4oO21L8","Mega Drive","2013-11-18","https://i.scdn.co/image/ab67616d0000b2733d81ce070e841b4a4f3d327b","1","2","402884","https://p.scdn.co/mp3-preview/3ac99eb7c2211dad6448b45fc49102b87151174e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","TCABS1309494","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2019-03-16T13:25:17Z"
"spotify:track:3U8AYySXobEs4U633z0qCB","Days of the Running Man","spotify:artist:0HPVHsbV2yIYPp2Pk4kdHe","Droid Bishop","spotify:album:0xpjuZsIdLojpRsrIHL6GC","Days of the Running Man","spotify:artist:0HPVHsbV2yIYPp2Pk4kdHe","Droid Bishop","2018-01-19","https://i.scdn.co/image/ab67616d0000b2739ad96887411c2b0fa6a19cfa","1","1","341995","https://p.scdn.co/mp3-preview/9c0dcfb9c53e10eea003542405470a74358710f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QZAPG1868227","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2019-03-16T13:31:38Z"
"spotify:track:2ywk9oDKsNUZ7YXxed4AnA","Disobey","spotify:artist:0OTY72l7CC7ynKzp6N2o5b","Daniel Deluxe","spotify:album:6thZ5crAR7sABcxy4FOzxh","Desync (Original Soundtrack, Vol. 1)","spotify:artist:0OTY72l7CC7ynKzp6N2o5b","Daniel Deluxe","2017-02-28","https://i.scdn.co/image/ab67616d0000b273a514cc35ec9694ad73bd73b3","1","2","169658","https://p.scdn.co/mp3-preview/1a1d06db9dd2c51535ad9d653192ce1369feedd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","QM4DW1708728","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2019-03-19T10:41:45Z"
"spotify:track:1jpXEDGrXDUFopq4lipMuO","Zodiac","spotify:artist:3HQQQ1jAB2mloT1MSU4evQ","Sung","spotify:album:2T1zxR42PZG6wfqioRUXFU","Auto Ran - EP","spotify:artist:3HQQQ1jAB2mloT1MSU4evQ","Sung","2016-10-06","https://i.scdn.co/image/ab67616d0000b2733157873b40a481e834cb55d6","1","2","283464","https://p.scdn.co/mp3-preview/466859d328affcd0e43d2ee3876ec6f0e533748b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","ushm81633184","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2019-03-19T10:42:59Z"
"spotify:track:6qBR4TYC7JgxmCqPjCKJme","The Guardian","spotify:artist:4N55TE3vFODMR4BX5B9fnM","Waveshaper","spotify:album:4TVQ6IDX1KvQSlcpkVrl3a","The Guardian","spotify:artist:4N55TE3vFODMR4BX5B9fnM","Waveshaper","2019-03-04","https://i.scdn.co/image/ab67616d0000b2738a0fd40816e80413ec806801","1","1","243450","https://p.scdn.co/mp3-preview/48cd3402cd8f61bee9ad19bc7719d11496889148?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","uscgh1996083","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2019-03-24T04:16:29Z"
