"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3Ai7M4s9diq9vPwUz7hwyj","Not The Lovin' Kind","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","spotify:album:7dC9EutCtygeEpefdcjWTL","How Does That Grab You?","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","1966-01-01","https://i.scdn.co/image/ab67616d0000b273e4f002bc0e64b7a5e6591caf","1","1","189289","https://p.scdn.co/mp3-preview/0d16a6842dd6b89cc77180199271c2b990d9d60e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USASE0500016","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:37Z"
"spotify:track:2kT26bUTYTZ0vHpfyUwUEv","The Shadow Of Your Smile","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","spotify:album:7dC9EutCtygeEpefdcjWTL","How Does That Grab You?","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","1966-01-01","https://i.scdn.co/image/ab67616d0000b273e4f002bc0e64b7a5e6591caf","1","2","172617","https://p.scdn.co/mp3-preview/2c31d4a0efcbdf1bb414c270016f929ba977f884?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USASE0500017","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:37Z"
"spotify:track:4yxosmIPTGwoIb68IQOXdf","Sorry 'Bout That","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","spotify:album:7dC9EutCtygeEpefdcjWTL","How Does That Grab You?","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","1966-01-01","https://i.scdn.co/image/ab67616d0000b273e4f002bc0e64b7a5e6591caf","1","3","179954","https://p.scdn.co/mp3-preview/84d53adcbc0b37eca7dd0969ff8eebdd2242b2d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USASE0500018","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:37Z"
"spotify:track:1rHagM3ZYdJb0KgY3pLrIc","Time","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","spotify:album:7dC9EutCtygeEpefdcjWTL","How Does That Grab You?","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","1966-01-01","https://i.scdn.co/image/ab67616d0000b273e4f002bc0e64b7a5e6591caf","1","4","210744","https://p.scdn.co/mp3-preview/7f8bddc3279c4eb22a87e80057c8670af8de5b6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USASE0500019","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:37Z"
"spotify:track:1So2ghl3sFlvwTp4Ayunsd","Sand","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","spotify:album:7dC9EutCtygeEpefdcjWTL","How Does That Grab You?","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","1966-01-01","https://i.scdn.co/image/ab67616d0000b273e4f002bc0e64b7a5e6591caf","1","5","226115","https://p.scdn.co/mp3-preview/ec26ad8e07eb0fc6eba917e056fd3fbd467681ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USASE0500020","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:37Z"
"spotify:track:1OSf9b0Z5sHc5YtnaF5zjW","Cryin' Time","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","spotify:album:7dC9EutCtygeEpefdcjWTL","How Does That Grab You?","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","1966-01-01","https://i.scdn.co/image/ab67616d0000b273e4f002bc0e64b7a5e6591caf","1","6","212648","https://p.scdn.co/mp3-preview/a0512f7f701fdb170000ed1ec07dbc52eaafddd0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USASE0500021","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:37Z"
"spotify:track:7fBtS0TuLS7YQFEK7rcLiL","My Baby Cried All Night Long","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","spotify:album:7dC9EutCtygeEpefdcjWTL","How Does That Grab You?","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","1966-01-01","https://i.scdn.co/image/ab67616d0000b273e4f002bc0e64b7a5e6591caf","1","7","185666","https://p.scdn.co/mp3-preview/7873bb8897cec1c25033918893ce4c34fe85a92c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USASE0500022","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:37Z"
"spotify:track:6Z3FSHnx5atlUvdM65msr6","Let It Be Me","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","spotify:album:7dC9EutCtygeEpefdcjWTL","How Does That Grab You?","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","1966-01-01","https://i.scdn.co/image/ab67616d0000b273e4f002bc0e64b7a5e6591caf","1","8","185713","https://p.scdn.co/mp3-preview/35d5d55fea6ff11b2c115f0d623f618b6287c8fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USASE0500023","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:37Z"
"spotify:track:63rMduMlkiIKajf4323jIJ","Call Me","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","spotify:album:7dC9EutCtygeEpefdcjWTL","How Does That Grab You?","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","1966-01-01","https://i.scdn.co/image/ab67616d0000b273e4f002bc0e64b7a5e6591caf","1","9","170573","https://p.scdn.co/mp3-preview/5b353188f29da6334b86c6b99c3ddcf267deb7b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USASE0500024","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:37Z"
"spotify:track:3l35DNYvWELcX1z1DIZ6Tf","How Does That Grab You, Darlin'?","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","spotify:album:7dC9EutCtygeEpefdcjWTL","How Does That Grab You?","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","1966-01-01","https://i.scdn.co/image/ab67616d0000b273e4f002bc0e64b7a5e6591caf","1","10","153716","https://p.scdn.co/mp3-preview/67851b60b5d383d2383cbae328d9ba3b1533ea56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USASE0500025","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:37Z"
