"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4714JHYV5kiMKsuo8eP41E","He's a Man","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:38nngL1nidjNYdHvJ3xJED","I'm Breathless","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1990-03-22","https://i.scdn.co/image/ab67616d0000b273b05fcbdcdaca1bdd0f0f08dc","1","1","284506","https://p.scdn.co/mp3-preview/d535d60a05e27f5c96afe78ecb041b1f4000fd59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USWB10002755","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:49Z"
"spotify:track:0QLuoNpyzXMcCLfVtFScE2","Sooner or Later","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:38nngL1nidjNYdHvJ3xJED","I'm Breathless","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1990-03-22","https://i.scdn.co/image/ab67616d0000b273b05fcbdcdaca1bdd0f0f08dc","1","2","200160","https://p.scdn.co/mp3-preview/302427e521c6778e00254e002a555b8a04de2d16?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USWB10002756","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:49Z"
"spotify:track:0TtjIsd6WB3hzFu0ra8g8p","Hanky Panky","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:38nngL1nidjNYdHvJ3xJED","I'm Breathless","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1990-03-22","https://i.scdn.co/image/ab67616d0000b273b05fcbdcdaca1bdd0f0f08dc","1","3","239160","https://p.scdn.co/mp3-preview/c472208751f6b19282da4b55125ab59a8705272b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USWB10002757","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:49Z"
"spotify:track:1cWJlp4nERqhfc5XVCsOBw","I'm Going Bananas","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:38nngL1nidjNYdHvJ3xJED","I'm Breathless","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1990-03-22","https://i.scdn.co/image/ab67616d0000b273b05fcbdcdaca1bdd0f0f08dc","1","4","103653","https://p.scdn.co/mp3-preview/5a77dbcb5770d87af04450e31d1230a848f97cb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USWB10002758","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:49Z"
"spotify:track:6gimgfkbhuoGuY8MQXEFch","Cry Baby","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:38nngL1nidjNYdHvJ3xJED","I'm Breathless","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1990-03-22","https://i.scdn.co/image/ab67616d0000b273b05fcbdcdaca1bdd0f0f08dc","1","5","245786","https://p.scdn.co/mp3-preview/bf408ee951c8210119b4ac4e41b1a83f74479f6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USWB10002759","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:49Z"
"spotify:track:5cijobH65WeTnTi1f8yNFu","Something to Remember","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:38nngL1nidjNYdHvJ3xJED","I'm Breathless","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1990-03-22","https://i.scdn.co/image/ab67616d0000b273b05fcbdcdaca1bdd0f0f08dc","1","6","304333","https://p.scdn.co/mp3-preview/6958fc217f75365c855574c33109341e81c13112?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USWB19903145","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:49Z"
"spotify:track:00akbmcZrMFuZ15AzIyC5T","Back in Business","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:38nngL1nidjNYdHvJ3xJED","I'm Breathless","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1990-03-22","https://i.scdn.co/image/ab67616d0000b273b05fcbdcdaca1bdd0f0f08dc","1","7","313360","https://p.scdn.co/mp3-preview/d8817edd1c23166b7ffb9553496105e58a63147c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USWB10002760","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:49Z"
"spotify:track:0yrZ6pA1hAeoFD7FsVRTBX","More","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:38nngL1nidjNYdHvJ3xJED","I'm Breathless","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1990-03-22","https://i.scdn.co/image/ab67616d0000b273b05fcbdcdaca1bdd0f0f08dc","1","8","298933","https://p.scdn.co/mp3-preview/7f1dc2ce404384b4c8f1cb5c891cb5816fcb75aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USWB10002761","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:49Z"
"spotify:track:2o2uXE1owlax1uLgW6uI3f","What Can You Lose","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:38nngL1nidjNYdHvJ3xJED","I'm Breathless","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1990-03-22","https://i.scdn.co/image/ab67616d0000b273b05fcbdcdaca1bdd0f0f08dc","1","9","129306","https://p.scdn.co/mp3-preview/64ed440965577f78bdae53f528f927fcfcadd460?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USWB10002762","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:49Z"
"spotify:track:0mPPeHgx3Kxj85Olq1hNU7","Now I'm Following You (Part I)","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:38nngL1nidjNYdHvJ3xJED","I'm Breathless","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1990-03-22","https://i.scdn.co/image/ab67616d0000b273b05fcbdcdaca1bdd0f0f08dc","1","10","94986","https://p.scdn.co/mp3-preview/4511e164c298d5ef0725b15f868c1fd1e4fa4402?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USWB10002763","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:49Z"
