"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:01OXa5tVuCssU6j8TY7kxr","Words","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:61dByu8oBt4qdym9Rkz39w","I Could Live In Hope","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","1994-01-01","https://i.scdn.co/image/ab67616d0000b2738b7a5660aeb00a285ca66ffe","1","1","348800","","false","48","USCN39400028","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:49:46Z"
"spotify:track:0h4FnxJdO3Pn2sk5TRawS7","Fear","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:61dByu8oBt4qdym9Rkz39w","I Could Live In Hope","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","1994-01-01","https://i.scdn.co/image/ab67616d0000b2738b7a5660aeb00a285ca66ffe","1","2","135133","","false","38","USCN39400029","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:49:46Z"
"spotify:track:6LOC8quwmpMsD6gz8xPYL2","Cut","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:61dByu8oBt4qdym9Rkz39w","I Could Live In Hope","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","1994-01-01","https://i.scdn.co/image/ab67616d0000b2738b7a5660aeb00a285ca66ffe","1","3","346466","","false","34","USCN39400030","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:49:46Z"
"spotify:track:009fTJuFlQ5Rx37dtQBYij","Slide","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:61dByu8oBt4qdym9Rkz39w","I Could Live In Hope","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","1994-01-01","https://i.scdn.co/image/ab67616d0000b2738b7a5660aeb00a285ca66ffe","1","4","229840","","false","35","USCN39400031","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:49:46Z"
"spotify:track:45m3MvYjwf47Q2ZxABk7Mq","Lazy","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:61dByu8oBt4qdym9Rkz39w","I Could Live In Hope","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","1994-01-01","https://i.scdn.co/image/ab67616d0000b2738b7a5660aeb00a285ca66ffe","1","5","338293","","false","38","USCN39400032","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:49:46Z"
"spotify:track:1De66xUavye2fNqhCwtgyo","Lullaby","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:61dByu8oBt4qdym9Rkz39w","I Could Live In Hope","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","1994-01-01","https://i.scdn.co/image/ab67616d0000b2738b7a5660aeb00a285ca66ffe","1","6","589106","","false","57","USCN39400033","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:49:46Z"
"spotify:track:4Gcb68DWviw8kpuypBu2l1","Sea","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:61dByu8oBt4qdym9Rkz39w","I Could Live In Hope","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","1994-01-01","https://i.scdn.co/image/ab67616d0000b2738b7a5660aeb00a285ca66ffe","1","7","108866","","false","33","USCN39400034","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:49:46Z"
"spotify:track:57mgyqUPrQWmdnqS4xC4Oz","Down","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:61dByu8oBt4qdym9Rkz39w","I Could Live In Hope","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","1994-01-01","https://i.scdn.co/image/ab67616d0000b2738b7a5660aeb00a285ca66ffe","1","8","447760","","false","34","USCN39400035","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:49:46Z"
"spotify:track:2sbKlF95QiDw8lxRhLXbOQ","Drag","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:61dByu8oBt4qdym9Rkz39w","I Could Live In Hope","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","1994-01-01","https://i.scdn.co/image/ab67616d0000b2738b7a5660aeb00a285ca66ffe","1","9","315040","","false","32","USCN39400036","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:49:46Z"
"spotify:track:2bKgfHLKSdSIGsweqKt6Sl","Rope","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:61dByu8oBt4qdym9Rkz39w","I Could Live In Hope","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","1994-01-01","https://i.scdn.co/image/ab67616d0000b2738b7a5660aeb00a285ca66ffe","1","10","375333","","false","29","USCN39400037","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:49:46Z"
"spotify:track:5j6nQdG0nzJTpu60BKmqw3","Sunshine","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:61dByu8oBt4qdym9Rkz39w","I Could Live In Hope","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","1994-01-01","https://i.scdn.co/image/ab67616d0000b2738b7a5660aeb00a285ca66ffe","1","11","179333","","false","30","USCN39400038","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:49:46Z"
