"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:73G2yz58Faqm5GoqfGOPBK","Sleep Drifter","spotify:artist:6XYvaoDGE0VmRt83Jss9Sn","King Gizzard & The Lizard Wizard","spotify:album:6h0sHXieTPtHkmtHXYhau8","Flying Microtonal Banana","spotify:artist:6XYvaoDGE0VmRt83Jss9Sn","King Gizzard & The Lizard Wizard","2017-02-24","https://i.scdn.co/image/ab67616d0000b273d39fa25b69d5d13f0405fd77","1","4","284853","https://p.scdn.co/mp3-preview/a09dab1b63ff6cf3e9577a3a35299ab09a90fe2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBPVV1601539","spotify:user:uykulusanat%C3%A7%C4%B1","2020-04-23T09:16:33Z"
"spotify:track:7qEKqBCD2vE5vIBsrUitpD","ilomilo","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2019-03-29","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","1","11","156370","","false","74","USUM71900771","spotify:user:uykulusanat%C3%A7%C4%B1","2020-04-23T09:17:19Z"
"spotify:track:14XWXWv5FoCbFzLksawpEe","Riders on the Storm","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","spotify:album:7IKUTIc9UWuVngyGPtqNHS","L.A. Woman","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","1971-04-19","https://i.scdn.co/image/ab67616d0000b27320783882533e669760741df2","1","10","434720","https://p.scdn.co/mp3-preview/0d7d4d35554f6097fce04d464f7aacd7c6f59727?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USEE19900773","spotify:user:uykulusanat%C3%A7%C4%B1","2020-04-23T09:17:40Z"
"spotify:track:6oVhL0lLUMswqSV3VcKwJO","So Far","spotify:artist:7E3BRXV9ZbCt5lQTCXMTia, spotify:artist:6LnEuWyi5kVOZ4aLqnD1Qo","Ólafur Arnalds, Arnór Dan","spotify:album:3GmecFBWNs4fTi0PkLF7qR","Broadchurch (Music From The Original TV Series)","spotify:artist:7E3BRXV9ZbCt5lQTCXMTia","Ólafur Arnalds","2015-01-05","https://i.scdn.co/image/ab67616d0000b27345a5fd33456a4936c9edd6b9","1","12","272014","","false","54","GBUM71406782","spotify:user:uykulusanat%C3%A7%C4%B1","2020-04-23T09:17:51Z"
"spotify:track:7urtwZEtOypb3r8HNi42dT","Duvet","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","1","203600","","false","1","uscgj0659337","spotify:user:uykulusanat%C3%A7%C4%B1","2020-04-23T09:18:12Z"
"spotify:track:03sIjjg6w6uL4LJxilhkBa","Be Free","spotify:artist:0erhjm5MwzWpFRFuorXLT2, spotify:artist:6ZK2nrW8aCTg8Bid7I7N10","King Dude, Chelsea Wolfe","spotify:album:761dTgfkX2SrlDXOSKHd7L","Be Free","spotify:artist:0erhjm5MwzWpFRFuorXLT2, spotify:artist:6ZK2nrW8aCTg8Bid7I7N10","King Dude, Chelsea Wolfe","2014-04-04","https://i.scdn.co/image/ab67616d0000b27310b53a42edec52d5b4d6bc3a","1","1","178000","","false","0","TCABW1441948","spotify:user:uykulusanat%C3%A7%C4%B1","2020-04-23T09:18:27Z"
"spotify:track:0acWxqkm4MmEcQnwNpYM6Q","Lulu's Theme","spotify:artist:3V79CTgRnsDdJSTqKitROv","Nobuo Uematsu","spotify:album:5rsJCTSppss2cccM8a9V0u","FINAL FANTASY X Original Soundtrack","spotify:artist:6NeoLSPGwJLfeisvM36SMi","SQUARE ENIX MUSIC","2001-08-01","https://i.scdn.co/image/ab67616d0000b273860486efff4e8bd54d6fe356","1","71","232866","https://p.scdn.co/mp3-preview/295418205fe1c2e8404d365d02a0d7503c8229b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","JPA840500603","spotify:user:uykulusanat%C3%A7%C4%B1","2020-04-23T09:19:43Z"
"spotify:track:1LNqr2FALBNFX1smNJcKD2","Moonlight Sonata (1st Movement)","spotify:artist:5BWwOqYJwIlEbS858Kmh2E","Betoven Collection","spotify:album:417HhG8JiXnGEop7CRC30M","Betoven - Best Piano Pieces","spotify:artist:5BWwOqYJwIlEbS858Kmh2E","Betoven Collection","2020-03-06","https://i.scdn.co/image/ab67616d0000b273dc9a6325ec5630c8658d5010","1","1","314305","https://p.scdn.co/mp3-preview/c7c5ef727dc7730133ad796a01e91a0031772f78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","TCAER2090575","spotify:user:uykulusanat%C3%A7%C4%B1","2020-04-23T09:21:09Z"
"spotify:track:6VObnIkLVruX4UVyxWhlqm","Skyfall","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:6TwN6Lq9glwnG8kNp6chHY","Skyfall","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2012-10-04","https://i.scdn.co/image/ab67616d0000b2732737be35cc5245eef495be90","1","1","286480","https://p.scdn.co/mp3-preview/d5c38cc8a0f4b3e01a5a688497d6b0e89da5f1c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBBKS1200164","spotify:user:uykulusanat%C3%A7%C4%B1","2020-04-23T09:21:35Z"
"spotify:track:73SpzrcaHk0RQPFP73vqVR","No Time To Die","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:5sXSHscDjBez8VF20cSyad","No Time To Die","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2020-02-13","https://i.scdn.co/image/ab67616d0000b273f7b7174bef6f3fbfda3a0bb7","1","1","242265","","false","79","USUM72002771","spotify:user:uykulusanat%C3%A7%C4%B1","2020-04-23T09:25:05Z"
