"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3BoGLNCZJXzvRugqtROpAY","I Robot","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","spotify:album:1zhQKiQIOlYYbPmx1eHDD7","I Robot (Legacy Edition)","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","1977-06-01","https://i.scdn.co/image/ab67616d0000b2732e2f71e2200e73110f76baca","1","1","362493","https://p.scdn.co/mp3-preview/9fdbf4fea96a1383245281cc699ef10b44550729?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USAR18400134","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T12:21:24Z"
"spotify:track:6Xtm8qDnhjaBZ3ZlzBZmCm","I Wouldn't Want to Be Like You","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","spotify:album:1zhQKiQIOlYYbPmx1eHDD7","I Robot (Legacy Edition)","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","1977-06-01","https://i.scdn.co/image/ab67616d0000b2732e2f71e2200e73110f76baca","1","2","203346","https://p.scdn.co/mp3-preview/fedaa40f9e274a5b3e355d222e6f0ccd77dc2a72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USAR19700003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T12:21:24Z"
"spotify:track:6YiSW7FjJw36A3pZ7LzMiV","Some Other Time","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","spotify:album:1zhQKiQIOlYYbPmx1eHDD7","I Robot (Legacy Edition)","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","1977-06-01","https://i.scdn.co/image/ab67616d0000b2732e2f71e2200e73110f76baca","1","3","245666","https://p.scdn.co/mp3-preview/e42b19cd31a0afed4c8035ae9731be35246a3cfe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USAR17700141","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T12:21:24Z"
"spotify:track:1X8GfZOs2GR2tru3QTO9MI","Breakdown","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","spotify:album:1zhQKiQIOlYYbPmx1eHDD7","I Robot (Legacy Edition)","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","1977-06-01","https://i.scdn.co/image/ab67616d0000b2732e2f71e2200e73110f76baca","1","4","233186","https://p.scdn.co/mp3-preview/28cc6121e45e7430374c3b3cff7cc8ff70f840fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USAR10301275","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T12:21:24Z"
"spotify:track:5Okza4hx8iJwgHIdZz01kd","Don't Let It Show","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","spotify:album:1zhQKiQIOlYYbPmx1eHDD7","I Robot (Legacy Edition)","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","1977-06-01","https://i.scdn.co/image/ab67616d0000b2732e2f71e2200e73110f76baca","1","5","265746","https://p.scdn.co/mp3-preview/7fe88f3e964bcb38d3ed2dfc2cc32a232c1ed3f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USAR19700005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T12:21:24Z"
"spotify:track:6sPkcOsRJS2fRIh9X8bGey","The Voice","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","spotify:album:1zhQKiQIOlYYbPmx1eHDD7","I Robot (Legacy Edition)","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","1977-06-01","https://i.scdn.co/image/ab67616d0000b2732e2f71e2200e73110f76baca","1","6","323080","https://p.scdn.co/mp3-preview/2499904eaeb2a77bbbd12b05f16b0fe5078b12b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USAR17700142","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T12:21:24Z"
"spotify:track:3H01R1DyCNYk4xLjnxR1uH","Nucleus","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","spotify:album:1zhQKiQIOlYYbPmx1eHDD7","I Robot (Legacy Edition)","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","1977-06-01","https://i.scdn.co/image/ab67616d0000b2732e2f71e2200e73110f76baca","1","7","202426","https://p.scdn.co/mp3-preview/7b5fd269ed207eb256f2fd4bcd52c57f4ce9caa1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USAR17700172","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T12:21:24Z"
"spotify:track:1whzs6KKH2J9za3WNmDQUc","Day After Day (The Show Must Go On)","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","spotify:album:1zhQKiQIOlYYbPmx1eHDD7","I Robot (Legacy Edition)","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","1977-06-01","https://i.scdn.co/image/ab67616d0000b2732e2f71e2200e73110f76baca","1","8","237160","https://p.scdn.co/mp3-preview/42cd3f32f7d6de966af32f124902be90ce2d2d5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USAR17700171","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T12:21:24Z"
"spotify:track:0hGZN3qdREyEnCO7BnwtQz","Total Eclipse","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","spotify:album:1zhQKiQIOlYYbPmx1eHDD7","I Robot (Legacy Edition)","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","1977-06-01","https://i.scdn.co/image/ab67616d0000b2732e2f71e2200e73110f76baca","1","9","192466","https://p.scdn.co/mp3-preview/c96029640e84c9053cd7ada490a2e795e42b79a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USAR17700173","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T12:21:24Z"
"spotify:track:1aBVhn9gc1oy58bhkkv6GS","Genesis Ch.1. V.32","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","spotify:album:1zhQKiQIOlYYbPmx1eHDD7","I Robot (Legacy Edition)","spotify:artist:2m62cc253Xvd9qYQ8d2X3d","The Alan Parsons Project","1977-06-01","https://i.scdn.co/image/ab67616d0000b2732e2f71e2200e73110f76baca","1","10","211906","https://p.scdn.co/mp3-preview/0e7053ccbd5483dd4808ce81b03f20988bd2a8e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USAR10001681","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T12:21:24Z"
