"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3GFRJgMAPKeYJ717UeB0zp","Peygamber Sabrı","spotify:artist:7Gx2wDVHyW5HJh7dc2t5h7, spotify:artist:2XsT1ReJB0oZykMLN0bEun","Lil Zey, GOKO!","spotify:album:2XAdcXHwb3SnZLmr0z2eTe","Kara Tiyatro","spotify:artist:7Gx2wDVHyW5HJh7dc2t5h7","Lil Zey","2021-05-28","https://i.scdn.co/image/ab67616d0000b2737723d08b2179a80fdc4fc31e","1","6","191624","","false","57","TRUM72100067","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T08:57:57Z"
"spotify:track:0l7ZRPrxH67Q6J03Zt4b4a","1 gr eksik","spotify:artist:7Gx2wDVHyW5HJh7dc2t5h7","Lil Zey","spotify:album:00nvNSoghWFHUFUK4zR99Z","1 gr eksik","spotify:artist:7Gx2wDVHyW5HJh7dc2t5h7","Lil Zey","2021-01-15","https://i.scdn.co/image/ab67616d0000b273a9952292e37035eacf74ae4d","1","1","179500","","true","46","TRUM72000139","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T08:59:59Z"
"spotify:track:07BSbfzLQ4t09hwD8PO7iT","Zor","spotify:artist:7Gx2wDVHyW5HJh7dc2t5h7","Lil Zey","spotify:album:28mncPY48RKO2fxCjvbr7X","Zor","spotify:artist:7Gx2wDVHyW5HJh7dc2t5h7","Lil Zey","2020-10-02","https://i.scdn.co/image/ab67616d0000b27338bcf717008d05db618b15ca","1","1","180392","","false","50","TRUM72000090","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T09:00:45Z"
"spotify:track:1Ud2NakQQzZOdNdxrrbXsT","Zor II","spotify:artist:7Gx2wDVHyW5HJh7dc2t5h7","Lil Zey","spotify:album:28mncPY48RKO2fxCjvbr7X","Zor","spotify:artist:7Gx2wDVHyW5HJh7dc2t5h7","Lil Zey","2020-10-02","https://i.scdn.co/image/ab67616d0000b27338bcf717008d05db618b15ca","1","2","128571","","false","41","TRUM72000091","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T09:00:49Z"
"spotify:track:4APPiwxp3kcrchK36JIrkg","Piç Ettim","spotify:artist:7Gx2wDVHyW5HJh7dc2t5h7","Lil Zey","spotify:album:2XAdcXHwb3SnZLmr0z2eTe","Kara Tiyatro","spotify:artist:7Gx2wDVHyW5HJh7dc2t5h7","Lil Zey","2021-05-28","https://i.scdn.co/image/ab67616d0000b2737723d08b2179a80fdc4fc31e","1","3","180000","","true","48","TRUM72100064","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T09:02:48Z"
"spotify:track:4RGYDiJwgRDfeX0PkD7kFM","Yol","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","1","328021","https://p.scdn.co/mp3-preview/f4c78da4c0aef4bb45335298e19381f5506ebc1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","TRA161800531","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T09:10:05Z"
"spotify:track:7m3QOBDG8G5Hl97lZKPG79","Tanıyorum Seni","spotify:artist:7JCJA9JUFT138Nuivyxp9n, spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","90 BPM, Ağaçkakan","spotify:album:24lOMJpbysrGanJ0g6sWZn","Kötülük Bizim İşimiz","spotify:artist:7JCJA9JUFT138Nuivyxp9n","90 BPM","2015-07-24","https://i.scdn.co/image/ab67616d0000b273db618155ed64fe910caf4062","1","13","262013","https://p.scdn.co/mp3-preview/fd91b7cbe89f78557de23eda56dcf386d2a6980f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TR0061400380","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T09:10:13Z"
"spotify:track:1ZmWHotpakSBH5rO1HKGlY","Natuk Baytan","spotify:artist:44wLgA9gxORLwDGRvYpRBg","Farazi","spotify:album:0zjbLCWVirkJ8eaO6gnmY1","90 Günleri B. 1","spotify:artist:44wLgA9gxORLwDGRvYpRBg","Farazi","2017-05-05","https://i.scdn.co/image/ab67616d0000b27380c0a300eab4dd4603aa76ee","1","9","208000","https://p.scdn.co/mp3-preview/66ee3315567affba809f5e14f579b87ea2f45d9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USLD91702296","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T09:10:29Z"
"spotify:track:54MjO23wNS0cREDDeMqliJ","Kafamda Cehennem","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","8","224073","https://p.scdn.co/mp3-preview/1ce2b17bd968430bcacdaaa6106c3fa0088c9ff5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","TRA161800538","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T09:10:37Z"
"spotify:track:0wkqLM0D4ei4AABQIyT0XM","Gidince Görücez","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:55pdQGayRHSuZWXj9Yw0Fu","Gidince Görücez","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-10-09","https://i.scdn.co/image/ab67616d0000b273963ff457536cd5355804e568","1","1","244866","https://p.scdn.co/mp3-preview/617e6bfe9ccecd189f820c487c19e25c1a494087?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","TRA162000236","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T09:11:38Z"
