"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5szJ8SMwQVEvvdk65w6M6g","California Uber Alles","spotify:artist:30U8fYtiNpeA5KH6H87QUV","Dead Kennedys","spotify:album:5Xv8PCJ7ZMmRd3jXnJqg3V","Give Me Convenience or Give Me Death","spotify:artist:30U8fYtiNpeA5KH6H87QUV","Dead Kennedys","1987-12-21","https://i.scdn.co/image/ab67616d0000b2731184b5e2bb68648a847550d5","1","3","207040","https://p.scdn.co/mp3-preview/0a6c7526571d9a8a57fe08d85d76cbd369e26eb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USA560456446","spotify:user:klavgavin","2017-07-20T05:25:32Z"
"spotify:track:3NHFycTyi992KM6dkhSZcR","What Do I Get?","spotify:artist:2DxlS3lTLFIq70S7ap5H3y","Buzzcocks","spotify:album:7zjlLGWtmj6BCqwEyacb5z","Operators Manual (Buzzcocks Best)","spotify:artist:2DxlS3lTLFIq70S7ap5H3y","Buzzcocks","1991-09-23","https://i.scdn.co/image/ab67616d0000b273879962e6d36a1d0ead10eaf0","1","2","176293","https://p.scdn.co/mp3-preview/0df3e36362e804dd7eb5c42f2943eb20bad51b57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBAYE7800310","spotify:user:klavgavin","2017-07-20T05:25:40Z"
"spotify:track:56KqaFSGTb7ifpt16t5Y1N","Rock the Casbah - Remastered","spotify:artist:3RGLhK1IP9jnYFH4BRFJBS","The Clash","spotify:album:1ZH5g1RDq3GY1OvyD0w0s2","Combat Rock (Remastered)","spotify:artist:3RGLhK1IP9jnYFH4BRFJBS","The Clash","1982","https://i.scdn.co/image/ab67616d0000b27325a4df452a3c42ccc2e9288b","1","4","222426","https://p.scdn.co/mp3-preview/12e4111ac765fe7cfe64b004ce2c7b7dd5f2c2c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBARL1200671","spotify:user:klavgavin","2017-07-20T05:26:30Z"
"spotify:track:2OuNnwnNQyWrF47pthWxNb","Holiday in Cambodia","spotify:artist:30U8fYtiNpeA5KH6H87QUV","Dead Kennedys","spotify:album:5Xv8PCJ7ZMmRd3jXnJqg3V","Give Me Convenience or Give Me Death","spotify:artist:30U8fYtiNpeA5KH6H87QUV","Dead Kennedys","1987-12-21","https://i.scdn.co/image/ab67616d0000b2731184b5e2bb68648a847550d5","1","8","224866","https://p.scdn.co/mp3-preview/876fd2c16576f83574ab38eca9811658a6a9d5cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USA560456451","spotify:user:klavgavin","2017-12-26T03:03:57Z"
"spotify:track:5jzma6gCzYtKB1DbEwFZKH","London Calling - Remastered","spotify:artist:3RGLhK1IP9jnYFH4BRFJBS","The Clash","spotify:album:6FCzvataOZh68j8OKzOt9a","London Calling (Remastered)","spotify:artist:3RGLhK1IP9jnYFH4BRFJBS","The Clash","1979","https://i.scdn.co/image/ab67616d0000b273cd9d8bc9ef04014b6e90e182","1","1","200480","https://p.scdn.co/mp3-preview/e017f75aa679e1989ca496460feb401959638f3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBARL1200680","spotify:user:klavgavin","2017-07-20T05:26:33Z"
"spotify:track:32tAXtlQLm39gQ9JWNaogT","Nellie The Elephant","spotify:artist:747P2pvOwW22iRcFS9zQDv","The Toy Dolls","spotify:album:0plXLu4cOBO4qQNGFKKJl0","Cheerio And Toodlepip! The Complete Singles","spotify:artist:747P2pvOwW22iRcFS9zQDv","The Toy Dolls","2005-07-19","https://i.scdn.co/image/ab67616d0000b273ab0fd485fc598c375ddd5ab1","1","3","207000","","false","0","GBUM70908469","spotify:user:klavgavin","2017-07-20T05:26:43Z"
"spotify:track:4wGrK0Hqzv1X1BM81V7J46","Ever Fallen in Love (With Someone You Shouldn't've)?","spotify:artist:2DxlS3lTLFIq70S7ap5H3y","Buzzcocks","spotify:album:36bB0SHgO3fa4tuQ0iiY0S","Buzzcocks Finest","spotify:artist:2DxlS3lTLFIq70S7ap5H3y","Buzzcocks","1996","https://i.scdn.co/image/ab67616d0000b2730d1fdf5314ccf185baf0001f","1","12","162293","","false","0","GBAYE7800085","spotify:user:klavgavin","2017-07-20T05:25:51Z"
"spotify:track:0YtWcn3sML3TB8Wo4qcKd0","Sheena Is a Punk Rocker - 2009 Remaster","spotify:artist:1co4F2pPNH8JjTutZkmgSm","Ramones","spotify:album:1OLVCnAaAaGp81qnM8Wte3","Whip It [Music From The Motion Picture]","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-09-29","https://i.scdn.co/image/ab67616d0000b273bef9afcbd15aae3f1f3dcb19","1","2","166240","https://p.scdn.co/mp3-preview/fae8c4371caba5db222c3d95ff26e2d06560095e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USWB10903637","spotify:user:klavgavin","2017-07-20T05:26:59Z"
"spotify:track:6aQW6UBUuXIE2vggvK1XYU","Neat Neat Neat","spotify:artist:6VeL8VhaMjHTPc5uovFl3h","The Damned","spotify:album:7issYZgXiFVrfI8ZnlslZt","Damned Damned Damned","spotify:artist:6VeL8VhaMjHTPc5uovFl3h","The Damned","1977","https://i.scdn.co/image/ab67616d0000b2731eda217f18e77bf122d5d62a","1","1","166173","","false","0","GBAJE0415018","spotify:user:klavgavin","2017-07-20T05:27:04Z"
"spotify:track:1R79vtF6xSaDdTrh8qId8W","Abolish Government/Silent Majority","spotify:artist:4oPMm2idleIKLdBWgZilSi","T.S.O.L.","spotify:album:3CB74Cm0oYsV3hyv0EjREv","T.S.O.L. / Weathered Statues","spotify:artist:4oPMm2idleIKLdBWgZilSi","T.S.O.L.","1997-01-01","https://i.scdn.co/image/ab67616d0000b273338a023c62446a0e68c57155","1","4","119306","","true","49","USNRR0400176","spotify:user:klavgavin","2017-07-20T05:31:48Z"
