"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1K5FJO5UZYn6GkVNgKbb2m","Blackest Eyes","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","spotify:album:60FolYyZWPaWAbUzLZW8fl","In Absentia","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","2002-09-24","https://i.scdn.co/image/ab67616d0000b273cdaddbe366580d699aefbf84","1","1","263546","https://p.scdn.co/mp3-preview/8abe658ca4c29162b91acd7a9df63560e1ec8723?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBCQV1714800","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-03T21:59:17Z"
"spotify:track:7HK4RUHg3xmihjjjkO1Pse","Trains","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","spotify:album:60FolYyZWPaWAbUzLZW8fl","In Absentia","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","2002-09-24","https://i.scdn.co/image/ab67616d0000b273cdaddbe366580d699aefbf84","1","2","358600","https://p.scdn.co/mp3-preview/cdc7561e2c3a7893ec1847868a0e49da8e19da8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBCQV1714801","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-03T21:59:17Z"
"spotify:track:4abj4mzq6seHh1SjCy8hXS","Lips Of Ashes","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","spotify:album:60FolYyZWPaWAbUzLZW8fl","In Absentia","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","2002-09-24","https://i.scdn.co/image/ab67616d0000b273cdaddbe366580d699aefbf84","1","3","279240","https://p.scdn.co/mp3-preview/e1ef71d3b52c249d69006b2360ccc3c65386e054?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GBCQV1714802","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-03T21:59:17Z"
"spotify:track:2yCR571GCfpaXy6dbSQKpO","The Sound Of Muzak","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","spotify:album:60FolYyZWPaWAbUzLZW8fl","In Absentia","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","2002-09-24","https://i.scdn.co/image/ab67616d0000b273cdaddbe366580d699aefbf84","1","4","301600","https://p.scdn.co/mp3-preview/6db27d29390dfa46d1d475234e8c063b582d3464?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBCQV1714803","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-03T21:59:17Z"
"spotify:track:44XOGQbbXjKE6XihZZ4rKZ","Gravity Eyelids","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","spotify:album:60FolYyZWPaWAbUzLZW8fl","In Absentia","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","2002-09-24","https://i.scdn.co/image/ab67616d0000b273cdaddbe366580d699aefbf84","1","5","476773","https://p.scdn.co/mp3-preview/6a0d94880307392fbeac3837662600c69b86fff0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GBCQV1714804","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-03T21:59:17Z"
"spotify:track:1ONlTZC2cgSzSdyH9X2tiv","Wedding Nails","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","spotify:album:60FolYyZWPaWAbUzLZW8fl","In Absentia","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","2002-09-24","https://i.scdn.co/image/ab67616d0000b273cdaddbe366580d699aefbf84","1","6","393760","https://p.scdn.co/mp3-preview/c09d9d78908980296eea782657028a0cd2178c86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GBCQV1714805","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-03T21:59:17Z"
"spotify:track:40qQ90Vec2hJR62Qq829pK","Prodigal","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","spotify:album:60FolYyZWPaWAbUzLZW8fl","In Absentia","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","2002-09-24","https://i.scdn.co/image/ab67616d0000b273cdaddbe366580d699aefbf84","1","7","332666","https://p.scdn.co/mp3-preview/0acb7550db5ce634e4d860fd7e44ab7e012a6486?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GBCQV1714806","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-03T21:59:17Z"
"spotify:track:7sIVamq5nhfySEsr3ubjD7",".3","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","spotify:album:60FolYyZWPaWAbUzLZW8fl","In Absentia","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","2002-09-24","https://i.scdn.co/image/ab67616d0000b273cdaddbe366580d699aefbf84","1","8","325573","https://p.scdn.co/mp3-preview/f8f8ecd0be30afcfad6e70d78c3793b04293d961?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GBCQV1714807","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-03T21:59:17Z"
"spotify:track:4OMOyVwOGPkStMMjQmKJww","The Creator Has A Mastertape","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","spotify:album:60FolYyZWPaWAbUzLZW8fl","In Absentia","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","2002-09-24","https://i.scdn.co/image/ab67616d0000b273cdaddbe366580d699aefbf84","1","9","321600","https://p.scdn.co/mp3-preview/bdd5c1bc7423c3c847c7060495f4cfa718cc961f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBCQV1714808","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-03T21:59:17Z"
"spotify:track:2kH4Sq0UJXoHdkhRgeKBV1","Heartattack In A Layby","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","spotify:album:60FolYyZWPaWAbUzLZW8fl","In Absentia","spotify:artist:5NXHXK6hOCotCF8lvGM1I0","Porcupine Tree","2002-09-24","https://i.scdn.co/image/ab67616d0000b273cdaddbe366580d699aefbf84","1","10","255600","https://p.scdn.co/mp3-preview/1f0ce1b6c40e6687aa4637031560897c9679ed66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBCQV1714809","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-03T21:59:17Z"
