"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4oXg7xT4ksBxHTx8PcmSXw","15 Step","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5vkqYmiPBYLaalcmjujWxK","In Rainbows","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2007-12-28","https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9","1","1","237293","https://p.scdn.co/mp3-preview/fc4c0d544de2c85b4af5e44a0fbad41cba9b8bae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBSTK0700001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-28T03:03:23Z"
"spotify:track:4pWIwnnqx8k01fuF95UMIg","Bodysnatchers","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5vkqYmiPBYLaalcmjujWxK","In Rainbows","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2007-12-28","https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9","1","2","242293","https://p.scdn.co/mp3-preview/896ec41377dea381b072867aa0c3a82492a08ea8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBSTK0700002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-28T03:03:23Z"
"spotify:track:35YyxFpE0ZTOoqFx5bADW8","Nude","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5vkqYmiPBYLaalcmjujWxK","In Rainbows","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2007-12-28","https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9","1","3","255386","https://p.scdn.co/mp3-preview/fc4c85406a8e9019bd3b1ee29c50156ce90659f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBSTK0700003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-28T03:03:23Z"
"spotify:track:4wajJ1o7jWIg62YqpkHC7S","Weird Fishes/ Arpeggi","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5vkqYmiPBYLaalcmjujWxK","In Rainbows","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2007-12-28","https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9","1","4","318186","https://p.scdn.co/mp3-preview/84d22bb712ca5a5cc6d7f82ef097977e6b6d63e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBSTK0700004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-28T03:03:23Z"
"spotify:track:5Qv2Nby1xTr9pQyjkrc94J","All I Need","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5vkqYmiPBYLaalcmjujWxK","In Rainbows","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2007-12-28","https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9","1","5","228746","https://p.scdn.co/mp3-preview/6651c3f7d1f36876785355e7094b1f57212ce4fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBSTK0700005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-28T03:03:23Z"
"spotify:track:15irEKZ9D6FQqLoZ1qJ1Cx","Faust Arp","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5vkqYmiPBYLaalcmjujWxK","In Rainbows","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2007-12-28","https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9","1","6","129679","https://p.scdn.co/mp3-preview/edbfea64d39622f7ac933915f635a6a7d7404450?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBSTK0700006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-28T03:03:23Z"
"spotify:track:02ppMPbg1OtEdHgoPqoqju","Reckoner","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5vkqYmiPBYLaalcmjujWxK","In Rainbows","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2007-12-28","https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9","1","7","290213","https://p.scdn.co/mp3-preview/b96dbc431830c75665f150959a628cebff536158?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBSTK0700007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-28T03:03:23Z"
"spotify:track:48X4D1FYOShPz2VF3YdfCF","House Of Cards","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5vkqYmiPBYLaalcmjujWxK","In Rainbows","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2007-12-28","https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9","1","8","328293","https://p.scdn.co/mp3-preview/327f4de399cb68a852a312462c4849cee881ebc6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBSTK0700008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-28T03:03:23Z"
"spotify:track:0YJ9FWWHn9EfnN0lHwbzvV","Jigsaw Falling Into Place","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5vkqYmiPBYLaalcmjujWxK","In Rainbows","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2007-12-28","https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9","1","9","248893","https://p.scdn.co/mp3-preview/20658b82bd25e6c1c5769a73e30cffdb0469dd58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBSTK0700009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-28T03:03:23Z"
"spotify:track:4T1iiabe7G0UjWQJCY6NE2","Videotape","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5vkqYmiPBYLaalcmjujWxK","In Rainbows","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2007-12-28","https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9","1","10","279634","https://p.scdn.co/mp3-preview/cbedb8ce31d4c6958cef32c0e62e7089892936c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBSTK0700010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-28T03:03:23Z"
