"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5XX9oGZfgKMXdHnEp4t2JB","Money On My Mind","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:08jWgM4vSkTose4blKBWov","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-05-26","https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae","1","1","192670","","false","67","GBUM71308252","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-27T21:52:59Z"
"spotify:track:6zHecELSAUYPCmYY8qHuOy","Good Thing","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:08jWgM4vSkTose4blKBWov","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-05-26","https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae","1","2","201087","","false","51","GBUM71308832","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-27T21:52:59Z"
"spotify:track:5Nm9ERjJZ5oyfXZTECKmRt","Stay With Me","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:08jWgM4vSkTose4blKBWov","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-05-26","https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae","1","3","172723","","false","87","GBUM71308833","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-27T21:52:59Z"
"spotify:track:3b5LW3nS3WFQyS1e8ajGJN","Leave Your Lover","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:08jWgM4vSkTose4blKBWov","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-05-26","https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae","1","4","188377","","false","61","GBUM71308835","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-27T21:52:59Z"
"spotify:track:7795WJLVKJoAyVoOtCWqXN","I'm Not The Only One","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:08jWgM4vSkTose4blKBWov","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-05-26","https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae","1","5","239316","","false","88","GBUM71308836","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-27T21:52:59Z"
"spotify:track:0xun1Olh7EtEef4wIg9l3l","I've Told You Now","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:08jWgM4vSkTose4blKBWov","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-05-26","https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae","1","6","210369","","false","53","GBUM71308255","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-27T21:52:59Z"
"spotify:track:2TeLIzFBe3hxkPR5FIQZut","Like I Can","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:08jWgM4vSkTose4blKBWov","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-05-26","https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae","1","7","167065","","false","81","GBUM71308834","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-27T21:52:59Z"
"spotify:track:4T2qnyKCo9UISjERbIeJQg","Life Support","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:08jWgM4vSkTose4blKBWov","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-05-26","https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae","1","8","173356","","false","53","GBUM71308837","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-27T21:52:59Z"
"spotify:track:2a4iE4k1IkIswThuJ3ROsw","Not In That Way","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:08jWgM4vSkTose4blKBWov","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-05-26","https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae","1","9","172452","","false","61","GBUM71308838","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-27T21:52:59Z"
"spotify:track:74sb4Gib0cL3TQeCjYF8vh","Lay Me Down","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:08jWgM4vSkTose4blKBWov","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-05-26","https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae","1","10","253208","","false","71","GBUM71308839","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-27T21:52:59Z"
