"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4oKWXWjYkMAjffmRmeh9O2","So You Wanna Be a Superhero","spotify:artist:5VnYwYnG7QmpzQtxyubIwh","Carissa's Wierd","spotify:album:4Dro7TdvON2anng5aN5EIv","Songs About Leaving","spotify:artist:5VnYwYnG7QmpzQtxyubIwh","Carissa's Wierd","2002-10-12","https://i.scdn.co/image/ab67616d0000b2732461135f1f76ae784bf10d45","1","3","219000","","false","0","USHF31002203","spotify:user:11100324499","2019-08-03T17:03:18Z"
"spotify:track:2JFrlsJBH4IDt3Suot97dP","What Sarah Said","spotify:artist:0YrtvWJMgSdVrk3SfNjTbx","Death Cab for Cutie","spotify:album:1NFGnxmeIEBakre4DvLaJq","Plans","spotify:artist:0YrtvWJMgSdVrk3SfNjTbx","Death Cab for Cutie","2005-08-29","https://i.scdn.co/image/ab67616d0000b273c985bcc18dd81da80839e5a9","1","9","380866","https://p.scdn.co/mp3-preview/01699d8647d42263c46a35c1a4eae804824f82ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USAT20504690","spotify:user:11100324499","2014-06-27T20:20:33Z"
"spotify:track:67voPVuRbi8p3k2pJ44omJ","Myth","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:3o8PXwaEbXtQMt4DgBNH2L","Bloom","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2012-05-14","https://i.scdn.co/image/ab67616d0000b2730b90632dc3bd28afc7623216","1","1","258653","","false","0","GBBRP1233401","spotify:user:11100324499","2013-12-01T14:32:12Z"
"spotify:track:0gYyyTYIzKeqobVB9Wxkkn","Mr. Gallo","spotify:artist:6G7OerKc3eBO9sVkRNopFC, spotify:artist:2iLhvdFgu082eth68Rwdq2","Cat Power, Steve Shelley","spotify:album:1ZzviUcCxxTTH66SPcoFUm","Dear Sir","spotify:artist:6G7OerKc3eBO9sVkRNopFC","Cat Power","1995","https://i.scdn.co/image/ab67616d0000b273014eddf760a29f39d835876d","1","6","199933","","false","0","USFSF0610176","spotify:user:11100324499","2014-06-27T20:20:03Z"
"spotify:track:3JZ1lBKti1lPPme0On6VWb","Wild","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:3o8PXwaEbXtQMt4DgBNH2L","Bloom","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2012-05-14","https://i.scdn.co/image/ab67616d0000b2730b90632dc3bd28afc7623216","1","2","298320","","false","0","GBBRP1233402","spotify:user:11100324499","2013-12-01T14:32:12Z"
"spotify:track:5qz3v1JbOQGKS1NJQZy6G7","The Sleepwalker","spotify:artist:6G7OerKc3eBO9sVkRNopFC, spotify:artist:2iLhvdFgu082eth68Rwdq2","Cat Power, Steve Shelley","spotify:album:1ZzviUcCxxTTH66SPcoFUm","Dear Sir","spotify:artist:6G7OerKc3eBO9sVkRNopFC","Cat Power","1995","https://i.scdn.co/image/ab67616d0000b273014eddf760a29f39d835876d","1","5","242560","","false","0","USFSF0610175","spotify:user:11100324499","2014-06-27T20:19:59Z"
"spotify:track:1u7fPpNKsWV3WjYqfC161e","Troublemaker","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:3o8PXwaEbXtQMt4DgBNH2L","Bloom","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2012-05-14","https://i.scdn.co/image/ab67616d0000b2730b90632dc3bd28afc7623216","1","6","295546","","false","0","GBBRP1233406","spotify:user:11100324499","2013-12-01T14:32:12Z"
"spotify:track:0rvP3xFlDcLrfFFiGV65V9","Norway","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:5BouX39qnrl5UxjB0Cs3lO","Teen Dream","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2010-01-25","https://i.scdn.co/image/ab67616d0000b2733649e6aad682e87a79bd761d","1","3","234800","","false","0","GBBRP0922503","spotify:user:11100324499","2013-12-01T14:32:16Z"
"spotify:track:2ivfWz7CZoEmJDubA1Xapz","Behind the Garage","spotify:artist:5nzD0ZoeBRaeAZYaPt2DBs","Eric's Trip","spotify:album:74gOgjQfKYBQ2xyMF54y3v","Love Tara","spotify:artist:5nzD0ZoeBRaeAZYaPt2DBs","Eric's Trip","1993-11-01","https://i.scdn.co/image/ab67616d0000b2738eec064dbf291699dc4a2cf1","1","1","192773","","false","0","USSUB0310364","spotify:user:11100324499","2014-10-10T10:20:47Z"
"spotify:track:2ndWbjiiNBEOrlfToKlABE","I Will Follow You into the Dark","spotify:artist:0YrtvWJMgSdVrk3SfNjTbx","Death Cab for Cutie","spotify:album:4guW5WPxFzHrXg04FPC9v9","Plans","spotify:artist:0YrtvWJMgSdVrk3SfNjTbx","Death Cab for Cutie","2005-08-29","https://i.scdn.co/image/ab67616d0000b273977f49e4a7170bdd03fb429b","1","5","189400","https://p.scdn.co/mp3-preview/23999f21b9aaac09c0823d0e7cfed87d530d1276?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USAT20504677","spotify:user:11100324499","2016-08-27T12:19:34Z"
