"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0dpyzcT3RMNNSd2xKBf35I","Be Sweet","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:1uD1kdwTWH1DZQZqGKz6rY","Jubilee","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2021-06-04","https://i.scdn.co/image/ab67616d0000b273b103a69ed742a7735a2ba7e8","1","2","195370","https://p.scdn.co/mp3-preview/03e15d03532aa9fa416e72d65611f1cab3d028b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USJ5G2022502","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-05T20:53:23Z"
"spotify:track:3zyqphgXvgHe436IMKeey3","Paprika","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:1uD1kdwTWH1DZQZqGKz6rY","Jubilee","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2021-06-04","https://i.scdn.co/image/ab67616d0000b273b103a69ed742a7735a2ba7e8","1","1","220316","https://p.scdn.co/mp3-preview/140ccb94e9ddeb8aed31b6da1233e57666e948e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USJ5G2022501","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-05T20:57:02Z"
"spotify:track:0O4sIQ728ugLlwBVaxF8UM","Kokomo, IN","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:1uD1kdwTWH1DZQZqGKz6rY","Jubilee","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2021-06-04","https://i.scdn.co/image/ab67616d0000b273b103a69ed742a7735a2ba7e8","1","3","218744","https://p.scdn.co/mp3-preview/42d4cca53417d22727eaab51311a30481b90881e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USJ5G2022503","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-05T20:57:07Z"
"spotify:track:6dvDU89abVcTMTYleUdrnl","Road Head - Recorded at Spotify Studios NYC","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:132C8QdLHNKEqAUrXiJFlk","Spotify Singles","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2018-04-25","https://i.scdn.co/image/ab67616d0000b2739eac775bd7aba1118f193c38","1","1","198245","https://p.scdn.co/mp3-preview/b3b60a2b9618bf61f252b9a2e90ac95230c15b52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USJ5G1816901","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-06T00:43:29Z"
"spotify:track:4sMJ05OSIYdmHdnxfosvfb","Dreams - Recorded at Spotify Studios NYC","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:132C8QdLHNKEqAUrXiJFlk","Spotify Singles","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2018-04-25","https://i.scdn.co/image/ab67616d0000b2739eac775bd7aba1118f193c38","1","2","279232","https://p.scdn.co/mp3-preview/cea5baf62178c76b97e9b3ded342b0324a4979b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USJ5G1816902","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-06T00:50:08Z"
"spotify:track:3rCSLDwMorMuEV368DjHCx","Say It Ain't So - Recorded At Electric Lady Studios","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:6v1WdsONXHBh8sCWCQWYUJ","Live At Electric Lady","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2021-10-28","https://i.scdn.co/image/ab67616d0000b273beb1ad20ad6f8cd33d3ce525","1","8","257234","https://p.scdn.co/mp3-preview/1a89628d74a18791d16d7dd11516bd4e7e0bebb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USJ5G2131808","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-06T17:02:27Z"
"spotify:track:54FaLGA2BMZYhEoJKanvfq","Be Bold Like Elijah","spotify:artist:4KY9rCrokaoFzvMfX98u1q","IRONTOM","spotify:album:1IwzgK5nzCKEkbHhx9xvwS","Partners","spotify:artist:4KY9rCrokaoFzvMfX98u1q","IRONTOM","2017-05-05","https://i.scdn.co/image/ab67616d0000b27335c28c4ae7e7a8b40022ebdf","1","3","225533","https://p.scdn.co/mp3-preview/4738739fa2ef3830534e4c504cbd8a6e44e5412f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","US4E41742304","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-08T00:57:29Z"
"spotify:track:6EThJr4Dq1Y93JspecGU2F","Cigarette Daydreams","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:0H6DSMuGSRC25Ka7PE4O4q","Melophobia","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2013-10-04","https://i.scdn.co/image/ab67616d0000b2739166a9093ea242eed64d21c6","1","10","208765","","false","21","USRC11301169","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-08T03:37:53Z"
"spotify:track:1BQlFMbF8D0V0gutMmeSaA","Blind My Mind","spotify:artist:1Tz1kM5vFyBpzD22fHW609","Flunk","spotify:album:5CcQRGb2CV6AofHROdyvHg","Morning Star","spotify:artist:1Tz1kM5vFyBpzD22fHW609","Flunk","2004-04-27","https://i.scdn.co/image/ab67616d0000b2737ca0d4479f72b928b15fd412","1","7","276533","https://p.scdn.co/mp3-preview/4bd634b026aa76d44fdff44abed76fc52b23e6e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","NOMEA0404070","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:20:09Z"
"spotify:track:04FMabfJU1KRlcmGi0QcfA","Film Burn (feat. Anomie Belle)","spotify:artist:3Gaqw2nGyE7yM3rcRSzE3U","Yppah","spotify:album:43TynQ6goA4xsoIbM7LVKL","Eighty One","spotify:artist:3Gaqw2nGyE7yM3rcRSzE3U","Yppah","2012-02-11","https://i.scdn.co/image/ab67616d0000b273c5759567e4df405f1984fa0e","1","4","279080","https://p.scdn.co/mp3-preview/a2d5839f7691588ca4ea32d460bb6fe6d49ffd31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","GBCFB1200203","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:24:55Z"
