"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1zFbBrZmJr1Z49HYe84dBg","Harvey","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:3w5PWzbOdhuHd2oTynfBJw","Invitation to Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2018-08-24","https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7","1","1","211165","https://p.scdn.co/mp3-preview/1aacb90ec06cdd3d8adc975cdc05dfa3e7217c0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBYEJ1800003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-31T14:22:46Z"
"spotify:track:5GOVjC32dV7jhi23SbeyWs","Mannie's Smile","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:3w5PWzbOdhuHd2oTynfBJw","Invitation to Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2018-08-24","https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7","1","2","220376","https://p.scdn.co/mp3-preview/e1c5ef84563a02aad43d92d768bc928dbf945e95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBYEJ1800004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-31T14:22:46Z"
"spotify:track:7KO4XNfwEKhTbSGo3O6qX5","If You Know What's Right","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:3w5PWzbOdhuHd2oTynfBJw","Invitation to Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2018-08-24","https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7","1","3","200455","https://p.scdn.co/mp3-preview/2627339bffab59b8ae47ea5ec430079385847447?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBYEJ1800005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-31T14:22:46Z"
"spotify:track:2l7vMv0FwKb7S1OZMkJRP1","Carry the Doubt","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:3w5PWzbOdhuHd2oTynfBJw","Invitation to Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2018-08-24","https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7","1","4","281321","https://p.scdn.co/mp3-preview/27520feb362d7a0e331fde4d2c4a6ebe5106ea53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBYEJ1800006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-31T14:22:46Z"
"spotify:track:7iDeRCT8iKSQGzgeqjYezp","Low Beam","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:3w5PWzbOdhuHd2oTynfBJw","Invitation to Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2018-08-24","https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7","1","5","268834","https://p.scdn.co/mp3-preview/1c8eb888d8c3044b3d0df2b71bc1c49fd0b296db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBYEJ1800007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-31T14:22:46Z"
"spotify:track:3N5XFFh2FJOegILjRLRQTg","Breathing Easy","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:3w5PWzbOdhuHd2oTynfBJw","Invitation to Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2018-08-24","https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7","1","6","289370","https://p.scdn.co/mp3-preview/87781d496504d12b985c65bf413a758835717fae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBYEJ1800008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-31T14:22:46Z"
"spotify:track:6RG8y3WSNUE3DcIC3eQCXO","Blue Lips","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:3w5PWzbOdhuHd2oTynfBJw","Invitation to Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2018-08-24","https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7","1","7","222062","https://p.scdn.co/mp3-preview/eb06adfa92da1bd0d06d56d4d76b9ef123a1d800?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBYEJ1800009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-31T14:22:46Z"
"spotify:track:1NjzNt18LlNTuJYErYGvbQ","She Needs Him","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:3w5PWzbOdhuHd2oTynfBJw","Invitation to Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2018-08-24","https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7","1","8","314390","https://p.scdn.co/mp3-preview/9bc0a85dd37990eff915b482358de98c56c106fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBYEJ1800010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-31T14:22:46Z"
"spotify:track:1f1WvgLY6m8NeAT16sxBYz","Love on the Line (Call Now)","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:3w5PWzbOdhuHd2oTynfBJw","Invitation to Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2018-08-24","https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7","1","9","190223","https://p.scdn.co/mp3-preview/e7c4714edf5ecbc850ac310fea66ecfd9d3335b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBYEJ1800002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-31T14:22:46Z"
"spotify:track:3zjvduyGhyBKYCVHGn6E74","Don't Think It Over","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:3w5PWzbOdhuHd2oTynfBJw","Invitation to Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2018-08-24","https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7","1","10","246362","https://p.scdn.co/mp3-preview/570c39850adaa7d06216fde127a00e1713bfd92f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBYEJ1800011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-31T14:22:46Z"
