"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5FjS9dziGTBy1MQikm4u0h","Shinto Shrine","spotify:artist:71jzN72g8qWMCMkWC5p1Z0","Alexandre Desplat","spotify:album:2sRgBoyJw5DaxNjQHzZwiP","Isle Of Dogs (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-03-23","https://i.scdn.co/image/ab67616d0000b273007b40d415e58b74f1a913c1","1","1","116040","","false","27","USA171891001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-20T22:39:04Z"
"spotify:track:3vgVRcDTE0P1B4IPIwf9Oh","Taiko Drumming","spotify:artist:2eLOXrpLWLjR5NoQ2qPzcx","Kaoru Watanabe","spotify:album:2sRgBoyJw5DaxNjQHzZwiP","Isle Of Dogs (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-03-23","https://i.scdn.co/image/ab67616d0000b273007b40d415e58b74f1a913c1","1","2","50573","","false","31","USA171891016","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-20T22:39:04Z"
"spotify:track:2l783PXOi1dWAzhE2wcpJ1","The Municipal Dome","spotify:artist:71jzN72g8qWMCMkWC5p1Z0","Alexandre Desplat","spotify:album:2sRgBoyJw5DaxNjQHzZwiP","Isle Of Dogs (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-03-23","https://i.scdn.co/image/ab67616d0000b273007b40d415e58b74f1a913c1","1","3","149120","","false","24","USA171891002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-20T22:39:04Z"
"spotify:track:0tuXs3nbJgFLp7WJNkjXak","Six Months Later + Dog Fight","spotify:artist:71jzN72g8qWMCMkWC5p1Z0","Alexandre Desplat","spotify:album:2sRgBoyJw5DaxNjQHzZwiP","Isle Of Dogs (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-03-23","https://i.scdn.co/image/ab67616d0000b273007b40d415e58b74f1a913c1","1","4","125173","","false","26","USA171891003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-20T22:39:04Z"
"spotify:track:4EOMVpTl9XnHSartmTn3qO","The Hero Pack","spotify:artist:71jzN72g8qWMCMkWC5p1Z0","Alexandre Desplat","spotify:album:2sRgBoyJw5DaxNjQHzZwiP","Isle Of Dogs (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-03-23","https://i.scdn.co/image/ab67616d0000b273007b40d415e58b74f1a913c1","1","5","68173","","false","22","USA171891004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-20T22:39:04Z"
"spotify:track:27Wc4HSugwaWT3xr4I82Ja","First Crash-Landing","spotify:artist:71jzN72g8qWMCMkWC5p1Z0","Alexandre Desplat","spotify:album:2sRgBoyJw5DaxNjQHzZwiP","Isle Of Dogs (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-03-23","https://i.scdn.co/image/ab67616d0000b273007b40d415e58b74f1a913c1","1","6","56080","","false","22","USA171891005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-20T22:39:04Z"
"spotify:track:5QqKKNkWqg6x8H6anWx80W","Kanbei & Katsushiro - Kikuchiyo's Mambo - from ""Seven Samurai""","spotify:artist:5V50uubs0jS2e4Noph5fgJ","Toho Symphony Orchestra","spotify:album:2sRgBoyJw5DaxNjQHzZwiP","Isle Of Dogs (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-03-23","https://i.scdn.co/image/ab67616d0000b273007b40d415e58b74f1a913c1","1","7","52800","","false","23","USA171891018","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-20T22:39:04Z"
"spotify:track:6lFUAZML9nQCSpAJy0CLT0","Second Crash-Landing + Bath House + Beach Attack","spotify:artist:71jzN72g8qWMCMkWC5p1Z0","Alexandre Desplat","spotify:album:2sRgBoyJw5DaxNjQHzZwiP","Isle Of Dogs (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-03-23","https://i.scdn.co/image/ab67616d0000b273007b40d415e58b74f1a913c1","1","8","247026","","false","22","USA171891006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-20T22:39:04Z"
"spotify:track:6KRW1kTeadAvwmCWQQx54y","Nutmeg","spotify:artist:71jzN72g8qWMCMkWC5p1Z0","Alexandre Desplat","spotify:album:2sRgBoyJw5DaxNjQHzZwiP","Isle Of Dogs (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-03-23","https://i.scdn.co/image/ab67616d0000b273007b40d415e58b74f1a913c1","1","9","48333","","false","22","USA171891007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-20T22:39:04Z"
"spotify:track:2cgvjnWLRLLaYWp702zzYV","Kosame No Oka - from ""Drunken Angel""","spotify:artist:1NFp8ZC8xAgoLnvLBxhrS5","David Mansfield","spotify:album:2sRgBoyJw5DaxNjQHzZwiP","Isle Of Dogs (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-03-23","https://i.scdn.co/image/ab67616d0000b273007b40d415e58b74f1a913c1","1","10","66640","","false","27","USA171891019","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-20T22:39:04Z"
"spotify:track:6Y5tYlbDMhAV1ACAOK1Hpf","I Won't Hurt You","spotify:artist:2z4eiJkDaXYCR9kv2UuSgz","The West Coast Pop Art Experimental Band","spotify:album:2sRgBoyJw5DaxNjQHzZwiP","Isle Of Dogs (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-03-23","https://i.scdn.co/image/ab67616d0000b273007b40d415e58b74f1a913c1","1","11","143733","","false","0","USRE10601415","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-20T22:39:04Z"
