"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5GkByWawjHIN9OqkCxZFgh","And That, Too.","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","spotify:album:6R7CVG0kOF7h0NLg10ezpZ","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b273f6c8d14a6c5306b1cc3c3ba9","1","1","271570","","false","0","USD8D1634001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:43:02Z"
"spotify:track:4bYhDSjJBBYlnOytuzA56d","Speaking Gently","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","spotify:album:6R7CVG0kOF7h0NLg10ezpZ","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b273f6c8d14a6c5306b1cc3c3ba9","1","2","247839","","false","0","USD8D1634002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:43:02Z"
"spotify:track:4eVUPMhqGFcmxo6cjv9KqA","Time Moves Slow","spotify:artist:65dGLGjkw3UbddUg2GKQoZ, spotify:artist:6K4I1MPd7m8IztUdtrF4YU","BADBADNOTGOOD, Samuel T. Herring","spotify:album:6R7CVG0kOF7h0NLg10ezpZ","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b273f6c8d14a6c5306b1cc3c3ba9","1","3","273864","","false","0","USD8D1634003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:43:02Z"
"spotify:track:1KZtRHgCAyXE19RHUySWdY","Confessions Pt II","spotify:artist:65dGLGjkw3UbddUg2GKQoZ, spotify:artist:4G6HhUUQ1LgyYnA2WJppf8","BADBADNOTGOOD, Colin Stetson","spotify:album:6R7CVG0kOF7h0NLg10ezpZ","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b273f6c8d14a6c5306b1cc3c3ba9","1","4","384717","","false","0","USD8D1634004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:43:02Z"
"spotify:track:6iPEiWr7OSz8qyu9wJPOtX","Lavender","spotify:artist:65dGLGjkw3UbddUg2GKQoZ, spotify:artist:6qgnBH6iDM91ipVXv28OMu","BADBADNOTGOOD, KAYTRANADA","spotify:album:6R7CVG0kOF7h0NLg10ezpZ","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b273f6c8d14a6c5306b1cc3c3ba9","1","5","200438","","false","0","USD8D1634005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:43:02Z"
"spotify:track:61EV24btdMJbACOq9mp2qT","Chompy's Paradise","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","spotify:album:6R7CVG0kOF7h0NLg10ezpZ","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b273f6c8d14a6c5306b1cc3c3ba9","1","6","231681","","false","0","USD8D1634006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:43:02Z"
"spotify:track:3qYsqCyIMyvnBA8CZPVLsE","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","spotify:album:6R7CVG0kOF7h0NLg10ezpZ","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b273f6c8d14a6c5306b1cc3c3ba9","1","7","419247","","false","0","USD8D1634007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:43:02Z"
"spotify:track:3bbXUxLDPPuwl7DTyO6PBd","Hyssop of Love","spotify:artist:65dGLGjkw3UbddUg2GKQoZ, spotify:artist:1FvjvACFvko2Z91IvDljrx","BADBADNOTGOOD, Mick Jenkins","spotify:album:6R7CVG0kOF7h0NLg10ezpZ","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b273f6c8d14a6c5306b1cc3c3ba9","1","8","195643","","false","0","USD8D1634008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:43:02Z"
"spotify:track:79eLu4qjNomEpN4Frkvs0u","Structure No. 3","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","spotify:album:6R7CVG0kOF7h0NLg10ezpZ","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b273f6c8d14a6c5306b1cc3c3ba9","1","9","248790","","false","0","USD8D1634009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:43:02Z"
"spotify:track:1Xm0HkaGqf0LDouD9Qmo2X","In Your Eyes","spotify:artist:65dGLGjkw3UbddUg2GKQoZ, spotify:artist:3GQboECxDT1xqPPWC30p7v","BADBADNOTGOOD, Charlotte Day Wilson","spotify:album:6R7CVG0kOF7h0NLg10ezpZ","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b273f6c8d14a6c5306b1cc3c3ba9","1","10","247054","","false","0","USD8D1634010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T17:43:02Z"
