"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6EqF11d0EPJwVynLXu3gvY","Dance Now (with Kenny Mason)","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:4mwdnO2jZrMmMVrjcHsZBv","JID, Kenny Mason","spotify:album:5eROy9EU4485zbdxulTQ8U","Dance Now (with Kenny Mason)","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:4mwdnO2jZrMmMVrjcHsZBv","JID, Kenny Mason","2022-08-09","https://i.scdn.co/image/ab67616d0000b273ec7c831cbf5d1d54400792f6","1","1","227555","","true","2","USUM72214376","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-31T20:50:34Z"
"spotify:track:1BzXvBpIFWJgu0P8P6xmP4","Stick (with JID & J. Cole feat. Kenny Mason & Sheck Wes)","spotify:artist:1iNqsUDUraNWrj00bqssQG, spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:6l3HvQ5sa6mXTsMTB19rO5, spotify:artist:4mwdnO2jZrMmMVrjcHsZBv, spotify:artist:2RDOrhPqAM4jzTRCEb19qX","Dreamville, JID, J. Cole, Kenny Mason, Sheck Wes","spotify:album:3tFjhFPqGhhLrCULnPu7Wy","D-Day: A Gangsta Grillz Mixtape","spotify:artist:1iNqsUDUraNWrj00bqssQG, spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","Dreamville, J. Cole","2022-03-31","https://i.scdn.co/image/ab67616d0000b273580d8d4b0061e5a244c86c77","1","1","309322","","true","69","USUM72205221","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-31T21:00:19Z"
"spotify:track:22WV03i2lBbwNVCE1g671p","151 Rum","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:2oI6gtIXrvNiL2VEMmj5kY","DiCaprio 2","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2018-11-26","https://i.scdn.co/image/ab67616d0000b273f5991f6f1f0de2277bb8d948","1","5","156780","","true","73","USUM71814285","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-31T21:02:08Z"
"spotify:track:4vmqU3xlzuhxtaeXrtAX1F","EdEddnEddy","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","4","140511","","true","62","USUM71701758","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-31T21:02:31Z"
"spotify:track:0l7uQ6vQcYxjqbjRbDH2HW","Off Da Zoinkys","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:2oI6gtIXrvNiL2VEMmj5kY","DiCaprio 2","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2018-11-26","https://i.scdn.co/image/ab67616d0000b273f5991f6f1f0de2277bb8d948","1","6","208569","","true","60","USUM71816015","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-31T21:07:44Z"
"spotify:track:7hsulgRNgbyczeAg8tChCB","NEVER","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","3","241682","","true","65","USUM71615106","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-31T21:08:55Z"
"spotify:track:7hnXGKHrBw24S9Ptry3cd4","Underwear","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","8","214415","","true","46","USUM71701762","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-31T21:17:48Z"
"spotify:track:3eKVubySb5Se7k2evSoT32","Somebody","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","11","215902","","true","48","USUM71701767","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-31T21:21:59Z"
"spotify:track:6b1uvC2GnPm4wNsHaOlZM7","Can’t Punk Me (feat. EARTHGANG)","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:5MbNzCW3qokGyoo9giHA3V","JID, EARTHGANG","spotify:album:3QVjpIxcksDkJmOnvlOJjg","The Forever Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2022-08-26","https://i.scdn.co/image/ab67616d0000b2736de37e432e720323f4e31edc","1","5","203377","","true","5","USUM72214819","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T22:51:00Z"
"spotify:track:4iMzpYxUO5RiZkGmNKRCMh","Kody Blu 31","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:3QVjpIxcksDkJmOnvlOJjg","The Forever Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2022-08-26","https://i.scdn.co/image/ab67616d0000b2736de37e432e720323f4e31edc","1","7","224629","","true","3","USUM72214816","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T22:57:03Z"
"spotify:track:60pZpM5WjUBQvaQ5E37XW6","Bruddanem (feat. Lil Durk)","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:3hcs9uc56yIGFCSy9leWe7","JID, Lil Durk","spotify:album:3QVjpIxcksDkJmOnvlOJjg","The Forever Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2022-08-26","https://i.scdn.co/image/ab67616d0000b2736de37e432e720323f4e31edc","1","8","235423","","true","3","USUM72214820","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T23:05:05Z"
"spotify:track:2RXn2FXwRVlHDrs0CZnWEi","Money","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:3QVjpIxcksDkJmOnvlOJjg","The Forever Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2022-08-26","https://i.scdn.co/image/ab67616d0000b2736de37e432e720323f4e31edc","1","13","266345","","true","2","USUM72200952","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T23:44:59Z"
"spotify:track:6QwJurtbHqyeVda0fhWV2B","Sistanem","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:3QVjpIxcksDkJmOnvlOJjg","The Forever Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2022-08-26","https://i.scdn.co/image/ab67616d0000b2736de37e432e720323f4e31edc","1","9","369778","","true","2","USUM72214821","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-05T23:52:59Z"
