"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:40ipXULIh7f6sRP8CSjL1D","The Shadow of Your Smile - Remastered","spotify:artist:0ldU0QJm31y0d6f57R1G2A, spotify:artist:3RsROIs1zuuC3lwIdhJ0if","Oscar Peterson Trio, The Singers Unlimited","spotify:album:0oTtARc2WdGccztaqhghPW","In Tune (Remastered Anniversary Edition)","spotify:artist:0ldU0QJm31y0d6f57R1G2A, spotify:artist:3RsROIs1zuuC3lwIdhJ0if","Oscar Peterson Trio, The Singers Unlimited","2014-01-31","https://i.scdn.co/image/ab67616d0000b2738aa7e9b1b2d2d780c441733b","1","6","269943","https://p.scdn.co/mp3-preview/ee86393d8159ba285cd764755fcba79cd1335a18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","DEA117100340","spotify:user:11129212033","2020-01-13T10:33:52Z"
"spotify:track:3BF3uROPt95X3X7ZixXFRC","Waltz For Debby","spotify:artist:5v74mT11KGJqadf9sLw4dA, spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Cannonball Adderley, Bill Evans","spotify:album:6u8Ort30hKbxtKurrQlJhX","Know What I Mean? [Original Jazz Classics Remasters]","spotify:artist:5v74mT11KGJqadf9sLw4dA, spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Cannonball Adderley, Bill Evans","1961","https://i.scdn.co/image/ab67616d0000b27391b6aee3974e905a5fc73728","1","1","317986","","false","40","USC4R1016878","spotify:user:11129212033","2020-01-13T10:34:14Z"
"spotify:track:6UVl12QoQEOGjJCocfBJyn","Goodbye","spotify:artist:5v74mT11KGJqadf9sLw4dA, spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Cannonball Adderley, Bill Evans","spotify:album:6u8Ort30hKbxtKurrQlJhX","Know What I Mean? [Original Jazz Classics Remasters]","spotify:artist:5v74mT11KGJqadf9sLw4dA, spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Cannonball Adderley, Bill Evans","1961","https://i.scdn.co/image/ab67616d0000b27391b6aee3974e905a5fc73728","1","2","377546","","false","44","USC4R1016879","spotify:user:11129212033","2020-01-13T10:34:20Z"
"spotify:track:0X5DcGkbxCXSadgj01ZXd7","Autumn Leaves","spotify:artist:5v74mT11KGJqadf9sLw4dA","Cannonball Adderley","spotify:album:3Wu0chxAm4GxSeRnIIf2Om","Somethin' Else (Rudy Van Gelder Edition)","spotify:artist:5v74mT11KGJqadf9sLw4dA","Cannonball Adderley","1958","https://i.scdn.co/image/ab67616d0000b2730f81ed1bf84b3585a8492d3d","1","1","659520","","false","58","USBN29800870","spotify:user:11129212033","2020-01-13T10:34:32Z"
"spotify:track:4vLYewWIvqHfKtJDk8c8tq","So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4, spotify:artist:2hGh5VOeeqimQFxqXvfCUf, spotify:artist:5v74mT11KGJqadf9sLw4dA, spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans","spotify:album:4sb0eMpDn3upAFfyi4q2rw","Kind Of Blue (Legacy Edition)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1959-08-17","https://i.scdn.co/image/ab67616d0000b2730ebc17239b6b18ba88cfb8ca","1","1","562640","https://p.scdn.co/mp3-preview/d1a1a7b585e7bcf9becc2ab44938f6399fe90659?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USSM15900113","spotify:user:11129212033","2020-01-13T10:34:54Z"
"spotify:track:5o3DSHw1ORhM3lWxqGRvEf","All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4, spotify:artist:2hGh5VOeeqimQFxqXvfCUf, spotify:artist:5v74mT11KGJqadf9sLw4dA, spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans","spotify:album:4sb0eMpDn3upAFfyi4q2rw","Kind Of Blue (Legacy Edition)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1959-08-17","https://i.scdn.co/image/ab67616d0000b2730ebc17239b6b18ba88cfb8ca","1","4","692746","https://p.scdn.co/mp3-preview/7ac7e22a838da835e0ca6abe61f5b646b90f14b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USSM15900116","spotify:user:11129212033","2020-01-13T10:34:59Z"
"spotify:track:6ZgaUtMlUzUf7SqbUUnfbu","Blue Train - Remastered 2003/Rudy Van Gelder Edition","spotify:artist:2hGh5VOeeqimQFxqXvfCUf","John Coltrane","spotify:album:4vIJFprkZ7vyN6nhcBgQmG","Blue Train (Expanded Edition)","spotify:artist:2hGh5VOeeqimQFxqXvfCUf","John Coltrane","1958","https://i.scdn.co/image/ab67616d0000b27301ffa1c7915624b95b9065e0","1","1","644013","","false","53","USBN20300528","spotify:user:11129212033","2020-01-13T10:35:19Z"
"spotify:track:3ZikLQCnH3SIswlGENBcKe","My Favorite Things","spotify:artist:2hGh5VOeeqimQFxqXvfCUf","John Coltrane","spotify:album:3nLStxdTkSzihxm7FTLzCP","My Favorite Things","spotify:artist:2hGh5VOeeqimQFxqXvfCUf","John Coltrane","1961","https://i.scdn.co/image/ab67616d0000b273c00913832628c23c7952ae7b","1","1","824133","https://p.scdn.co/mp3-preview/f5c11004f9f6e5d44398a33ce77a60139fd5e9a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USAT20002141","spotify:user:11129212033","2020-01-13T10:35:45Z"
"spotify:track:1YQWosTIljIvxAgHWTp7KP","Take Five","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","spotify:album:0nTTEAhCZsbbeplyDMIFuA","Time Out","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","1959-12-14","https://i.scdn.co/image/ab67616d0000b27300ace5d3c5bffc123ef1eb51","1","3","324133","https://p.scdn.co/mp3-preview/eb37af1ddf50ffaa177884c1a62fc669e69dd472?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM15900108","spotify:user:11129212033","2020-01-13T10:36:00Z"
"spotify:track:15tLhnzO4o8fMOEjdZGfII","Bitches Brew (feat. Wayne Shorter, Bennie Maupin, John McLaughlin, Chick Corea, Joe Zawinul, Dave Holland & Harvey Brooks)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4, spotify:artist:0ZqhrTXYPA9DZR527ZnFdO, spotify:artist:2mv4xHxofvyWTp2ViBqgZb, spotify:artist:4v0R1feRiuCDch7aAheVhY, spotify:artist:5olDKSsFhhmwh8UCWwKtpq, spotify:artist:3DkK9XA1CI1i7U7ovpAo1G, spotify:artist:1bqaQBqbqbEXPxLF0v6AAH, spotify:artist:6gAEBctgtvDuvkXInMa0Zu","Miles Davis, Wayne Shorter, Bennie Maupin, John McLaughlin, Chick Corea, Joe Zawinul, Dave Holland, Harvey Brooks","spotify:album:3Q0zkOZEOC855ErOOJ1AdO","Bitches Brew","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1970-04","https://i.scdn.co/image/ab67616d0000b2733f29c5269be5a4e9c4611d7a","1","2","1619373","https://p.scdn.co/mp3-preview/3369fb759995e037f37e6afe3a7a92c129be5247?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USSM16900316","spotify:user:11129212033","2020-01-13T12:27:17Z"
