"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2GDgNvoRtQm8utLxPb4Uac","Heebie Jeebies","spotify:artist:2mflSlnegn3rBmzsh08OcN","The Boswell Sisters","spotify:album:7epUsne9Y7UlH9KnEMvV5q","The Best of the Boswell Sisters","spotify:artist:2mflSlnegn3rBmzsh08OcN","The Boswell Sisters","2014-11-05","https://i.scdn.co/image/ab67616d0000b273c339506e0f92338e268b4dc3","1","31","159720","","false","0","QM6N21491812","spotify:user:1252393190","2015-12-07T15:53:51Z"
"spotify:track:4Ill5k05hbnrKMLaQf927A","Tea For Two","spotify:artist:26vAEAV08relvScS4FUsIt","Benny Goodman Quartet","spotify:album:6l93z0NFiqz4ASFNMqCfC2","Greatest Hits","spotify:artist:1pBuKaLHJlIlqYxQQaflve","Benny Goodman","1996-04-14","https://i.scdn.co/image/ab67616d0000b273effac632e6cae57f0ba00594","1","12","186506","https://p.scdn.co/mp3-preview/0f0de9ee53bdd72f49dd293430cd9a8ac2df9314?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","USBB10000291","spotify:user:1252393190","2015-12-07T15:53:25Z"
"spotify:track:1Wkf1bEoPsn5L1aYfX1q77","Somebody Loves Me","spotify:artist:7il5MMdORy6JoYnqxFPKqE","Bud Powell Trio","spotify:album:2BD7m96BUUjph5l3eghXZ6","Inner Fires","spotify:artist:570vCzcespB48HIQyTbDO6","Bud Powell","1953","https://i.scdn.co/image/ab67616d0000b2730ef6870c59ea1e0fbfaa249f","1","2","227906","https://p.scdn.co/mp3-preview/693b442eb707c22ff6c765704e96ba597329f6ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USEE10502859","spotify:user:1252393190","2015-12-07T15:55:09Z"
"spotify:track:0x6sKpnFZk8t7Gczphrkfu","Out Of Nowhere - 1931 Single Version","spotify:artist:6ZjFtWeHP9XN7FeKSUe80S","Bing Crosby","spotify:album:64ci0pbx4szzwUCzTqm9hR","Gold","spotify:artist:6ZjFtWeHP9XN7FeKSUe80S","Bing Crosby","2008-01-01","https://i.scdn.co/image/ab67616d0000b2739e79a415f0388f8ff5b34acd","1","1","186013","","false","13","USMC13100983","spotify:user:1252393190","2016-04-26T16:50:04Z"
"spotify:track:52JGqxCh1Qy6KASynDnzqm","Such Sweet Thunder (Cleo)","spotify:artist:4F7Q5NV6h5TSwCainz8S5A","Duke Ellington","spotify:album:7kmucvUNKT5lgRo0MI8t0g","The Complete Columbia Studio Albums Collection 1951-1958","spotify:artist:4F7Q5NV6h5TSwCainz8S5A","Duke Ellington","1956","https://i.scdn.co/image/ab67616d0000b273bd10ef2bdb57cff5b4d7fd11","5","1","199866","","false","0","USSM15700547","spotify:user:1252393190","2015-12-07T15:54:08Z"
"spotify:track:7oTDuYHa8B8M6MpfR68oGy","Honky Tonk Train Blues","spotify:artist:7MiRMD4od8lrhJ8sd0etP0","Meade ""Lux"" Lewis","spotify:album:1jSzHpZAFbYSvzGq6mKmQ2","The Very Best Of Boogie Woogie","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1937-01-01","https://i.scdn.co/image/ab67616d0000b273b431545ded22c02473398001","1","2","178000","https://p.scdn.co/mp3-preview/e12df27fb955bddb2c9d63e063afef0319ca25c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USA560649287","spotify:user:1252393190","2015-12-07T15:52:54Z"
"spotify:track:18mXTdgGHzJ0gLGIurKjdp","'Tain't What You Do (It's The Way That Cha Do It)","spotify:artist:5V0MlUE1Bft0mbLlND7FJz, spotify:artist:7AgtFmxbJL1wDbp7yYrzQb","Ella Fitzgerald, Chick Webb","spotify:album:5ujUqU9gjUUYu2WNp7p5hW","Swingsation: Ella Fitzgerald With Chick Webb","spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Ella Fitzgerald","1998-01-01","https://i.scdn.co/image/ab67616d0000b2735498dcb614a3f8a817055c3a","1","17","180066","","false","0","USWWW0123554","spotify:user:1252393190","2015-12-07T15:53:36Z"
"spotify:track:4Wq8HlQgd0mXYYD7zf9DPP","Lester Leaps In (feat. Lester Young)","spotify:artist:2jFZlvIea42ZvcCw4OeEdA, spotify:artist:05E3NBxNMdnrPtxF9oraJm","Count Basie, Lester Young","spotify:album:5FvCNBPY1BxFQD09nHLrQJ","The Essential Count Basie","spotify:artist:2jFZlvIea42ZvcCw4OeEdA","Count Basie","2014-03-07","https://i.scdn.co/image/ab67616d0000b2730550844027c45379f02d45cf","1","20","191106","https://p.scdn.co/mp3-preview/d0e8185d4f31168e01a700715663fbbc9f76d248?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USSM10014544","spotify:user:1252393190","2015-12-07T15:58:35Z"
"spotify:track:22D0KcPQiEPuE3BV6vvaKj","A-Tisket, A-Tasket","spotify:artist:5V0MlUE1Bft0mbLlND7FJz, spotify:artist:7AgtFmxbJL1wDbp7yYrzQb","Ella Fitzgerald, Chick Webb","spotify:album:0Za01yhE8IKarwv6IU9R15","Ella Fitzgerald: Ken Burns's Jazz","spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Ella Fitzgerald","2000-01-01","https://i.scdn.co/image/ab67616d0000b2736986bd03a3e930e85c04071f","1","1","160066","","false","0","USWWW0141304","spotify:user:1252393190","2016-04-26T16:49:23Z"
"spotify:track:78qBcKFt1dOqsweHvLPdhu","Blue Skies","spotify:artist:1pBuKaLHJlIlqYxQQaflve","Benny Goodman","spotify:album:112IA8UHsVyD8GbtVfeY6v","More Big Band Greatest Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1998-10-10","https://i.scdn.co/image/ab67616d0000b27383fee1e7fe985eb601221d0e","1","2","214866","https://p.scdn.co/mp3-preview/8c64ce5c2ddf18a535d576f90925a3a894012579?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","USBB19800876","spotify:user:1252393190","2015-12-07T15:53:31Z"
