"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0tcvdK74etHHO0HRGJ8eHG","Cutthroat Collapse","spotify:artist:4feAxLUxIU7G4KXhH0h2ni","Emery","spotify:album:2Rf4kIUntaPGz0Pr7AOrtn","In Shallow Seas We Sail","spotify:artist:4feAxLUxIU7G4KXhH0h2ni","Emery","2009-01-01","https://i.scdn.co/image/ab67616d0000b273e1914997dde99b3628b5b72b","1","1","204093","","false","34","USTN10900038","spotify:user:11100324499","2021-10-09T18:40:39Z"
"spotify:track:4TnPmXU7KVmHZ51hXXn5Hv","This Could Be Anywhere in the World","spotify:artist:53RsXctnNmj9oKXvcbvzI2","Alexisonfire","spotify:album:424kD6zJhvykdQsTXe9Zcl","Crisis","spotify:artist:53RsXctnNmj9oKXvcbvzI2","Alexisonfire","2006-08-22","https://i.scdn.co/image/ab67616d0000b27348a530da393aaa1ad196277f","1","2","243853","https://p.scdn.co/mp3-preview/8e209c97865906ffe3f30a9da185d1e652d7a5ab?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","CADE70901043","spotify:user:11100324499","2021-10-09T18:31:11Z"
"spotify:track:1ffNKr5A2uIG9cP1SU7NcN","Sure","spotify:artist:68tKVjVvcqUfKFFLr2j0Ek","Emarosa","spotify:album:0dqEQJHRytyvp3ZN0zH58C","131","spotify:artist:68tKVjVvcqUfKFFLr2j0Ek","Emarosa","2016-07-08","https://i.scdn.co/image/ab67616d0000b273efaca3185b8a0bc045c2ea9a","1","3","234446","https://p.scdn.co/mp3-preview/4a450c279082ee9f37f2d76bbf77359cef25e5b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USHR21610503","spotify:user:11100324499","2021-10-09T18:37:41Z"
"spotify:track:1ir5oMNuxrNeCwUJFaEyum",".44 Caliber Love Letter","spotify:artist:53RsXctnNmj9oKXvcbvzI2","Alexisonfire","spotify:album:49lCvR6PcufVwZtJJVu5uC","Alexisonfire","spotify:artist:53RsXctnNmj9oKXvcbvzI2","Alexisonfire","2002-10-31","https://i.scdn.co/image/ab67616d0000b273bc44af9aa44cf751fc6f18e1","1","1","271255","https://p.scdn.co/mp3-preview/15aa3d3af4f6690dd06ade0e8c76b33162b39a3a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","CADE70901066","spotify:user:11100324499","2021-10-09T18:33:14Z"
"spotify:track:0ZQtCXF4oA6vz4W7A9iDT0","Side Walk When She Walks","spotify:artist:53RsXctnNmj9oKXvcbvzI2","Alexisonfire","spotify:album:4ttDpnKRfaMdwCt6Zp9qJd","""Watch out!""","spotify:artist:53RsXctnNmj9oKXvcbvzI2","Alexisonfire","2004-06-01","https://i.scdn.co/image/ab67616d0000b2736ba44db50ec9ea858b3895ce","1","4","262093","https://p.scdn.co/mp3-preview/4717227035caa4ca6c3802c763e0cd125e5b723d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","CADE70901058","spotify:user:11100324499","2021-10-09T18:33:15Z"
"spotify:track:6VKP3Aru2I3OXMQX2yaMWX","All That's Left","spotify:artist:3NChzMpu9exTlNPiqUQ2DE","Thrice","spotify:album:7yu7B1B8O07jAFAZEFSRXA","The Artist In The Ambulance","spotify:artist:3NChzMpu9exTlNPiqUQ2DE","Thrice","2003-01-01","https://i.scdn.co/image/ab67616d0000b2730bcd7ee4590cc999e3a529fe","1","3","199880","","false","50","USIR20300252","spotify:user:11100324499","2021-10-09T18:33:43Z"
"spotify:track:3ybttms1Zl5kfsSl2QxIbP","The Past Should Stay Dead","spotify:artist:68tKVjVvcqUfKFFLr2j0Ek","Emarosa","spotify:album:42QT0gBnEJbmo10gAL1m32","Relativity","spotify:artist:68tKVjVvcqUfKFFLr2j0Ek","Emarosa","2008-07-08","https://i.scdn.co/image/ab67616d0000b273799fbe75a39c8bbb51dfed7f","1","1","273653","https://p.scdn.co/mp3-preview/d58ad6feb968fcc0f164d8e910c2e17838dbd75f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USEK70806601","spotify:user:11100324499","2021-10-09T18:36:20Z"
"spotify:track:522Ujz4WQ0i2YjQk1eWOch","We Are the Sound","spotify:artist:53RsXctnNmj9oKXvcbvzI2","Alexisonfire","spotify:album:424kD6zJhvykdQsTXe9Zcl","Crisis","spotify:artist:53RsXctnNmj9oKXvcbvzI2","Alexisonfire","2006-08-22","https://i.scdn.co/image/ab67616d0000b27348a530da393aaa1ad196277f","1","5","220440","https://p.scdn.co/mp3-preview/6f0f19c115057b97bd96f9357cf1975d388be656?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","CADE70901046","spotify:user:11100324499","2021-10-09T18:34:03Z"
"spotify:track:47IWLfIKOKhFnz1FUEUIkE","A Boy Brushed Red Living In Black And White","spotify:artist:3GzWhE2xadJiW8MqRKIVSK","Underoath","spotify:album:5GeXnKDk6sD6RnkPVwFi19","They're Only Chasing Safety","spotify:artist:3GzWhE2xadJiW8MqRKIVSK","Underoath","2004-01-01","https://i.scdn.co/image/ab67616d0000b273c05f1b9f41f21afa225ce2ae","1","2","268000","","false","64","USTN10422712","spotify:user:11100324499","2021-10-09T18:39:15Z"
"spotify:track:0pQkFNB3Me4txM5jaKGwXh","Blueprints For Future Homes","spotify:artist:55b0Gfm53udtGBs8mmNXrH","Norma Jean","spotify:album:7ju4BQgiknmVAQSb2V3vky","Redeemer","spotify:artist:55b0Gfm53udtGBs8mmNXrH","Norma Jean","2006-01-01","https://i.scdn.co/image/ab67616d0000b273f31dc48d0c7f7aeb53e56775","1","2","169066","","false","43","USTN10600146","spotify:user:11100324499","2021-10-09T18:43:14Z"
