"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5sIBOrRLBI6ypREdEPj2wQ","All I Want Is You","spotify:artist:6MUxF4ehonXZ8Q6YMFI2xb","Barry Louis Polisar","spotify:album:3Dm3Kc5oOFtesVJe5TF1HG","Juno - Music From The Motion Picture","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-12-11","https://i.scdn.co/image/ab67616d0000b273f9fd1589487315c55b0a1280","1","1","157586","https://p.scdn.co/mp3-preview/4f4ef7f0a39fd6c6a01c694c30ae984dd51868f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USHM20549800","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-11T23:13:58Z"
"spotify:track:6lJ2hcFUOJaIA38pLFGYVy","Desert Holes","spotify:artist:51nmy38LUqhvYcopN8me7G","Mark and Elliot","spotify:album:33KKzEe3hybpngQqvecv0U","Mark and Elliot","spotify:artist:51nmy38LUqhvYcopN8me7G","Mark and Elliot","2021-08-27","https://i.scdn.co/image/ab67616d0000b273f00dbb2cd0e29ab1e676726e","1","2","170895","https://p.scdn.co/mp3-preview/ae177d71ef9780bf9dd7af146c01b1cc60d9c1fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","QZMEN2105630","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-11T23:14:03Z"
"spotify:track:5pe06L234At8UbvdKLJldT","Tire Swing","spotify:artist:5PPCkoOKabpGGhqrUwSikz","Kimya Dawson","spotify:album:3Dm3Kc5oOFtesVJe5TF1HG","Juno - Music From The Motion Picture","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-12-11","https://i.scdn.co/image/ab67616d0000b273f9fd1589487315c55b0a1280","1","6","187413","","false","0","USK110617501","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-11T23:21:23Z"
"spotify:track:7mOYvqE4mvNWW0Oe3O9DxG","Anyone Else but You","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3, spotify:artist:0P6soo9LS5O854DcUpEtSc","Michael Cera, Elliot Page","spotify:album:5QLWzI3zMjxnI4ry0Wu6IS","Juno (Music From The Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2008-11-21","https://i.scdn.co/image/ab67616d0000b273e389f1d6b903535734972216","1","19","116706","https://p.scdn.co/mp3-preview/56d5ea8c7bd0ceb7fdfeb26788f608a3b353d0ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USFM90700234","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T00:35:02Z"
"spotify:track:1cVoEI9zKLytNGNGM1MVUT","My Rollercoaster [Juno Film Version]","spotify:artist:5PPCkoOKabpGGhqrUwSikz","Kimya Dawson","spotify:album:3Dm3Kc5oOFtesVJe5TF1HG","Juno - Music From The Motion Picture","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-12-11","https://i.scdn.co/image/ab67616d0000b273f9fd1589487315c55b0a1280","1","2","53000","https://p.scdn.co/mp3-preview/ebd709962b9fba447d06f624a127f4c26cc3730e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USRHD0702840","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T00:40:55Z"
"spotify:track:7qmOsp5uZU60z7cD0VsUd5","Piazza, New York Catcher","spotify:artist:4I2BJf80C0skQpp1sQmA0h","Belle and Sebastian","spotify:album:3Dm3Kc5oOFtesVJe5TF1HG","Juno - Music From The Motion Picture","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-12-11","https://i.scdn.co/image/ab67616d0000b273f9fd1589487315c55b0a1280","1","7","181693","","false","0","GBCVZ0300695","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T00:48:32Z"
"spotify:track:1OMPHGnpDNc3UCzUFrLYr5","Loose Lips","spotify:artist:5PPCkoOKabpGGhqrUwSikz","Kimya Dawson","spotify:album:3Dm3Kc5oOFtesVJe5TF1HG","Juno - Music From The Motion Picture","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-12-11","https://i.scdn.co/image/ab67616d0000b273f9fd1589487315c55b0a1280","1","8","143506","","true","0","USK110617503","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T00:51:30Z"
"spotify:track:7mOYvqE4mvNWW0Oe3O9DxG","Anyone Else but You","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3, spotify:artist:0P6soo9LS5O854DcUpEtSc","Michael Cera, Elliot Page","spotify:album:5QLWzI3zMjxnI4ry0Wu6IS","Juno (Music From The Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2008-11-21","https://i.scdn.co/image/ab67616d0000b273e389f1d6b903535734972216","1","19","116706","https://p.scdn.co/mp3-preview/56d5ea8c7bd0ceb7fdfeb26788f608a3b353d0ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USFM90700234","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-18T15:36:03Z"
"spotify:track:7HgaIYMY1RwMMPYmk72m7P","Zub Zub","spotify:artist:0P6soo9LS5O854DcUpEtSc","Elliot Page","spotify:album:5QLWzI3zMjxnI4ry0Wu6IS","Juno (Music From The Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2008-11-21","https://i.scdn.co/image/ab67616d0000b273e389f1d6b903535734972216","1","34","69386","https://p.scdn.co/mp3-preview/21ec8da3ddf73cede08017bf24497dc907377006?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USRHD0804005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-18T15:36:17Z"
"spotify:track:2pKi1lRvXNASy7ybeQIDTy","Anyone Else But You","spotify:artist:7GGv4mV9JTJK9e7nIzUliU","The Moldy Peaches","spotify:album:4FD8WC9s2yohxwVTp9f236","The Moldy Peaches","spotify:artist:7GGv4mV9JTJK9e7nIzUliU","The Moldy Peaches","2001-09-11","https://i.scdn.co/image/ab67616d0000b273a6b3afcdd15b2b561e684337","1","10","180093","https://p.scdn.co/mp3-preview/004a0797afeea5a378f8c9c0762a0196e4302f7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","TCABE1207359","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-04-05T18:17:02Z"
