"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1TnUbilS3BcfzC2GsEGd5o","Atlas’ push","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:1W8RT4Mmz06AfR5UdJgqpl","Juno to Jupiter","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","2021-09-24","https://i.scdn.co/image/ab67616d0000b273a02ef885725de66e8eef7151","1","1","220693","","false","22","GBUM72003662","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T09:45:59Z"
"spotify:track:7vY638lPkEMUZWq7eW7PY5","Inside our perspectives","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:1W8RT4Mmz06AfR5UdJgqpl","Juno to Jupiter","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","2021-09-24","https://i.scdn.co/image/ab67616d0000b273a02ef885725de66e8eef7151","1","2","212320","","false","28","GBUM72003663","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T09:45:59Z"
"spotify:track:5j9VnclvG1XrE4R04KxBGv","Out in Space","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:1W8RT4Mmz06AfR5UdJgqpl","Juno to Jupiter","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","2021-09-24","https://i.scdn.co/image/ab67616d0000b273a02ef885725de66e8eef7151","1","3","254200","","false","26","GBUM72003664","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T09:45:59Z"
"spotify:track:4Nz9jnV8I8UZyWWmWyBsCF","Juno’s quiet determination","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:1W8RT4Mmz06AfR5UdJgqpl","Juno to Jupiter","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","2021-09-24","https://i.scdn.co/image/ab67616d0000b273a02ef885725de66e8eef7151","1","4","317840","","false","20","GBUM72003665","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T09:45:59Z"
"spotify:track:5n7VrkpxkN6YbTs5z7mQAF","Jupiter’s intuition","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:1W8RT4Mmz06AfR5UdJgqpl","Juno to Jupiter","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","2021-09-24","https://i.scdn.co/image/ab67616d0000b273a02ef885725de66e8eef7151","1","5","238186","","false","19","GBUM72003666","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T09:45:59Z"
"spotify:track:48sJ6UbnZXCIzdO37wm10g","Juno’s power","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:1W8RT4Mmz06AfR5UdJgqpl","Juno to Jupiter","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","2021-09-24","https://i.scdn.co/image/ab67616d0000b273a02ef885725de66e8eef7151","1","6","249120","","false","19","GBUM72003667","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T09:45:59Z"
"spotify:track:2dq1f1GdkdTSSE9bJOk3wK","Space’s mystery road","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:1W8RT4Mmz06AfR5UdJgqpl","Juno to Jupiter","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","2021-09-24","https://i.scdn.co/image/ab67616d0000b273a02ef885725de66e8eef7151","1","7","257600","","false","19","GBUM72003668","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T09:45:59Z"
"spotify:track:56Pfg3iEFoBwVIR8RymOFp","In the magic of Cosmos","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:1W8RT4Mmz06AfR5UdJgqpl","Juno to Jupiter","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","2021-09-24","https://i.scdn.co/image/ab67616d0000b273a02ef885725de66e8eef7151","1","8","127106","","false","35","GBUM72003669","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T09:45:59Z"
"spotify:track:58vk9ZcIAjBNz9ILv8x51S","Juno’s tender call","spotify:artist:4P70aqttdpJ9vuYFDmf7f6, spotify:artist:5pLMWE1tVs9C7F9Qqauo44","Vangelis, Angela Gheorghiu","spotify:album:1W8RT4Mmz06AfR5UdJgqpl","Juno to Jupiter","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","2021-09-24","https://i.scdn.co/image/ab67616d0000b273a02ef885725de66e8eef7151","1","9","222306","","false","20","GBUM72003670","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T09:45:59Z"
"spotify:track:797zx7a2ZWDOcLchIoLJnO","Juno’s echoes","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:1W8RT4Mmz06AfR5UdJgqpl","Juno to Jupiter","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","2021-09-24","https://i.scdn.co/image/ab67616d0000b273a02ef885725de66e8eef7151","1","10","218640","","false","20","GBUM72003671","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T09:45:59Z"
