"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6JumfGk4f9E5KLT086I75s","Harlem","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1971-05-01","https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","1","1","203760","https://p.scdn.co/mp3-preview/51aa727b95bbfe4e11ecbe752a9d1216a6b0960b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USSM10105623","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-15T15:29:16Z"
"spotify:track:1k1Bqnv2R0uJXQN4u6LKYt","Ain't No Sunshine","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1971-05-01","https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","1","2","125093","https://p.scdn.co/mp3-preview/4894057a7cdc4be59cd335cfc369ba2d3a3b2ad8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USSM10000372","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-15T15:29:16Z"
"spotify:track:1qfDfZAvrkSAFrAR2FTQDv","Grandma's Hands","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1971-05-01","https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","1","3","121080","https://p.scdn.co/mp3-preview/fd7c0303201f40ef65723e619a6291abe5dec159?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM10000373","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-15T15:29:16Z"
"spotify:track:0vJ3Y2MnDXi4hpxSeQdQEC","Sweet Wanomi","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1971-05-01","https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","1","4","152773","https://p.scdn.co/mp3-preview/08e524b64026ba88f178cccbbfd20b65dd86ff03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USSM18500525","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-15T15:29:16Z"
"spotify:track:1xNs13B9mPPXxBpzDO8zy9","Everybody's Talkin'","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1971-05-01","https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","1","5","204400","https://p.scdn.co/mp3-preview/1b4cd1e8499d46c7f14e069a9b4819cb80ba1e8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USSM10503915","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-15T15:29:16Z"
"spotify:track:3fN8djLf2uPJp993x5Jyex","Do It Good","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1971-05-01","https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","1","6","172226","https://p.scdn.co/mp3-preview/0b3e414a78e1de6d5818492128c2064886c6da62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USSM10503916","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-15T15:29:16Z"
"spotify:track:5Di9MiY5PnRbhfT9S8NBGW","Hope She'll Be Happier","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1971-05-01","https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","1","7","230146","https://p.scdn.co/mp3-preview/ab4311086fc9abb54e1db6d79d89a40c9bf61b69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USSM18500529","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-15T15:29:16Z"
"spotify:track:4vjNQBEWmeHP1M2fcWhSfA","Let It Be","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1971-05-01","https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","1","8","156773","https://p.scdn.co/mp3-preview/ec8e13da04c2bf09eab134da8b0265ce28e3911b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USSM10503917","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-15T15:29:16Z"
"spotify:track:4Z5C9LDf5S5pWFAoPWN4ej","I'm Her Daddy","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1971-05-01","https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","1","9","198026","https://p.scdn.co/mp3-preview/e86eb8d6f020b1ef8ee44b43aa5795f2598e3e2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USSM10503918","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-15T15:29:16Z"
"spotify:track:4jZ2D5sXRGsVy2mJgnkY8U","In My Heart","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1971-05-01","https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","1","10","259959","https://p.scdn.co/mp3-preview/ba975e628b77ea0ab081f512e2aedfe5c9570994?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USSM10503919","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-15T15:29:16Z"
