"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3hHR2o77hKJpTSbz4pHISc","Spanish Air","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7761KE2C9rH1QO9WAE1Ysb","Just For A Day","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1991","https://i.scdn.co/image/ab67616d0000b2732dd4e9cdd4ecf1e9c691bdf4","1","1","362626","https://p.scdn.co/mp3-preview/4c9a949519bab710d5c8ff96e9c2aa6cd774de1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBBQY0400055","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:26Z"
"spotify:track:58LwagSpbHNBrIr6kyb0cD","Celia's Dream","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7761KE2C9rH1QO9WAE1Ysb","Just For A Day","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1991","https://i.scdn.co/image/ab67616d0000b2732dd4e9cdd4ecf1e9c691bdf4","1","2","249493","https://p.scdn.co/mp3-preview/d1589cea85efebcb51b5a5e0f92006c0ac440548?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBBQY0400056","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:26Z"
"spotify:track:4cz5bBa239LZ0Pt5DrJXYK","Catch The Breeze","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7761KE2C9rH1QO9WAE1Ysb","Just For A Day","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1991","https://i.scdn.co/image/ab67616d0000b2732dd4e9cdd4ecf1e9c691bdf4","1","3","259453","https://p.scdn.co/mp3-preview/6f78b3b1d5bc4469786674688585d4f62937828a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBBQY0400051","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:26Z"
"spotify:track:1nbZgajaqXmZQG24vl9u5d","Ballad Of Sister Sue","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7761KE2C9rH1QO9WAE1Ysb","Just For A Day","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1991","https://i.scdn.co/image/ab67616d0000b2732dd4e9cdd4ecf1e9c691bdf4","1","4","271960","https://p.scdn.co/mp3-preview/43343cda9eaaa972009d6974988262af9092df39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBBQY0400057","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:26Z"
"spotify:track:0QwLXiZIF9wFkEGW9INVOe","Erik's Song","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7761KE2C9rH1QO9WAE1Ysb","Just For A Day","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1991","https://i.scdn.co/image/ab67616d0000b2732dd4e9cdd4ecf1e9c691bdf4","1","5","265666","https://p.scdn.co/mp3-preview/b4369327215235ccac8e8e8c727bb41117675495?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBBQY0400058","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:26Z"
"spotify:track:0tEuudfO34gLfTTcUSOFlB","Waves","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7761KE2C9rH1QO9WAE1Ysb","Just For A Day","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1991","https://i.scdn.co/image/ab67616d0000b2732dd4e9cdd4ecf1e9c691bdf4","1","6","351786","https://p.scdn.co/mp3-preview/06d2a5969127b88bd4c332725a8c7f61b44392e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBBQY0400059","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:26Z"
"spotify:track:4fEEDBLpvZJRLpshxJbYq1","Brighter","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7761KE2C9rH1QO9WAE1Ysb","Just For A Day","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1991","https://i.scdn.co/image/ab67616d0000b2732dd4e9cdd4ecf1e9c691bdf4","1","7","229186","https://p.scdn.co/mp3-preview/931f472d319df4b2cccd1d5d4dfe1b46d15afe1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBBQY0400060","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:26Z"
"spotify:track:6ktlz091RxLid9rd9MmB8n","The Sadman","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7761KE2C9rH1QO9WAE1Ysb","Just For A Day","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1991","https://i.scdn.co/image/ab67616d0000b2732dd4e9cdd4ecf1e9c691bdf4","1","8","285146","https://p.scdn.co/mp3-preview/fbb50e3cae1a585cf99610155fb42a95d64d86e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBBQY0400061","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:26Z"
"spotify:track:57cXmeqCiKUF0GpJDFVAkt","Primal","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7761KE2C9rH1QO9WAE1Ysb","Just For A Day","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1991","https://i.scdn.co/image/ab67616d0000b2732dd4e9cdd4ecf1e9c691bdf4","1","9","331386","https://p.scdn.co/mp3-preview/4ce460261677405b643e3e0926aa497921378e41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBBQY0400062","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:26Z"
"spotify:track:7fgHvYrA6d92B3ClbjZinS","Slowdive","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7761KE2C9rH1QO9WAE1Ysb","Just For A Day","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1991","https://i.scdn.co/image/ab67616d0000b2732dd4e9cdd4ecf1e9c691bdf4","2","1","317066","https://p.scdn.co/mp3-preview/05bd14d5427eab9ed4722c075eb2c4550c7fb3d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBBQY0400048","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:26Z"
